"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00231837","1893-01","38.9783","-93.5702","233.2","CONCORDIA, MO US","5",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","13",",,6,27,+","12.7",",,6,28,","21.7",",,,6","39",",,,6","",""
"USC00231837","1893-02","38.9783","-93.5702","233.2","CONCORDIA, MO US","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","12.7",",,6,27,","29.2",",,,6","","","",""
"USC00231837","1893-03","38.9783","-93.5702","233.2","CONCORDIA, MO US","5",",6","4",",6","1",",6","","","2",",6","","","","","","","","","","","","","76",",,6,28,","25.4",",,6,08,","41.6",",,,6","127",",,,6","",""
"USC00231837","1893-04","38.9783","-93.5702","233.2","CONCORDIA, MO US","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
"USC00231837","1893-05","38.9783","-93.5702","233.2","CONCORDIA, MO US","9",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","","","81.3",",,6,26,","171.9",",,,6","","","",""
"USC00231837","1893-06","38.9783","-93.5702","233.2","CONCORDIA, MO US","5",",6","5",",6","1",",6","","","","","","","","","","","4","","","","","","","","25.4",",,6,23,","85.1",",,,6","","","",""
"USC00231837","1893-07","38.9783","-93.5702","233.2","CONCORDIA, MO US","7",",6","7",",6","5",",6","","","","","","","","","","","","","","","","","","","96.5",",,6,05,","303.1",",,,6","","","",""
"USC00231837","1893-08","38.9783","-93.5702","233.2","CONCORDIA, MO US","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","15.2",",,6,10,","27.9",",,,6","","","",""
"USC00231837","1893-09","38.9783","-93.5702","233.2","CONCORDIA, MO US","5",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","30.5",",,6,29,","66.1",",,,6","","","",""
"USC00231837","1893-10","38.9783","-93.5702","233.2","CONCORDIA, MO US","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","15.2",",,6,05,","15.2",",,,6","","","",""
"USC00231837","1893-11","38.9783","-93.5702","233.2","CONCORDIA, MO US","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19.1",",,6,26,","34.8",",,,6","","","",""
