"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMM00010312","1937-04","52.318","8.17","104.0","BELM, GM","","","0","2,S","0","2,S","","","","","","","1.1","2,S,01,","","","","","","","","","5.30","2,,,S"
"GMM00010312","1938-01","52.318","8.17","104.0","BELM, GM","","","0","5,S","7","5,S","","","","","","","-8.9","5,S,05,","","","","","","","","","1.06","5,,,S"
"GMM00010312","1938-02","52.318","8.17","104.0","BELM, GM","","","0","5,S","18","5,S","2","3,S","0","3,S","0","3,S","-5.0","5,S,25,+","12.2","3,S,26,+","","","2.57","7,S","6.24","3,,,S","-1.11","5,,,S"
"GMM00010312","1938-03","52.318","8.17","104.0","BELM, GM","","","0","3,S","5","3,S","0","5,S","0","5,S","0","5,S","-2.8","3,S,14,+","18.9","5,S,22,","","","7.48","8,S","11.88","5,,,S","3.09","3,,,S"
"GMM00010312","1938-04","52.318","8.17","104.0","BELM, GM","","","0","3,S","7","3,S","0","3,S","0","3,S","0","3,S","-2.2","3,S,22,+","16.1","3,S,28,","","","6.43","6,S","10.37","3,,,S","2.49","3,,,S"
"GMM00010312","1938-05","52.318","8.17","104.0","BELM, GM","1.7","2,S","0","1,S","1","1,S","0","1,S","7","1,S","0","1,S","-2.8","1,S,09,","27.8","1,S,15,","204.5","1,S","11.33","2,S","16.39","1,,,S","6.27","1,,,S"
"GMM00010312","1938-06","52.318","8.17","104.0","BELM, GM","10.3","3,S","0","2,S","0","2,S","0","1,S","14","1,S","0","1,S","5.0","2,S,03,","30.0","1,S,08,","68.1","1,S","16.17","3,S","21.36","1,,,S","10.98","2,,,S"
"GMM00010312","1938-07","52.318","8.17","104.0","BELM, GM","","","","","","","0","5,S","15","5,S","0","5,S","","","31.1","5,S,31,","","","","","22.28","5,,,S","",""
"GMM00010312","1938-08","52.318","8.17","104.0","BELM, GM","64.2","1,S","0","1,S","0","1,S","0",",S","20",",S","3",",S","5.0","1,S,24,","33.9",",S,04,","43.6",",S","18.94","1,S","23.84",",,,S","14.04","1,,,S"
"GMM00010312","1938-09","52.318","8.17","104.0","BELM, GM","2.0","3,S","0","2,S","0","2,S","0","1,S","14","1,S","0","1,S","3.9","2,S,16,+","26.1","1,S,25,","81.1","1,S","15.35","3,S","20.34","1,,,S","10.36","2,,,S"
"GMM00010312","1938-10","52.318","8.17","104.0","BELM, GM","0.0","3,S","0","3,S","3","3,S","0",",S","0",",S","0",",S","-2.2","3,S,25,","17.2",",S,18,+","246.6",",S","9.59","3,S","12.83",",,,S","6.35","3,,,S"
"GMM00010312","1938-11","52.318","8.17","104.0","BELM, GM","","","","","","","0","5,S","0","5,S","0","5,S","","","18.9","5,S,13,","","","","","11.38","5,,,S","",""
"GMM00010312","1939-01","52.318","8.17","104.0","BELM, GM","","","","","","","1","2,S","0","2,S","0","2,S","","","13.9","2,S,16,","","","","","6.63","2,,,S","",""
"GMM00010312","1939-02","52.318","8.17","104.0","BELM, GM","0.0","5,S","0","3,S","10","3,S","1","3,S","0","3,S","0","3,S","-7.8","3,S,03,","11.1","3,S,24,+","341.5","3,S","3.71","5,S","7.15","3,,,S","0.26","3,,,S"
"GMM00010312","1939-03","52.318","8.17","104.0","BELM, GM","0.0","4,S","0","4,S","13","4,S","0","1,S","0","1,S","0","1,S","-3.9","4,S,19,+","17.2","1,S,04,","380.8","1,S","4.25","4,S","7.70","1,,,S","0.80","4,,,S"
"GMM00010312","1939-04","52.318","8.17","104.0","BELM, GM","0.0","3,S","0","3,S","0","3,S","0",",S","2",",S","0",",S","2.2","3,S,23,+","25.0",",S,12,","228.6",",S","9.77","3,S","14.13",",,,S","5.41","3,,,S"
"GMM00010312","1939-05","52.318","8.17","104.0","BELM, GM","0.0","4,S","0","2,S","0","2,S","0","2,S","6","2,S","0","2,S","3.9","2,S,18,+","23.9","2,S,31,","169.7","2,S","12.02","4,S","16.82","2,,,S","7.22","2,,,S"
"GMM00010312","1939-06","52.318","8.17","104.0","BELM, GM","13.9","5,S","0","3,S","0","3,S","0","3,S","17","3,S","1","3,S","3.9","3,S,14,","32.2","3,S,07,","58.5","3,S","16.55","5,S","22.29","3,,,S","10.80","3,,,S"
"GMM00010312","1939-07","52.318","8.17","104.0","BELM, GM","","","0","4,S","0","4,S","0","4,S","18","4,S","0","4,S","8.9","4,S,13,+","30.0","4,S,30,+","","","17.48","8,S","22.47","4,,,S","12.49","4,,,S"
"GMM00010312","1939-08","52.318","8.17","104.0","BELM, GM","","","0","3,S","0","3,S","0","5,S","23","5,S","0","5,S","7.8","3,S,17,","30.0","5,S,20,","","","18.68","8,S","24.02","5,,,S","13.33","3,,,S"
"GMM00010312","1939-09","52.318","8.17","104.0","BELM, GM","","","","","","","0","4,S","8","4,S","0","4,S","","","27.8","4,S,03,","","","","","19.55","4,,,S","",""
"GMM00010312","1939-11","52.318","8.17","104.0","BELM, GM","","","","","","","0","3,S","0","3,S","0","3,S","","","17.2","3,S,08,","","","","","9.96","3,,,S","",""
"GMM00010312","1940-02","52.318","8.17","104.0","BELM, GM","","","","","","","14","3,S","0","3,S","0","3,S","","","13.9","3,S,28,+","","","","","1.26","3,,,S","",""
"GMM00010312","1940-03","52.318","8.17","104.0","BELM, GM","","","0","5,S","13","5,S","0","4,S","0","4,S","0","4,S","-5.0","5,S,03,","17.2","4,S,25,+","","","5.16","7,S","9.07","4,,,S","1.24","5,,,S"
"GMM00010312","1940-04","52.318","8.17","104.0","BELM, GM","","","","","","","0","1,S","4","1,S","0","1,S","","","27.2","1,S,24,","","","","","13.77","1,,,S","",""
"GMM00010312","1940-05","52.318","8.17","104.0","BELM, GM","","","","","","","0","3,S","9","3,S","0","3,S","","","26.1","3,S,26,","","","","","18.57","3,,,S","",""
"GMM00010312","1940-06","52.318","8.17","104.0","BELM, GM","","","0","3,S","0","3,S","","","","","","","7.2","3,S,28,","","","","","","","","","11.23","3,,,S"
"GMM00010312","1940-07","52.318","8.17","104.0","BELM, GM","","","","","","","0","1,S","14","1,S","0","1,S","","","26.1","1,S,15,","","","","","20.57","1,,,S","",""
"GMM00010312","1940-08","52.318","8.17","104.0","BELM, GM","5.6","5,S","0","5,S","0","5,S","0","1,S","11","1,S","0","1,S","6.1","5,S,29,","28.9","1,S,05,","77.2","1,S","15.45","5,S","19.75","1,,,S","11.14","5,,,S"
"GMM00010312","1940-09","52.318","8.17","104.0","BELM, GM","","","","","","","0",",S","4",",S","0",",S","","","27.8",",S,05,","","","","","17.29",",,,S","",""
"GMM00010312","1940-10","52.318","8.17","104.0","BELM, GM","","","0","5,S","7","5,S","0","4,S","0","4,S","0","4,S","-2.8","5,S,28,","20.0","4,S,18,","","","8.32","9,S","12.94","4,,,S","3.70","5,,,S"
"GMM00010312","1940-11","52.318","8.17","104.0","BELM, GM","","","","","","","0","5,S","0","5,S","0","5,S","","","15.0","5,S,22,","","","","","10.20","5,,,S","",""
"GMM00010312","1941-02","52.318","8.17","104.0","BELM, GM","","","","","","","5","2,S","0","2,S","0","2,S","","","12.2","2,S,28,+","","","","","4.27","2,,,S","",""
"GMM00010312","1941-03","52.318","8.17","104.0","BELM, GM","","","","","","","0","4,S","0","4,S","0","4,S","","","15.0","4,S,15,+","","","","","9.34","4,,,S","",""
"GMM00010312","1941-04","52.318","8.17","104.0","BELM, GM","0.0","5,S","0","3,S","6","3,S","0","2,S","0","2,S","0","2,S","-2.2","3,S,10,+","17.8","2,S,30,","282.2","2,S","6.98","5,S","10.84","2,,,S","3.13","3,,,S"
"GMM00010312","1941-05","52.318","8.17","104.0","BELM, GM","","","0","5,S","3","5,S","0","2,S","1","2,S","0","2,S","-1.1","5,S,09,+","21.1","2,S,28,","","","9.92","7,S","14.33","2,,,S","5.51","5,,,S"
"GMM00010312","1941-06","52.318","8.17","104.0","BELM, GM","23.6","4,S","0","3,S","0","3,S","0","3,S","17","3,S","2","3,S","5.0","3,S,17,","32.8","3,S,25,","53.1","3,S","17.44","4,S","23.36","3,,,S","11.51","3,,,S"
"GMM00010312","1941-08","52.318","8.17","104.0","BELM, GM","","","0","5,S","0","5,S","0","4,S","8","4,S","0","4,S","8.9","5,S,25,","23.9","4,S,15,+","","","15.84","8,S","19.57","4,,,S","12.10","5,,,S"
"GMM00010312","1941-09","52.318","8.17","104.0","BELM, GM","","","0","5,S","0","5,S","","","","","","","2.8","5,S,16,","","","","","","","","","8.66","5,,,S"
"GMM00010312","1941-10","52.318","8.17","104.0","BELM, GM","","","0","5,S","2","5,S","","","","","","","-2.2","5,S,31,","","","","","","","","","5.77","5,,,S"
"GMM00010312","1942-01","52.318","8.17","104.0","BELM, GM","","","1","5,S","22","5,S","","","","","","","-26.1","5,S,27,","","","","","","","","","-9.03","5,,,S"
"GMM00010312","1942-02","52.318","8.17","104.0","BELM, GM","","","","","","","16","5,S","0","5,S","0","5,S","","","2.8","5,S,14,+","","","","","-2.22","5,,,S","",""
"GMM00010312","1942-03","52.318","8.17","104.0","BELM, GM","","","0","5,S","14","5,S","","","","","","","-8.9","5,S,06,","","","","","","","","","-0.26","5,,,S"
"GMM00010312","1942-04","52.318","8.17","104.0","BELM, GM","","","0","3,S","1","3,S","","","","","","","0.0","3,S,15,","","","","","","","","","4.36","3,,,S"
"GMM00010312","1942-05","52.318","8.17","104.0","BELM, GM","","","0","5,S","0","5,S","","","","","","","1.1","5,S,05,","","","","","","","","","7.95","5,,,S"
