"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093981","1997-12","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","","","","","0.0",",M","","","","","","","","","","","0",",M","21",",M","1",",M","0",",M","0",",M","","","","","-6.7",",M,14,","","","","","","","15.6",",M,19,","","","503.6",",M","","","","","2.09",",M","5.85",",,,M","-1.67",",,,M","","","","","","","",""
"USW00093981","1998-01","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","","","0.0","","0.0",",M","","","","","","","","","","","0",",M","22",",M","4",",M","0",",M","0",",M","","","","","-7.2",",M,19,","","","","","","","18.3",",M,04,","","","458.9",",M","","","","","3.53",",M","7.40",",,,M","-0.34",",,,M","","","","","","","",""
"USW00093981","1998-02","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","","","0.0","","0.0",",M","","","","","","","","","","","0",",M","12",",M","0",",M","0",",M","0",",M","","","","","-5.0",",M,09,+","","","","","","","19.4",",M,25,","","","342.5",",M","","","","","6.10",",M","10.81",",,,M","1.39",",,,M","","","","","","","",""
"USW00093981","1998-03","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","","","9.5","","9.5","2,M","","","","","","","","","","","0","2,M","14","2,M","2","2,M","5","2,M","0","2,M","","","","","-11.7","2,M,12,","","","","","","","26.7","2,M,30,+","","","347.3","2,M","","","","","6.68","2,M","11.34","2,,,M","2.02","2,,,M","","","","","","","",""
"USW00093981","1998-04","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","4.2",",W","15.1","","5.6",",W","14",",W","10",",W","2",",W","","","","","0",",W","0",",W","0",",W","12",",W","0",",W","","","","","0.6",",W,05,","","","","","55.1",",,W,15,","26.1",",W,26,","","","144.7",",W","149.3",",,,W","","","13.70",",W","19.39",",,,W","8.00",",,,W","180",",W","190",",W","15.2",",W","20.6",",W"
"USW00093981","1998-05","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","3.0",",W","131.4","","116.3",",W","14",",W","9",",W","2",",W","","","","","0",",W","0",",W","0",",W","28",",W","2",",W","","","","","8.9",",W,05,","","","","","28.7",",,W,02,","32.2",",W,19,+","","","11.6",",W","114.6",",,,W","","","21.71",",W","27.37",",,,W","16.05",",,,W","330",",W","320",",W","21.5",",W","28.6",",W"
"USW00093981","1998-06","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","3.5",",W","327.9","","196.5",",W","18","1,W","12","1,W","1","1,W","","","","","0",",W","0",",W","0",",W","28",",W","13",",W","","","","","8.3",",W,06,","","","","","54.4","1,,W,14,","35.0",",W,25,+","","","8.3",",W","171.5","1,,,W","","","24.61",",W","29.82",",,,W","19.39",",,,W","340",",W","260",",W","24.1",",W","32.2",",W"
"USW00093981","1998-07","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","2.2",",W","561.5","","233.6","1,W","17",",W","8",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","30","1,W","9","1,W","","","","","17.2","1,W,25,","","","","","20.8",",,W,04,","36.7","1,W,19,","0.0","","0.0","1,W","77.9",",,,W","","","26.12","1,W","30.59","1,,,W","21.65","1,,,W","320",",W","310",",W","13.4",",W","16.5",",W"
"USW00093981","2011-09","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","","","","","64.2","2,7","8",",7","6",",7","2",",7","0",",7","0",",7","0","2,7","0","2,7","0",",7","22",",7","5",",7","","","","","6.1","2,7,26,","0",",,7,30,+","0",",,7,30,+","49.0",",,7,17,","38.3",",7,01,","","","42.2",",7","114.9",",,,7","0",",,,7","18.93","2,7","25.22",",,,7","12.64","2,,,7","","","","","","","",""
"USW00093981","2011-10","37.23545","-93.40121","389.5","SPRINGFIELD WEATHER FORECAST OFFICE, MO US","","","","","14.8",",7","4",",7","2",",7","0",",7","","","","","0",",7","2",",7","0",",7","19",",7","0",",7","","","","","-0.6",",7,21,","","","","","12.7",",,7,17,","28.9",",7,16,","","","128.4",",7","24.9",",,,7","","","14.67",",7","21.10",",,,7","8.24",",,,7","","","","","","","",""
