"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"NIM00065250","2020-02","5.015","6.95","26.5","PORT HARCOURT INTERNATIONAL, NI","0","5,S","24","5,S","24","5,S","38.2","5,S,23,","36.63","5,,,S"
"NIM00065250","2021-05","5.015","6.95","26.5","PORT HARCOURT INTERNATIONAL, NI","0","5,S","26","5,S","17","5,S","34.2","5,S,11,+","31.77","5,,,S"
