"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FMC00914482","1967-03","6.84556","158.30639","9.1","METALANIM, FM FM","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","454.8",",a,,0","0",",,,0","","","","","",""
"FMC00914482","1967-05","6.84556","158.30639","9.1","METALANIM, FM FM","","","","","25",",0","15",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","34.3",",,0,26,","","","","","","","193.3",",,,0","0",",,,0","","","","","",""
"FMC00914482","1967-06","6.84556","158.30639","9.1","METALANIM, FM FM","","","264.6",",0","25",",0","21",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","","","21.7",",0,19,","0",",,0,30,+","0",",,0,30,+","45.7",",,0,25,","33.3",",0,15,","","","0.0",",0","310.9",",,,0","0",",,,0","27.15",",0","30.99",",,,0","23.31",",,,0"
"FMC00914482","1967-07","6.84556","158.30639","9.1","METALANIM, FM FM","","","","","23",",0","16",",0","6",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","48.3",",,0,05,","","","","","","","334.7",",,,0","0",",,,0","","","","","",""
"FMC00914482","1967-08","6.84556","158.30639","9.1","METALANIM, FM FM","","","265.6",",0","27",",0","20",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","","","20.6",",0,11,+","0",",,0,31,+","0",",,0,31,+","62.7",",,0,02,","32.2",",0,31,+","","","0.0",",0","394.6",",,,0","0",",,,0","26.90",",0","30.90",",,,0","22.90",",,,0"
"FMC00914482","1967-09","6.84556","158.30639","9.1","METALANIM, FM FM","","","249.9",",0","19",",0","15",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","20.6",",0,21,+","0",",,0,30,+","0",",,0,30,+","61.5",",,0,01,","32.2",",0,25,+","","","0.0",",0","311.3",",,,0","0",",,,0","26.66",",0","30.72",",,,0","22.60",",,,0"
"FMC00914482","1967-10","6.84556","158.30639","9.1","METALANIM, FM FM","","","236.9","3,0","","","","","","","0",",0","0",",0","0","3,0","0","3,0","0","3,0","28","3,0","5","3,0","","","21.7","3,0,29,+","0",",,0,31,+","0",",,0,31,+","","","32.2","3,0,22,+","","","0.0","3,0","387.8",",a,,0","0",",,,0","26.79","3,0","30.93","3,,,0","22.66","3,,,0"
"FMC00914482","1967-11","6.84556","158.30639","9.1","METALANIM, FM FM","","","232.6",",0","29",",0","19",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","21.7",",0,16,+","0",",,0,30,+","0",",,0,30,+","102.6",",,0,10,","31.1",",0,02,+","","","0.0",",0","529.9",",,,0","0",",,,0","26.09",",0","28.44",",,,0","23.74",",,,0"
"FMC00914482","1967-12","6.84556","158.30639","9.1","METALANIM, FM FM","","","","","26",",0","13",",0","5",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","21.7",",0,02,","0",",,0,31,+","0",",,0,31,+","63.5",",,0,10,","","","","","","","294.6",",,,0","0",",,,0","","","","","24.39",",,,0"
"FMC00914482","1968-01","6.84556","158.30639","9.1","METALANIM, FM FM","","","","","24",",0","14",",0","3",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","21.7",",0,27,","0",",,0,31,+","0",",,0,31,+","54.1",",,0,22,","","","","","","","228.9",",,,0","0",",,,0","","","","","24.72",",,,0"
"FMC00914482","1968-02","6.84556","158.30639","9.1","METALANIM, FM FM","","","259.5",",0","19",",0","11",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","1",",0","","","21.7",",0,27,","0",",,0,29,+","0",",,0,29,+","106.7",",,0,12,","32.2",",0,25,","","","0.0",",0","249.5",",,,0","0",",,,0","27.28",",0","30.13",",,,0","24.44",",,,0"
"FMC00914482","1968-03","6.84556","158.30639","9.1","METALANIM, FM FM","","","275.2",",0","29",",0","19",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","22.2",",0,15,+","0",",,0,31,+","0",",,0,31,+","76.5",",,0,07,","31.7",",0,24,+","","","0.0",",0","543.9",",,,0","0",",,,0","27.21",",0","30.06",",,,0","24.36",",,,0"
"FMC00914482","1968-04","6.84556","158.30639","9.1","METALANIM, FM FM","","","258.9",",0","26",",0","22",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","","","21.1",",0,19,","0",",,0,30,+","0",",,0,30,+","59.2",",,0,01,","32.2",",0,21,+","","","0.0",",0","447.3",",,,0","0",",,,0","26.96",",0","30.72",",,,0","23.21",",,,0"
"FMC00914482","1968-05","6.84556","158.30639","9.1","METALANIM, FM FM","","","270.6",",0","30",",0","25",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","","","21.7",",0,09,","0",",,0,31,+","0",",,0,31,+","92.7",",,0,31,","34.4",",0,06,","","","0.0",",0","546.0",",,,0","0",",,,0","27.06",",0","30.82",",,,0","23.30",",,,0"
"FMC00914482","1968-06","6.84556","158.30639","9.1","METALANIM, FM FM","","","257.1",",0","27",",0","18",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","21.7",",0,26,+","0",",,0,30,+","0",",,0,30,+","79.0",",,0,22,","32.8",",0,29,","","","0.0",",0","388.6",",,,0","0",",,,0","26.90",",0","30.88",",,,0","22.92",",,,0"
