"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00155834","1964-04","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","20.0",",0","16",",0","8",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","20",",0","0",",0","-2.8",",0,10,","0",",,0,30,+","0",",,0,30,+","23.1",",,0,04,","30.0",",0,17,","","","","","118.6",",0","75.7",",,,0","0",",,,0","15.05",",0","21.96",",,,0","8.13",",,,0","4339","1,,,0"
"USC00155834","1964-05","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","65.7",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","3",",0","4.4",",0,15,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,08,","32.8",",0,23,","184.1",",,,0","","","36.3",",0","33.2",",,,0","0",",,,0","19.28",",0","26.50",",,,0","12.06",",,,0","1957",",,,0"
"USC00155834","1964-06","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","183.1",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","16",",0","5.6",",0,04,","0",",,0,30,+","0",",,0,30,+","14.2",",,0,13,","37.8",",0,23,","225.9",",,,0","","","10.3",",0","36.8",",,,0","0",",,,0","24.09",",0","31.25",",,,0","16.93",",,,0","1729",",,,0"
"USC00155834","1964-07","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","203.7",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","12.2",",0,06,+","0",",,0,31,+","0",",,0,31,+","49.5",",,0,08,","36.1",",0,04,","180.1","3,,,0","0.0","0","0.0",",0","125.0",",,,0","0",",,,0","24.90",",0","31.64",",,,0","18.17",",,,0","1217","3,,,0"
"USC00155834","1964-08","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","185.7",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","7.2",",0,13,","0",",,0,31,+","0",",,0,31,+","50.3",",,0,23,","38.9",",0,04,","192.4","1,,,0","5.0","0","5.0",",0","80.5",",,,0","0",",,,0","24.16",",0","31.31",",,,0","17.02",",,,0","1904","2,,,0"
"USC00155834","1964-09","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","102.5",",0","6","2,0","4","2,0","1","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","8",",0","3.3",",0,15,","0",",,0,30,+","0",",,0,30,+","79.5","2,,0,28,","36.1",",0,11,","153.8","3,,,0","36.4","0","31.4",",0","135.5",",a,,0","0",",,,0","20.70",",0","28.27",",,,0","13.13",",,,0","1719",",,,0"
"USC00155834","1964-10","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","5.0",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","13",",0","0",",0","-3.3",",0,12,","0",",,0,31,+","0",",,0,31,+","16.0",",,0,02,","27.8",",0,18,","97.5",",,,0","237.7","0","201.3",",0","27.4",",,,0","0",",,,0","12.00",",0","20.30",",,,0","3.71",",,,0","1742",",,,0"
"USC00155834","1964-11","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","3.3",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","8",",0","1",",0","16",",0","0",",0","-13.3",",0,22,","0",",,0,30,+","13",",,0,30,","30.0",",,0,25,","26.1",",0,05,","","","481.8","0","244.1",",0","103.3",",,,0","13",",,,0","10.31",",0","18.06",",,,0","2.55",",,,0","",""
"USC00155834","1964-12","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","","","0.0","4,0","8",",0","7",",0","2",",0","0",",0","0",",0","0","2,0","16","2,0","1","2,0","1","2,0","0","2,0","-15.0","2,0,19,+","0",",T,0,01,","0",",,0,31,+","50.3",",,0,04,","22.2","2,0,25,","","","861.4","0","379.6","2,0","146.9",",,,0","0",",,,0","4.02","4,0","9.80","2,,,0","-1.77","2,,,0","",""
"USC00155834","1965-01","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","0.0","0","0.0",",0","10",",0","10",",0","1",",0","8",",0","0","4,0","3",",0","19",",0","4",",0","0",",0","0",",0","-22.2",",0,31,","76",",,0,17,","0","4,,0,31,+","35.1",",,0,09,","19.4",",0,09,","","","1361.3","0","499.9",",0","129.4",",,,0","0","4,,,0","2.21",",0","8.68",",,,0","-4.27",",,,0","",""
"USC00155834","1965-02","37.2813","-86.2497","189.9","NOLIN RIVER LAKE, KY US","0.0","0","0.0",",0","11",",0","6",",0","2",",0","8",",0","0","2,0","3",",0","21",",0","5",",0","2",",0","0",",0","-21.7",",0,02,","102",",,0,02,","0","2,,0,28,+","49.5",",,0,25,","22.2",",0,11,+","","","1824.3","0","463.0",",0","139.6",",,,0","0","2,,,0","1.80",",0","8.93",",,,0","-5.33",",,,0","",""
