"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MRM00061404","1984-05","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","5,S","26","5,S","10","5,S","","","37.8","5,S,12,","","","","","","","31.88","5,,,S","",""
"MRM00061404","1984-06","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","26","4,S","23","4,S","","","45.2","4,S,26,","","","","","","","38.33","4,,,S","",""
"MRM00061404","1984-07","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","27","4,S","27","4,S","","","46.4","4,S,29,","","","","","","","43.14","4,,,S","",""
"MRM00061404","1984-08","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","2,S","29","2,S","29","2,S","","","46.4","2,S,02,","","","","","","","40.86","2,,,S","",""
"MRM00061404","1984-09","22.75","-12.483","343.0","ZOUERATE, MR","","","0","5,S","0","5,S","0","3,S","27","3,S","24","3,S","18.4","5,S,29,","45.6","3,S,03,","","","","","31.05","8,S","38.07","3,,,S","24.02","5,,,S"
"MRM00061404","1984-10","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","2,S","29","2,S","26","2,S","","","38.2","2,S,16,","","","","","","","34.07","2,,,S","",""
"MRM00061404","1984-11","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","2,S","28","2,S","1","2,S","","","32.8","2,S,26,","","","","","","","28.12","2,,,S","",""
"MRM00061404","1984-12","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","5,S","23","5,S","0","5,S","","","29.8","5,S,10,","","","","","","","24.45","5,,,S","",""
"MRM00061404","1985-02","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","24","4,S","3","4,S","","","32.7","4,S,04,","","","","","","","28.75","4,,,S","",""
"MRM00061404","1985-05","22.75","-12.483","343.0","ZOUERATE, MR","150.0","5,S","0","4,S","0","4,S","0","1,S","30","1,S","14","1,S","12.5","4,S,15,","39.4","1,S,21,","","","0.0","1,S","24.16","5,S","32.31","1,,,S","16.01","4,,,S"
"MRM00061404","1985-06","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","26","4,S","26","4,S","","","44.0","4,S,30,+","","","","","","","37.86","4,,,S","",""
"MRM00061404","1985-07","22.75","-12.483","343.0","ZOUERATE, MR","401.8","5,S","0","3,S","0","3,S","0","3,S","28","3,S","28","3,S","18.2","3,S,04,","45.6","3,S,21,","0.0","S","0.0","3,S","33.64","5,S","41.76","3,,,S","25.51","3,,,S"
"MRM00061404","1985-08","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","2,S","29","2,S","29","2,S","","","44.8","2,S,31,+","","","","","","","41.95","2,,,S","",""
"MRM00061404","1985-10","22.75","-12.483","343.0","ZOUERATE, MR","","","0","5,S","0","5,S","","","","","","","17.0","5,S,09,","","","","","","","","","","","22.39","5,,,S"
"MRM00061404","1986-02","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","5,S","20","5,S","1","5,S","","","32.5","5,S,26,","","","","","","","25.75","5,,,S","",""
"MRM00061404","1986-03","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","1,S","30","1,S","1","1,S","","","32.9","1,S,29,","","","","","","","27.93","1,,,S","",""
"MRM00061404","1986-08","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","27","4,S","27","4,S","","","45.7","4,S,21,","","","","","","","40.83","4,,,S","",""
"MRM00061404","1986-10","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","3,S","28","3,S","10","3,S","","","38.0","3,S,18,","","","","","","","31.65","3,,,S","",""
"MRM00061404","1987-03","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","3,S","28","3,S","10","3,S","","","34.8","3,S,11,","","","","","","","30.42","3,,,S","",""
"MRM00061404","1988-07","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","27","4,S","27","4,S","","","45.5","4,S,30,+","","","","","","","41.97","4,,,S","",""
"MRM00061404","1988-11","22.75","-12.483","343.0","ZOUERATE, MR","","","","","","","0","4,S","25","4,S","4","4,S","","","35.4","4,S,14,","","","","","","","28.75","4,,,S","",""
