"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00362013","1940-05","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00362013","1940-12","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","14",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","22.6",",,6,28,","","","","","67.3",",,,6","","","","","","","","","","","",""
"USC00362013","1941-01","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","6",",6","1",",6","","","5","1,6","","","","","","","","","","","","","","","","","","","254","1,,6,25,","26.7",",,6,25,","","","","","83.1",",,,6","556","1,,,6","","","","","","","","","",""
"USC00362013","1941-02","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","6",",6","2",",6","0",",6","25","3,6","1",",6","","","","","","","","","","","1","","","","","","330","3,,6,01,","25",",,6,18,","7.6",",,6,08,","","","","","18.3",",,,6","38",",,,6","","","","","","","","","",""
"USC00362013","1941-03","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","4",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","","","","","254",",,6,08,","15.5",",,6,08,","","","","","51.3",",,,6","449",",,,6","","","","","","","","","",""
"USC00362013","1941-04","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","7",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,30,+","33.3",",,6,06,","","","","","58.7",",,,6","0",",,,6","","","","","","","","","",""
"USC00362013","1941-05","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","22.1",",,6,08,","","","","","36.6",",,,6","","","","","","","","","","","",""
"USC00362013","1941-06","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","28.2",",,6,05,","","","","","96.6",",,,6","","","","","","","","","","","",""
"USC00362013","1941-07","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","10",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","20.3",",,6,04,","","","","","56.5",",,,6","","","","","","","","","","","",""
"USC00362013","1941-08","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
