"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00067949","1932-12","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","","","","","","","","","","","1","5,6","19","5,6","9","3,6","0","3,6","0","3,6","","","","","-19.4","5,6,17,","","","","","17.2","3,6,02,","","","","","","","","","-0.05","6,6","4.63","3,,,6","-4.73","5,,,6"
"USC00067949","1933-01","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","","","8","1,6","5","1,6","0","1,6","1",",6","0","2,6","25","2,6","5","4,6","0","4,6","0","4,6","","","","","-15.0","2,6,01,","127",",,6,10,","23.6","1,,6,10,","11.1","4,6,23,+","","","","","51.5","1,,,6","132",",,,6","0.65","6,6","4.98","4,,,6","-3.68","2,,,6"
"USC00067949","1933-02","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","0.0","1,6","11",",6","6",",6","2",",6","3",",6","1",",6","26",",6","7","1,6","0","1,6","0","1,6","","","","","-17.8",",6,10,","203",",,6,11,","30.5",",,6,20,","16.1","1,6,08,","","","539.1","1,6","110.8",",,,6","426",",,,6","-1.57","1,6","3.74","1,,,6","-6.88",",,,6"
"USC00067949","1933-03","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","0.0",",6","11",",6","9",",6","1",",6","","","0",",6","30",",6","5",",6","0",",6","0",",6","","","","","-16.1",",6,11,","","","27.9",",,6,08,","12.2",",6,31,","","","581.0",",6","134.7",",,,6","","","-0.41",",6","3.33",",,,6","-4.14",",,,6"
"USC00067949","1933-04","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","0.0",",6","13",",6","11",",6","2",",6","1",",6","0",",6","12",",6","0",",6","2",",6","0",",6","","","","","-5.6",",6,23,","254",",,6,13,","57.2",",,6,02,","23.9",",6,30,","","","340.0",",6","191.0",",,,6","254",",,,6","7.00",",6","12.33",",,,6","1.67",",,,6"
"USC00067949","1933-05","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","14.6","1,6","5",",6","4",",6","1",",6","0",",6","0",",6","0",",6","0","1,6","21","1,6","0","1,6","","","","","1.1",",6,08,","0",",,6,31,+","29.0",",,6,31,","29.4","1,6,27,+","","","98.8","1,6","69.7",",,,6","0",",,,6","15.57","1,6","22.33","1,,,6","8.82",",,,6"
"USC00067949","1933-06","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","70.1",",6","9",",6","6",",6","0",",6","0",",6","0",",6","0",",6","0",",6","24",",6","1",",6","","","","","5.0",",6,15,","0",",,6,30,+","19.6",",,6,09,","34.4",",6,29,","","","48.9",",6","56.7",",,,6","0",",,,6","19.04",",6","25.07",",,,6","13.00",",,,6"
"USC00067949","1933-07","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","92.7",",6","6",",6","5",",6","1",",6","0",",6","0",",6","0",",6","0",",6","28",",6","7",",6","","","","","9.4",",6,13,+","0",",,6,31,+","38.9",",,6,10,","33.3",",6,30,+","17.3","6","17.3",",6","63.2",",,,6","0",",,,6","20.76",",6","26.83",",,,6","14.69",",,,6"
"USC00067949","1933-08","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","67.8","1,6","12",",6","10",",6","1",",6","0",",6","0",",6","0",",6","0","1,6","27","1,6","2","1,6","","","","","11.7",",6,10,+","0",",,6,31,+","56.6",",,6,24,","33.9","1,6,01,","23.8","6","6.5","1,6","167.1",",,,6","0",",,,6","20.38","1,6","25.38","1,,,6","15.38",",,,6"
"USC00067949","1933-09","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","23.3",",6","9",",6","8",",6","3",",6","0",",6","0",",6","0",",6","0",",6","19",",6","0",",6","","","","","3.9",",6,11,","0",",,6,30,+","78.7",",,6,16,","27.8",",6,27,","94.1","6","70.3",",6","216.8",",,,6","0",",,,6","16.77",",6","21.79",",,,6","11.74",",,,6"
