"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006112340","1959-08","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","240.4","C","109.1",",C","11",",C","7",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","30",",C","1",",C","4.4",",C,02,","","","0",",,C,31,+","24.1",",,C,28,","33.9",",C,14,","20.6","C","9.2",",C","106.4",",,,C","0",",,,C","21.55",",C","27.02",",,,C","16.09",",,,C"
"CA006112340","1959-09","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","298.7","C","58.3",",C","10",",C","6",",C","0",",C","","","0",",C","0",",C","3",",C","0",",C","18",",C","2",",C","-1.7",",C,17,","","","0",",,C,30,+","20.8",",,C,14,","32.8",",C,09,+","117.5","C","96.9",",C","67.9",",,,C","0",",,,C","17.05",",C","22.58",",,,C","11.51",",,,C"
"CA006112340","1959-10","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","298.7","C","0.0",",C","13",",C","5",",C","1",",C","","","0",",C","0",",C","7",",C","0",",C","2",",C","0",",C","-5.0",",C,21,","","","0",",T,C,27,","25.9",",,C,05,","26.1",",C,03,","424.5","C","307.0",",C","64.1",",,,C","0",",T,,C","8.43",",C","12.15",",,,C","4.70",",,,C"
"CA006112340","1959-11","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","298.7","C","0.0",",C","12",",C","9",",C","0",",C","","","3",",C","0",",C","25",",C","9",",C","0",",C","0",",C","-12.2",",C,29,","","","64",",,C,12,","18.3",",,C,13,","20.6",",C,05,","966.6","C","542.1",",C","69.1",",,,C","176",",,,C","0.26",",C","4.17",",,,C","-3.64",",,,C"
"CA006112340","1959-12","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","298.7","C","0.0",",C","15",",C","9",",C","0",",C","","","5",",C","4",",C","28",",C","12",",C","0",",C","0",",C","-21.7",",C,23,","","","127",",,C,28,","12.7",",,C,28,","6.1",",C,03,","1639.3","C","672.7",",C","79.9",",,,C","432",",,,C","-3.37",",C","-0.15",",,,C","-6.58",",,,C"
"CA006112340","1960-01","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","","","20",",C","18",",C","1",",C","","","16",",C","3",",C","31",",C","","","","","","","-26.1",",C,09,","","","203",",,C,15,","25.4",",,C,12,","","","","","","","149.1",",,,C","1161",",,,C","","","","","-11.27",",,,C"
"CA006112340","1960-02","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","","","15",",C","14",",C","1",",C","","","12",",C","7",",C","29",",C","","","","","","","-25.0",",C,03,","","","406",",,C,19,","40.6",",,C,19,","","","","","","","152.2",",,,C","1294",",,,C","","","","","-11.75",",,,C"
"CA006112340","1960-03","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","11",",C","8",",C","0",",C","","","7",",C","15",",C","30",",C","23",",C","0",",C","0",",C","-25.6",",C,01,","","","102",",,C,23,","10.2",",,C,23,","10.0",",C,30,","","","858.2",",C","40.2",",,,C","291",",,,C","-9.35",",C","-3.09",",,,C","-15.61",",,,C"
"CA006112340","1960-04","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","17",",C","6",",C","0",",C","","","0",",C","0",",C","13",",C","0",",C","5",",C","0",",C","-9.4",",C,06,","","","18",",,C,05,","10.9",",,C,24,","27.8",",C,24,","","","356.8",",C","45.9",",,,C","18",",,,C","6.44",",C","11.83",",,,C","1.05",",,,C"
"CA006112340","1960-05","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.8",",C","15",",C","11",",C","2",",C","","","0",",C","0",",C","1",",C","0",",C","12",",C","0",",C","-3.3",",C,02,","","","0",",,C,31,+","33.0",",,C,09,","26.1",",C,06,+","","","165.9",",C","154.6",",,,C","0",",,,C","13.01",",C","18.16",",,,C","7.85",",,,C"
"CA006112340","1960-06","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","11.9",",C","7",",C","6",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","21",",C","0",",C","2.2",",C,09,","","","0",",,C,30,+","20.3",",,C,16,","28.3",",C,27,","","","77.5",",C","78.0",",,,C","0",",,,C","16.15",",C","22.38",",,,C","9.91",",,,C"
"CA006112340","1960-07","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","36.4",",C","11",",C","6",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","28",",C","0",",C","4.4",",C,06,","","","0",",,C,31,+","22.6",",,C,18,","30.0",",C,30,+","38.5","C","38.5",",C","61.8",",,,C","0",",,,C","18.26",",C","25.19",",,,C","11.33",",,,C"
"CA006112340","1960-08","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","35.9",",C","9",",C","6",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","28",",C","1",",C","4.4",",C,24,","","","0",",,C,31,+","14.7",",,C,29,","32.2",",C,28,","65.2","C","26.7",",C","48.5",",,,C","0",",,,C","18.63",",C","25.74",",,,C","11.53",",,,C"
"CA006112340","1960-09","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","24.5",",C","8",",C","4",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","18",",C","2",",C","0.6",",C,16,","","","0",",,C,30,+","19.1",",,C,17,","33.9",",C,08,","175.7","C","110.5",",C","36.9",",,,C","0",",,,C","15.47",",C","21.80",",,,C","9.13",",,,C"
"CA006112340","1960-10","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","10",",C","7",",C","0",",C","","","1",",C","0",",C","10",",C","0",",C","3",",C","0",",C","-2.2",",C,29,+","","","64",",,C,23,","9.7",",,C,23,+","24.4",",C,14,","485.5","C","309.8",",C","57.0",",,,C","64",",,,C","8.34",",C","14.15",",,,C","2.53",",,,C"
