"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA007020884","1960-12","45.4833","-71.5167","290.0","BURY, QC CA","","","0.0",",C","19",",C","10",",C","0",",C","8",",C","11",",C","30",",C","21",",C","0",",C","0",",C","-26.1",",C,28,","137",",,C,21,","13.7",",,C,21,","11.1",",C,06,","840.4",",C","77.2",",,,C","722",",,,C","-8.78",",C","-3.71",",,,C","-13.84",",,,C"
"CA007020884","1961-01","45.4833","-71.5167","290.0","BURY, QC CA","0.0","C","0.0",",C","13",",C","5",",C","1",",C","5",",C","23",",C","31",",C","26",",C","0",",C","0",",C","-31.1",",C,22,","445",",,C,01,","44.5",",,C,01,","4.4",",C,14,","1022.5",",C","85.5",",,,C","855",",,,C","-14.65",",C","-8.42",",,,C","-20.89",",,,C"
"CA007020884","1961-02","45.4833","-71.5167","290.0","BURY, QC CA","0.0","C","0.0",",C","4","2,C","3","2,C","0","2,C","3",",C","13",",C","28",",C","16",",C","0",",C","0",",C","-31.1",",C,03,","91",",,C,14,","9.1","2,,C,14,","11.1",",C,19,","744.9",",C","22.5","2,,,C","200",",,,C","-8.27",",C","-1.41",",,,C","-15.13",",,,C"
"CA007020884","1961-03","45.4833","-71.5167","290.0","BURY, QC CA","0.0","C","0.0",",C","10","2,C","7","2,C","0","2,C","7",",C","4",",C","30",",C","13",",C","0",",C","0",",C","-23.4",",C,18,","173",",,C,09,","17.3","2,,C,09,","15.6",",C,28,","700.0",",C","51.1","2,,,C","475",",,,C","-4.25",",C","1.30",",,,C","-9.80",",,,C"
"CA007020884","1961-04","45.4833","-71.5167","290.0","BURY, QC CA","","","","","16","2,C","11","2,C","1","2,C","7",",C","","","","","0",",C","0",",C","0",",C","","","165",",,C,01,","25.7","2,,C,14,","17.2",",C,21,","","","153.3",",a,,C","522",",,,C","","","6.63",",,,C","",""
"CA007020884","1961-05","45.4833","-71.5167","290.0","BURY, QC CA","","","2.0","1,C","15",",C","8",",C","1",",C","1",",C","0","1,C","10","1,C","0",",C","6",",C","0",",C","-3.9","1,C,17,+","97",",,C,02,","26.7",",,C,26,","30.6",",C,15,","271.8",",C","114.3",",,,C","97",",,,C","9.41","1,C","15.91",",,,C","2.90","1,,,C"
"CA007020884","1961-06","45.4833","-71.5167","290.0","BURY, QC CA","","","8.9",",C","11","2,C","9","2,C","1","2,C","0",",C","0",",C","2",",C","0",",C","19",",C","0",",C","-1.1",",C,07,","0",",,C,30,+","30.2","2,,C,21,","28.4",",C,12,","94.9",",C","103.3","2,,,C","0",",,,C","15.47",",C","22.09",",,,C","8.84",",,,C"
"CA007020884","1961-09","45.4833","-71.5167","290.0","BURY, QC CA","","","","","8",",C","5",",C","0",",C","0",",C","","","","","0","3,C","20","3,C","0","3,C","","","0",",,C,30,+","23.6",",,C,14,","31.1","3,C,02,","","","50.6",",,,C","0",",,,C","","","23.98","3,,,C","",""
"CA007020884","1961-10","45.4833","-71.5167","290.0","BURY, QC CA","","","0.0","2,C","10",",C","8",",C","0",",C","0",",C","0",",C","12",",C","0","2,C","6","2,C","0","2,C","-6.7",",C,28,","0",",,C,31,+","12.7",",,C,03,","22.8","2,C,19,+","307.6","2,C","53.9",",,,C","0",",,,C","7.98","2,C","13.50","2,,,C","2.46",",,,C"
"CA007020884","1961-11","45.4833","-71.5167","290.0","BURY, QC CA","","","0.0",",C","16",",C","12",",C","0",",C","6",",C","0",",C","21",",C","9",",C","0",",C","0",",C","-10.0",",C,19,+","241",",,C,28,","24.1",",,C,28,","16.7",",C,03,","520.5",",C","115.1",",,,C","792",",,,C","0.98",",C","4.73",",,,C","-2.76",",,,C"
