"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00122309","1955-01","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","0.0","0","0.0",",0","13",",0","5",",0","0",",0","5",",0","1",",0","0",",0","25",",0","7",",0","0",",0","0",",0","1","","","","-17.2",",0,29,+","76",",,0,14,+","81",",,0,11,","15.2",",,0,05,","17.2",",0,06,","","","","","","","","","","","","","","","","","589.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5",",,,0","89",",,,0","-0.67",",0","4.16",",,,0","-5.50",",,,0","",""
"USC00122309","1955-02","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","0.0","0","0.0",",0","10",",0","9",",0","1",",0","0",",0","0",",0","2",",0","23",",0","3",",0","0",",0","0",",0","","","1","","-19.4",",0,11,","0",",T,0,14,+","0",",T,0,11,","39.9",",,0,27,","19.4",",0,28,","","","","","","","","","","","","","","","","","472.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145.1",",,,0","0",",T,,0","1.47",",0","6.76",",,,0","-3.83",",,,0","",""
"USC00122309","1955-03","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","0.0","0","0.0",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","14",",0","2",",0","3",",0","0",",0","2","","5","","-13.3",",0,26,","0",",T,0,27,+","0",",T,0,26,+","36.3",",,0,21,","22.8",",0,04,","","","","","","","","","","","","","","","","","372.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137.5",",,,0","0",",T,,0","6.33",",0","12.34",",,,0","0.32",",,,0","",""
"USC00122309","1955-04","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","17.3","0","17.3",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","18",",0","0",",0","","","3","","-3.3",",0,08,","0",",,0,30,+","0",",,0,30,+","35.6",",,0,13,","28.3",",0,19,","","","","","","","","","","","","","","","","","100.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128.1",",,,0","0",",,,0","15.56",",0","21.67",",,,0","9.45",",,,0","",""
"USC00122309","1955-05","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","62.3","0","45.0",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","","","6","","5.6",",0,31,+","0",",,0,31,+","0",",T,0,08,","30.2",",,0,11,","30.6",",0,27,","","","","","","","","","","","","","","","","","37.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.1",",,,0","0",",T,,0","18.56",",0","24.46",",,,0","12.67",",,,0","",""
"USC00122309","1955-06","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","123.4","0","61.1",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","2","","","","7.2",",0,01,","0",",,0,30,+","0",",T,0,08,","19.3",",,0,12,","31.7",",0,22,","","","","","","","","","","","","","","","","","24.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9",",,,0","0",",T,,0","19.56",",0","25.39",",,,0","13.73",",,,0","",""
"USC00122309","1955-07","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","375.0","0","251.6",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","1","","15","","18.3",",0,12,","0",",,0,31,+","0",",,0,31,+","44.2",",,0,18,","35.0",",0,29,+","","","0.0","0","","","","","","","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.5",",,,0","0",",,,0","26.45",",0","31.81",",,,0","21.09",",,,0","",""
"USC00122309","1955-08","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","579.5","0","204.5","2,0","4",",0","3",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","17","2,0","","","6","","11.1","2,0,31,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,08,","36.1","2,0,22,","","","0.0","0","","","","","","","","","","","","","0.0","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3",",,,0","0",",,,0","25.39","2,0","32.23","2,,,0","18.54","2,,,0","",""
"USC00122309","1955-09","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","703.8","0","124.3",",0","6",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","1","","4","","6.1",",0,13,","0",",,0,30,+","0",",,0,30,+","55.1",",,0,24,","35.6",",0,22,+","","","7.8","0","","","","","","","","","","","","","7.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.9",",,,0","0",",,,0","22.22",",0","29.79",",,,0","14.64",",,,0","",""
"USC00122309","1955-10","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","714.1","0","10.3",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","14",",0","0",",0","","","3","","-2.2",",0,25,","0",",,0,31,+","0",",,0,31,+","53.3",",,0,07,","26.1",",0,24,","","","165.6","0","","","","","","","","","","","","","157.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.7",",,,0","0",",,,0","13.57",",0","19.30",",,,0","7.85",",,,0","",""
"USC00122309","1955-11","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","714.9","0","0.8",",0","6",",0","6",",0","1",",0","0",",0","0",",0","0",",0","19",",0","3",",0","3",",0","0",",0","","","5","","-13.3",",0,28,","0",",T,0,30,+","0",",T,0,29,+","41.7",",,0,03,","26.1",",0,14,","","","561.4","0","","","","","","","","","","","","","395.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.1",",,,0","0",",T,,0","5.17",",0","10.76",",,,0","-0.42",",,,0","",""
"USC00122309","1955-12","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","714.9","0","0.0",",0","3",",0","1",",0","0",",0","3",",0","1",",0","0",",0","27",",0","9",",0","0",",0","0",",0","","","","","-16.7",",0,16,","25",",,0,17,+","25",",,0,15,","12.2",",,0,02,","17.8",",0,25,","","","1134.1","0","","","","","","","","","","","","","572.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7",",,,0","25",",,,0","-0.14",",0","5.27",",,,0","-5.55",",,,0","",""
"USC00122309","1956-01","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","0.0","0","0.0",",0","6",",0","4",",0","1",",0","12","1,0","3",",0","0",",0","30",",0","8",",0","0",",0","0",",0","2","","","","-11.7",",0,31,+","178","1,,0,19,","165",",,0,19,","26.4",",,0,30,","13.9",",0,06,","","","1743.0","0","","","","","","","","","","","","","608.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3",",,,0","304",",,,0","-1.31",",0","3.78",",,,0","-6.40",",,,0","",""
"USC00122309","1956-02","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","0.0","0","0.0",",0","14",",0","10",",0","5",",0","0",",0","0",",0","0",",0","21",",0","0",",0","0",",0","0",",0","5","","5","","-10.0",",0,22,","0",",T,0,23,+","0",",T,0,23,+","36.1",",,0,02,","18.9",",0,25,","","","2187.5","0","","","","","","","","","","","","","444.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197.0",",,,0","0",",T,,0","3.01",",0","7.58",",,,0","-1.57",",,,0","",""
"USC00122309","1956-03","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","0.3","0","0.3",",0","8",",0","6",",0","1",",0","1",",0","0",",0","0",",0","14",",0","0",",0","4",",0","0",",0","","","1","","-7.2",",0,20,","25",",,0,16,","13",",,0,16,","32.8",",,0,07,","24.4",",0,06,","","","2558.6","0","","","","","","","","","","","","","371.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.9",",,,0","13",",,,0","6.37",",0","12.07",",,,0","0.66",",,,0","",""
"USC00122309","1956-04","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","10.6","0","10.3",",0","12",",0","9",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","8",",0","0",",0","1","","6","","-1.7",",0,23,+","0",",,0,30,+","0",",T,0,17,+","34.3",",,0,15,","28.3",",0,28,","","","2786.8","0","","","","","","","","","","","","","228.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142.2",",,,0","0",",T,,0","11.07",",0","16.78",",,,0","5.36",",,,0","",""
"USC00122309","1956-05","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","72.8","0","62.2",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","","","1","","3.9",",0,16,+","0",",,0,31,+","0",",,0,31,+","33.0",",,0,07,","30.0",",0,31,+","","","2855.7","0","","","","","","","","","","","","","68.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5",",,,0","0",",,,0","18.12",",0","23.54",",,,0","12.69",",,,0","",""
"USC00122309","1956-06","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","214.3","0","141.5",",0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","","","7","","3.9",",0,02,","0",",,0,30,+","0",",,0,30,+","12.2",",,0,20,","32.8",",0,25,+","","","2874.3","0","","","","","","","","","","","","","18.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.7",",,,0","0",",,,0","22.43",",0","28.49",",,,0","16.37",",,,0","",""
"USC00122309","1956-07","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","391.0","0","176.7",",0","10",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","1","","8","","12.8",",0,12,+","0",",,0,31,+","0",",,0,31,+","30.7",",,0,13,","35.6",",0,28,","","","0.0","0","","","","","","","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.5",",,,0","0",",,,0","24.03",",0","29.46",",,,0","18.60",",,,0","",""
"USC00122309","1956-08","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","545.3","0","154.3","2,0","5","2,0","5","2,0","1","2,0","0",",0","0",",0","0","1,0","0","1,0","0","2,0","28","2,0","4","2,0","1","","5","","8.3","1,0,22,","0",",,0,31,+","0",",,0,31,+","34.3","2,,0,14,","36.7","2,0,06,","","","6.1","0","","","","","","","","","","","","","6.1","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.4",",a,,0","0",",,,0","23.49","2,0","29.37","2,,,0","17.62","1,,,0","",""
"USC00122309","1956-09","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","611.9","0","66.6",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","","","","","3.9",",0,20,","0",",,0,30,+","0",",,0,30,+","24.9",",,0,15,","33.3",",0,14,","173.5",",,,0","59.3","0","","","","","","","","","","","","","53.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6",",,,0","0",",,,0","18.78",",0","25.83",",,,0","11.73",",,,0","3631","1,,,0"
"USC00122309","1956-10","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","616.9","0","5.0",",0","4",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","","","","","0.6",",0,27,","0",",,0,31,+","0",",,0,31,+","36.1",",,0,04,","26.7",",0,17,+","111.4",",,,0","130.5","0","","","","","","","","","","","","","71.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.7",",,,0","0",",,,0","16.20",",0","22.55",",,,0","9.85",",,,0","3567",",,,0"
"USC00122309","1956-11","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","616.9","0","0.0",",0","8",",0","4",",0","1",",0","2",",0","1",",0","0",",0","16",",0","3",",0","7",",0","0",",0","","","","","-12.2",",0,24,","51",",,0,24,+","43",",,0,23,","29.5",",,0,21,","25.0",",0,04,","","","498.5","0","","","","","","","","","","","","","368.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.1",",,,0","43",",,,0","6.07",",0","11.72",",,,0","0.41",",,,0","",""
"USC00122309","1956-12","38.4558","-86.6983","210.3","DUBOIS S IN FORAGE FARM, IN US","616.9","0","0.0","1,0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","18",",0","1","1,0","1","1,0","0","1,0","","","","","-6.7",",0,29,","0",",T,0,29,","0",",T,0,29,+","27.9",",,0,09,","21.1","1,0,07,","","","889.7","0","","","","","","","","","","","","","391.2","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.8",",,,0","0",",T,,0","5.23","1,0","9.39","1,,,0","1.07",",,,0","",""
