"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00427565","1966-06","41.21667","-112.48333","1289.9","SALINE, UT US","154.9","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","30",",0","12",",0","1","","2.2","2,0,04,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","37.2",",0,30,+","","","7.7",",0","0.0",",,,0","0",",,,0","23.50","2,0","30.61",",,,0","16.39","2,,,0"
"USC00427565","1966-07","41.21667","-112.48333","1289.9","SALINE, UT US","310.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","2","","17.2",",0,14,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","37.8",",0,22,","0.0","","0.0",",0","0.0",",,,0","0",",,,0","28.33",",0","35.27",",,,0","21.40",",,,0"
"USC00427565","1966-08","41.21667","-112.48333","1289.9","SALINE, UT US","193.1",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","12.2",",0,27,","0",",,0,31,+","0",",,0,31,+","1.5",",,0,27,","36.7",",0,18,+","0.0","","0.0",",0","4.6",",,,0","0",",,,0","24.56",",0","32.28",",,,0","16.84",",,,0"
"USC00427565","1966-09","41.21667","-112.48333","1289.9","SALINE, UT US","71.8",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","2",",0","","","5.0",",0,29,","0",",,0,30,+","0",",,0,30,+","2.5",",,0,02,","32.2",",0,10,+","22.2","","22.2",",0","12.2",",,,0","0",",,,0","19.99",",0","26.26",",,,0","13.71",",,,0"
"USC00427565","1966-10","41.21667","-112.48333","1289.9","SALINE, UT US","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","0",",0","0",",0","","","-1.1",",0,27,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,16,+","20.0",",0,08,","328.9","","306.7",",0","0.0",",T,,0","0",",,,0","8.44",",0","13.81",",,,0","3.07",",,,0"
"USC00427565","1966-11","41.21667","-112.48333","1289.9","SALINE, UT US","0.0",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","0",",0","0",",0","","","-3.9",",0,09,","0",",,0,30,+","0",",,0,30,+","10.2",",,0,08,","16.7",",0,20,","728.2","","399.3",",0","21.9",",,,0","0",",,,0","5.02",",0","9.52",",,,0","0.52",",,,0"
"USC00427565","1967-03","41.21667","-112.48333","1289.9","SALINE, UT US","0.0","1,0","5",",0","4",",0","0",",0","","","2",",0","0","1,0","14","1,0","0",",0","0",",0","0",",0","","","-6.7","1,0,06,+","","","102",",,0,28,","16.5",",,0,14,","18.3",",0,30,+","","","350.2",",0","47.5",",,,0","181",",,,0","6.74","1,0","13.15",",,,0","0.33","1,,,0"
"USC00427565","1967-04","41.21667","-112.48333","1289.9","SALINE, UT US","0.0","2,0","8",",0","6",",0","0",",0","","","","","0","2,0","0","2,0","0",",0","0",",0","0",",0","","","1.1","2,0,06,","","","","","14.7",",,0,16,","20.0",",0,07,","","","220.0",",0","40.8",",,,0","","","10.53","2,0","17.18",",,,0","3.87","2,,,0"
"USC00427565","1967-05","41.21667","-112.48333","1289.9","SALINE, UT US","46.2",",0","9",",0","7",",0","0",",0","","","1",",0","0",",0","4",",0","0",",0","18",",0","1",",0","","","-2.2",",0,01,","","","51",",,0,01,","14.0",",,0,14,","32.2",",0,24,","","","130.6",",0","40.8",",,,0","51",",,,0","15.61",",0","22.99",",,,0","8.23",",,,0"
"USC00427565","1967-06","41.21667","-112.48333","1289.9","SALINE, UT US","78.6",",0","15",",0","13",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","9.4",",0,20,+","0",",,0,30,+","0",",,0,30,+","19.1",",,0,14,","32.2",",0,29,","","","2.2",",0","82.5",",,,0","0",",,,0","20.88",",0","28.57",",,,0","13.18",",,,0"
