"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA007025060","1965-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","10",",C","6",",C","0",",C","","","0",",C","","","0",",,C,31,+","15.2",",,C,27,","41.2",",,,C","0",",,,C"
"CA007025060","1965-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","7","1,C","6","1,C","0","1,C","","","0",",C","","","0",",,C,30,+","15.5","1,,C,07,","57.4","1,,,C","0",",,,C"
"CA007025060","1965-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","15",",C","12",",C","0",",C","","","0",",C","","","0",",,C,31,+","16.5",",,C,05,","92.1",",,,C","0",",,,C"
"CA007025060","1965-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","14","2,C","13","2,C","1","2,C","","","0",",C","","","0",",,C,31,+","29.2","2,,C,17,","162.1","2,,,C","0",",,,C"
"CA007025060","1965-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","12","2,C","8","2,C","2","2,C","","","0",",C","","","0",",,C,30,+","40.6","2,,C,24,","131.3",",a,,C","0",",,,C"
"CA007025060","1965-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","16","2,C","13","2,C","2","2,C","","","0","2,C","","","0","2,,C,31,+","32.0","2,,C,15,","164.2","2,,,C","0","2,,,C"
"CA007025060","1966-04","45.25","-71.7833","255.0","MOE S RIVER, QC CA","4","2,C","3","2,C","0","2,C","","","1",",C","","","102",",,C,08,","10.2","2,,C,08,","17.2","2,,,C","102",",,,C"
"CA007025060","1966-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","","","","","","","","","0",",C","","","0",",,C,31,+","","","75.7",",a,,C","0",",,,C"
"CA007025060","1966-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","11",",C","10",",C","1",",C","","","0",",C","","","0",",,C,30,+","25.7",",,C,24,","111.1",",,,C","0",",,,C"
"CA007025060","1966-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","13","1,C","12","1,C","0","1,C","","","0",",C","","","0",",,C,31,+","19.6","1,,C,10,","102.0","1,,,C","0",",,,C"
"CA007025060","1966-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","11","1,C","7","1,C","2","1,C","","","0",",C","","","0",",,C,31,+","39.1","1,,C,16,","114.8","1,,,C","0",",,,C"
"CA007025060","1966-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","10","3,C","7","3,C","0","3,C","","","0",",C","","","0",",,C,30,+","19.6","3,,C,21,","86.0",",a,,C","0",",,,C"
"CA007025060","1966-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","7",",C","5",",C","0",",C","","","0",",C","","","0",",,C,31,+","17.3",",,C,19,","59.4",",,,C","0",",,,C"
"CA007025060","1973-04","45.25","-71.7833","255.0","MOE S RIVER, QC CA","10",",C","6",",C","0",",C","","","2",",C","","","140",",,C,10,","14.0",",,C,10,","56.1",",,,C","275",",,,C"
"CA007025060","1973-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","19",",C","14",",C","1",",C","","","0",",C","","","0",",,C,31,+","31.5",",,C,31,","159.2",",,,C","0",",,,C"
"CA007025060","1973-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","16",",C","13",",C","1",",C","","","0",",C","","","0",",,C,30,+","31.2",",,C,29,","172.9",",,,C","0",",,,C"
"CA007025060","1973-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","12",",C","8",",C","0",",C","","","0",",C","","","0",",,C,31,+","14.2",",,C,28,","59.1",",,,C","0",",,,C"
"CA007025060","1973-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","16",",C","11",",C","1",",C","","","0",",C","","","0",",,C,31,+","40.6",",,C,27,","115.5",",,,C","0",",,,C"
"CA007025060","1973-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","15","1,C","9","1,C","0","1,C","","","0",",C","","","0",",,C,30,+","21.6","1,,C,18,","87.7","1,,,C","0",",,,C"
"CA007025060","1973-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","7","2,C","3","2,C","0","2,C","","","0",",C","","","0",",,C,31,+","18.8","2,,C,03,","52.6",",a,,C","0",",,,C"
"CA007025060","1974-04","45.25","-71.7833","255.0","MOE S RIVER, QC CA","19",",C","10",",C","2",",C","","","2",",C","","","152",",,C,09,","46.7",",,C,23,","165.1",",,,C","228",",,,C"
"CA007025060","1974-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","22",",C","11",",C","0",",C","","","0",",C","","","0",",,C,31,+","20.3",",,C,22,","127.8",",,,C","0",",,,C"
"CA007025060","1974-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","15",",C","8",",C","2",",C","","","0",",C","","","0",",,C,30,+","41.1",",,C,21,","157.6",",,,C","0",",,,C"
"CA007025060","1974-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","19",",C","12",",C","1",",C","","","0",",C","","","0",",,C,31,+","42.2",",,C,09,","186.7",",,,C","0",",,,C"
"CA007025060","1974-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","10",",C","3",",C","1",",C","","","0",",C","","","0",",,C,31,+","49.5",",,C,17,","69.6",",,,C","0",",,,C"
"CA007025060","1974-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","14",",C","10",",C","1",",C","","","0",",C","","","0",",,C,30,+","29.2",",,C,20,","117.1",",,,C","0",",,,C"
"CA007025060","1974-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","10",",C","7",",C","1",",C","","","0",",C","","","0",",,C,31,+","27.2",",,C,14,","75.4",",,,C","0",",,,C"
"CA007025060","1975-04","45.25","-71.7833","255.0","MOE S RIVER, QC CA","5","4,C","4","4,C","0","4,C","","","1","4,C","","","152","4,,C,03,","15.2","4,,C,03,","28.9","4,,,C","152","4,,,C"
"CA007025060","1975-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","12",",C","8",",C","1",",C","","","0",",C","","","0",",,C,31,+","27.4",",,C,26,","78.7",",,,C","0",",,,C"
"CA007025060","1975-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","8",",C","6",",C","0",",C","","","0",",C","","","0",",,C,30,+","17.3",",,C,12,","56.4",",,,C","0",",,,C"
"CA007025060","1975-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","15",",C","11",",C","1",",C","","","0",",C","","","0",",,C,31,+","29.2",",,C,20,","137.0",",,,C","0",",,,C"
"CA007025060","1975-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","8",",C","7",",C","1",",C","","","0",",C","","","0",",,C,31,+","74.9",",,C,26,","125.0",",,,C","0",",,,C"
"CA007025060","1975-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","19","1,C","14","1,C","2","1,C","","","0",",C","","","0",",,C,30,+","27.2","1,,C,02,","147.5","1,,,C","0",",,,C"
"CA007025060","1975-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","16",",C","10",",C","2",",C","","","0",",C","","","0",",,C,31,+","26.4",",,C,11,","123.6",",,,C","0",",,,C"
"CA007025060","1976-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","17",",C","13",",C","1",",C","","","0",",C","","","0",",,C,31,+","45.5",",,C,18,","152.0",",,,C","0",",,,C"
"CA007025060","1976-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","17",",C","10",",C","2",",C","","","0",",C","","","0",",,C,30,+","29.2",",,C,08,","147.0",",,,C","0",",,,C"
"CA007025060","1976-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","17",",C","16",",C","3",",C","","","0",",C","","","0",",,C,31,+","44.2",",,C,31,","252.0",",,,C","0",",,,C"
"CA007025060","1976-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","16",",C","11",",C","1",",C","","","0",",C","","","0",",,C,31,+","44.5",",,C,10,","161.6",",,,C","0",",,,C"
"CA007025060","1976-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","15",",C","11",",C","0",",C","","","0",",C","","","0",",,C,30,+","24.6",",,C,10,","100.4",",,,C","0",",,,C"
"CA007025060","1976-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","16",",C","11",",C","0",",C","","","1",",C","","","25",",,C,31,","22.9",",,C,07,","132.2",",,,C","25",",,,C"
"CA007025060","1977-04","45.25","-71.7833","255.0","MOE S RIVER, QC CA","17",",C","6",",C","0",",C","","","0",",C","","","8",",,C,02,","9.1",",,C,25,","57.7",",,,C","8",",,,C"
"CA007025060","1977-05","45.25","-71.7833","255.0","MOE S RIVER, QC CA","7",",C","4",",C","0",",C","","","0",",C","","","0",",,C,31,+","18.3",",,C,28,","37.9",",,,C","0",",,,C"
"CA007025060","1977-06","45.25","-71.7833","255.0","MOE S RIVER, QC CA","22",",C","17",",C","0",",C","","","0",",C","","","0",",,C,30,+","19.8",",,C,25,","154.6",",,,C","0",",,,C"
"CA007025060","1977-07","45.25","-71.7833","255.0","MOE S RIVER, QC CA","12",",C","8",",C","0",",C","","","0",",C","","","0",",,C,31,+","18.8",",,C,13,","64.4",",,,C","0",",,,C"
"CA007025060","1977-08","45.25","-71.7833","255.0","MOE S RIVER, QC CA","15",",C","11",",C","0",",C","","","0",",C","","","0",",,C,31,+","20.6",",,C,05,","105.1",",,,C","0",",,,C"
"CA007025060","1977-09","45.25","-71.7833","255.0","MOE S RIVER, QC CA","18",",C","13",",C","1",",C","","","0",",C","","","0",",,C,30,+","35.8",",,C,13,","154.9",",,,C","0",",,,C"
"CA007025060","1977-10","45.25","-71.7833","255.0","MOE S RIVER, QC CA","17",",C","10",",C","2",",C","","","0",",C","","","0",",,C,31,+","39.9",",,C,01,","139.5",",,,C","0",",,,C"
"CA007025060","1978-04","45.25","-71.7833","255.0","MOE S RIVER, QC CA","12",",C","3",",C","0",",C","","","0",",C","","","0",",,C,30,+","12.4",",,C,11,","35.1",",,,C","0",",,,C"
