"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00052121","1951-12","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","7",",0","6",",0","1",",0","","","2","3,0","","","","","","","","","","","2","","","","","","51","3,,0,05,","32.8",",,0,30,","","","","","","","76.0",",,,0","113","3,,,0","","","","","","","",""
"USC00052121","1952-01","39.33333","-108.21667","1510.0","DE BEQUE, CO US","0.0","0","0.0",",0","10",",0","4",",0","0",",0","","","2","1,0","4",",0","31",",0","11",",0","0",",0","0",",0","","","-23.3",",0,11,+","","","53","1,,0,18,","12.7",",,0,25,","9.4",",0,26,","","","703.1",",0","33.4",",,,0","115","1,,,0","-4.35",",0","2.42",",,,0","-11.12",",,,0","5033","3,,,0"
"USC00052121","1952-02","39.33333","-108.21667","1510.0","DE BEQUE, CO US","0.0","0","0.0",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","0",",0","0",",0","","","-17.2",",0,25,","0",",T,0,29,+","10",",,0,18,","2.5",",,0,18,","10.6",",0,17,","","","594.7",",0","8.0",",,,0","10",",,,0","-2.17",",0","5.08",",,,0","-9.43",",,,0","5127","2,,,0"
"USC00052121","1952-03","39.33333","-108.21667","1510.0","DE BEQUE, CO US","0.0","0","0.0",",0","13",",0","6",",0","0",",0","","","","","0",",0","29",",0","2",",0","0",",0","0",",0","","","-14.4",",0,23,","","","","","5.1",",,0,24,+","15.0",",0,29,+","","","517.8",",0","34.6",",,,0","","","1.63",",0","7.95",",,,0","-4.70",",,,0","3884","1,,,0"
"USC00052121","1952-04","39.33333","-108.21667","1510.0","DE BEQUE, CO US","0.0","0","0.0","1,0","5",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","9","1,0","0","1,0","11","1,0","0","1,0","","","-4.4","1,0,01,","0",",,0,30,+","0",",,0,30,+","9.7",",,0,30,","29.4","1,0,27,","","","214.6","1,0","18.1",",,,0","0",",,,0","10.93","1,0","19.78","1,,,0","2.09","1,,,0","5451","4,,,0"
"USC00052121","1952-05","39.33333","-108.21667","1510.0","DE BEQUE, CO US","1.1","0","1.1","2,0","6",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","24","2,0","0","2,0","","","2.8","2,0,11,+","0",",,0,31,+","0",",T,0,22,","17.3",",,0,21,","30.6","2,0,03,","","","84.3","2,0","22.0",",,,0","0",",T,,0","15.46","2,0","25.25","2,,,0","5.68","2,,,0","",""
"USC00052121","1952-06","39.33333","-108.21667","1510.0","DE BEQUE, CO US","67.9","0","66.8","2,0","4",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","28","2,0","19","2,0","","","5.0","2,0,17,","0",",,0,30,+","0",",,0,30,+","3.8",",,0,04,","36.7","2,0,09,","","","2.2","2,0","7.9",",,,0","0",",,,0","20.64","2,0","32.08","2,,,0","9.21","2,,,0","",""
"USC00052121","1952-07","39.33333","-108.21667","1510.0","DE BEQUE, CO US","214.0","0","146.1","2,0","9",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","25","1,0","","","7.8","1,0,13,","0",",,0,31,+","0",",,0,31,+","4.1",",,0,26,","37.2","1,0,23,+","0.0","0","0.0","1,0","16.3",",,,0","0",",,,0","23.46","2,0","33.68","1,,,0","13.23","1,,,0","",""
"USC00052121","1952-08","39.33333","-108.21667","1510.0","DE BEQUE, CO US","339.0","0","125.0","2,0","11",",0","5",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","18","2,0","","","10.0","2,0,25,+","0",",,0,31,+","0",",,0,31,+","9.7",",,0,10,","36.7","2,0,22,","0.0","0","0.0","2,0","34.0",",,,0","0",",,,0","22.64","2,0","32.47","2,,,0","12.81","2,,,0","850","4,,,0"
"USC00052121","1952-09","39.33333","-108.21667","1510.0","DE BEQUE, CO US","367.1","0","28.1","3,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","2,0","28","2,0","8","2,0","","","2.8","1,0,25,+","0",",,0,30,+","0",",,0,30,+","7.1",",,0,21,","35.6","2,0,06,","15.0","0","15.0","2,0","7.6",",,,0","0",",,,0","18.91","3,0","30.74","2,,,0","7.09","1,,,0","",""
