"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"IN010072200","1901-01","10.98","76.47","90.0","MANNARGHAT, IN","1","3,I","1","3,I","0","3,I","3.3","3,,I,11,","3.3","3,,,I"
"IN010072200","1901-02","10.98","76.47","90.0","MANNARGHAT, IN","3","2,I","2","2,I","0","2,I","4.6","2,,I,22,+","9.7","2,,,I"
"IN010072200","1901-03","10.98","76.47","90.0","MANNARGHAT, IN","2","3,I","2","3,I","0","3,I","9.1","3,,I,19,","13.2","3,,,I"
"IN010072200","1901-04","10.98","76.47","90.0","MANNARGHAT, IN","8","2,I","7","2,I","1","2,I","38.1","2,,I,25,","92.2","2,,,I"
"IN010072200","1901-05","10.98","76.47","90.0","MANNARGHAT, IN","6","3,I","4","3,I","2","3,I","57.4","3,,I,17,","121.4","3,,,I"
"IN010072200","1901-06","10.98","76.47","90.0","MANNARGHAT, IN","26","2,I","21","2,I","11","2,I","76.5","2,,I,11,","687.6","2,,,I"
"IN010072200","1901-07","10.98","76.47","90.0","MANNARGHAT, IN","25","3,I","25","3,I","12","3,I","196.1","3,,I,06,","891.4","3,,,I"
"IN010072200","1901-08","10.98","76.47","90.0","MANNARGHAT, IN","21","3,I","19","3,I","0","3,I","22.9","3,,I,15,","220.1","3,,,I"
"IN010072200","1901-09","10.98","76.47","90.0","MANNARGHAT, IN","19","2,I","17","2,I","4","2,I","66.5","2,,I,10,","356.6","2,,,I"
"IN010072200","1901-10","10.98","76.47","90.0","MANNARGHAT, IN","19","3,I","14","3,I","3","3,I","171.5","3,,I,06,","382.3","3,,,I"
"IN010072200","1901-11","10.98","76.47","90.0","MANNARGHAT, IN","14","2,I","11","2,I","5","2,I","94.2","2,,I,14,","337.2","2,,,I"
"IN010072200","1901-12","10.98","76.47","90.0","MANNARGHAT, IN","1","3,I","1","3,I","0","3,I","7.1","3,,I,12,","7.1","3,,,I"
"IN010072200","1902-01","10.98","76.47","90.0","MANNARGHAT, IN","1","1,I","0","1,I","0","1,I","0.8","1,,I,03,","0.8","1,,,I"
"IN010072200","1902-02","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,28,+","0.0",",,,I"
"IN010072200","1902-03","10.98","76.47","90.0","MANNARGHAT, IN","5","1,I","5","1,I","0","1,I","16.5","1,,I,29,","63.3","1,,,I"
"IN010072200","1902-04","10.98","76.47","90.0","MANNARGHAT, IN","8","1,I","6","1,I","0","1,I","12.7","1,,I,15,","53.4","1,,,I"
"IN010072200","1902-05","10.98","76.47","90.0","MANNARGHAT, IN","11","1,I","6","1,I","2","1,I","37.1","1,,I,21,","117.4","1,,,I"
"IN010072200","1902-06","10.98","76.47","90.0","MANNARGHAT, IN","20","1,I","16","1,I","3","1,I","58.2","1,,I,13,","237.9","1,,,I"
"IN010072200","1902-07","10.98","76.47","90.0","MANNARGHAT, IN","28","1,I","26","1,I","16","1,I","285.0","1,,I,16,","1381.9","1,,,I"
"IN010072200","1902-08","10.98","76.47","90.0","MANNARGHAT, IN","19","1,I","15","1,I","1","1,I","26.2","1,,I,16,","144.5","1,,,I"
"IN010072200","1902-09","10.98","76.47","90.0","MANNARGHAT, IN","21","1,I","15","1,I","8","1,I","58.4","1,,I,09,","417.2","1,,,I"
"IN010072200","1902-10","10.98","76.47","90.0","MANNARGHAT, IN","23","1,I","18","1,I","5","1,I","63.0","1,,I,07,","399.9","1,,,I"
"IN010072200","1902-11","10.98","76.47","90.0","MANNARGHAT, IN","11","1,I","10","1,I","1","1,I","67.3","1,,I,15,","169.5","1,,,I"
"IN010072200","1902-12","10.98","76.47","90.0","MANNARGHAT, IN","9","1,I","6","1,I","2","1,I","69.6","1,,I,06,","177.5","1,,,I"
"IN010072200","1903-01","10.98","76.47","90.0","MANNARGHAT, IN","0","1,I","0","1,I","0","1,I","0.0","1,,I,31,+","0.0","1,,,I"
"IN010072200","1903-02","10.98","76.47","90.0","MANNARGHAT, IN","0","1,I","0","1,I","0","1,I","0.0","1,,I,28,+","0.0","1,,,I"
"IN010072200","1903-03","10.98","76.47","90.0","MANNARGHAT, IN","1","1,I","0","1,I","0","1,I","2.3","1,,I,29,","2.3","1,,,I"
"IN010072200","1903-04","10.98","76.47","90.0","MANNARGHAT, IN","6","1,I","6","1,I","0","1,I","21.1","1,,I,05,","65.8","1,,,I"
"IN010072200","1903-05","10.98","76.47","90.0","MANNARGHAT, IN","16","1,I","13","1,I","2","1,I","35.8","1,,I,20,","182.4","1,,,I"
"IN010072200","1903-06","10.98","76.47","90.0","MANNARGHAT, IN","20","1,I","17","1,I","4","1,I","119.4","1,,I,13,","389.9","1,,,I"
"IN010072200","1903-07","10.98","76.47","90.0","MANNARGHAT, IN","28","1,I","27","1,I","16","1,I","107.7","1,,I,17,","993.3","1,,,I"
"IN010072200","1903-08","10.98","76.47","90.0","MANNARGHAT, IN","23","1,I","18","1,I","4","1,I","49.5","1,,I,18,","340.8","1,,,I"
"IN010072200","1903-09","10.98","76.47","90.0","MANNARGHAT, IN","27","1,I","19","1,I","4","1,I","65.0","1,,I,04,","380.2","1,,,I"
"IN010072200","1903-10","10.98","76.47","90.0","MANNARGHAT, IN","18","1,I","12","1,I","5","1,I","132.1","1,,I,02,","381.6","1,,,I"
"IN010072200","1903-11","10.98","76.47","90.0","MANNARGHAT, IN","9","1,I","7","1,I","1","1,I","56.9","1,,I,11,","139.3","1,,,I"
"IN010072200","1903-12","10.98","76.47","90.0","MANNARGHAT, IN","3","1,I","1","1,I","1","1,I","93.7","1,,I,31,","96.0","1,,,I"
"IN010072200","1904-01","10.98","76.47","90.0","MANNARGHAT, IN","2",",I","1",",I","0",",I","5.1",",,I,01,","7.4",",,,I"
"IN010072200","1904-02","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,29,+","0.0",",,,I"
"IN010072200","1904-03","10.98","76.47","90.0","MANNARGHAT, IN","1",",I","1",",I","0",",I","10.7",",,I,13,","10.7",",,,I"
"IN010072200","1904-04","10.98","76.47","90.0","MANNARGHAT, IN","3",",I","3",",I","1",",I","30.0",",,I,01,","53.4",",,,I"
"IN010072200","1904-05","10.98","76.47","90.0","MANNARGHAT, IN","18",",I","10",",I","5",",I","40.6",",,I,17,","220.7",",,,I"
"IN010072200","1904-06","10.98","76.47","90.0","MANNARGHAT, IN","30",",I","30",",I","15",",I","124.5",",,I,22,","1068.7",",,,I"
"IN010072200","1904-07","10.98","76.47","90.0","MANNARGHAT, IN","29",",I","26",",I","7",",I","125.7",",,I,09,","733.4",",,,I"
"IN010072200","1904-08","10.98","76.47","90.0","MANNARGHAT, IN","17",",I","15",",I","6",",I","78.5",",,I,09,","323.8",",,,I"
"IN010072200","1904-09","10.98","76.47","90.0","MANNARGHAT, IN","19",",I","12",",I","2",",I","27.7",",,I,22,","132.0",",,,I"
"IN010072200","1904-10","10.98","76.47","90.0","MANNARGHAT, IN","19",",I","18",",I","5",",I","97.5",",,I,17,","449.6",",,,I"
"IN010072200","1904-11","10.98","76.47","90.0","MANNARGHAT, IN","5",",I","3",",I","2",",I","49.0",",,I,05,","86.6",",,,I"
"IN010072200","1904-12","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN010072200","1905-01","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN010072200","1905-02","10.98","76.47","90.0","MANNARGHAT, IN","1",",I","1",",I","0",",I","8.6",",,I,24,","8.6",",,,I"
"IN010072200","1905-03","10.98","76.47","90.0","MANNARGHAT, IN","2",",I","1",",I","0",",I","5.1",",,I,17,","5.6",",,,I"
"IN010072200","1905-04","10.98","76.47","90.0","MANNARGHAT, IN","7",",I","5",",I","2",",I","30.0",",,I,18,","73.8",",,,I"
"IN010072200","1905-05","10.98","76.47","90.0","MANNARGHAT, IN","16",",I","12",",I","2",",I","88.9",",,I,18,","208.2",",,,I"
"IN010072200","1905-06","10.98","76.47","90.0","MANNARGHAT, IN","24",",I","22",",I","12",",I","149.4",",,I,10,","874.5",",,,I"
"IN010072200","1905-07","10.98","76.47","90.0","MANNARGHAT, IN","28",",I","25",",I","8",",I","102.4",",,I,21,","602.9",",,,I"
"IN010072200","1905-08","10.98","76.47","90.0","MANNARGHAT, IN","21",",I","18",",I","5",",I","49.8",",,I,18,","297.9",",,,I"
"IN010072200","1905-09","10.98","76.47","90.0","MANNARGHAT, IN","13",",I","10",",I","1",",I","25.4",",,I,06,","115.7",",,,I"
"IN010072200","1905-10","10.98","76.47","90.0","MANNARGHAT, IN","17",",I","14",",I","6",",I","94.7",",,I,15,","450.5",",,,I"
"IN010072200","1905-11","10.98","76.47","90.0","MANNARGHAT, IN","6",",I","6",",I","1",",I","48.3",",,I,26,","99.6",",,,I"
"IN010072200","1905-12","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN010072200","1906-01","10.98","76.47","90.0","MANNARGHAT, IN","2",",I","1",",I","0",",I","21.6",",,I,18,","23.4",",,,I"
"IN010072200","1906-02","10.98","76.47","90.0","MANNARGHAT, IN","1",",I","1",",I","1",",I","39.4",",,I,28,","39.4",",,,I"
"IN010072200","1906-03","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,31,+","0.0",",,,I"
"IN010072200","1906-04","10.98","76.47","90.0","MANNARGHAT, IN","2",",I","1",",I","0",",I","2.5",",,I,30,","3.0",",,,I"
"IN010072200","1906-05","10.98","76.47","90.0","MANNARGHAT, IN","10",",I","6",",I","1",",I","26.4",",,I,11,","107.7",",,,I"
"IN010072200","1906-06","10.98","76.47","90.0","MANNARGHAT, IN","21",",I","12",",I","4",",I","46.5",",,I,22,","221.3",",,,I"
"IN010072200","1906-07","10.98","76.47","90.0","MANNARGHAT, IN","30",",I","28",",I","13",",I","132.1",",,I,20,","824.2",",,,I"
"IN010072200","1906-08","10.98","76.47","90.0","MANNARGHAT, IN","27",",I","21",",I","6",",I","41.4",",,I,26,","358.6",",,,I"
"IN010072200","1906-09","10.98","76.47","90.0","MANNARGHAT, IN","18",",I","8",",I","0",",I","13.7",",,I,06,","68.9",",,,I"
"IN010072200","1906-10","10.98","76.47","90.0","MANNARGHAT, IN","23",",I","11",",I","4",",I","50.0",",,I,09,","245.9",",,,I"
"IN010072200","1906-11","10.98","76.47","90.0","MANNARGHAT, IN","8",",I","8",",I","1",",I","33.5",",,I,09,","112.5",",,,I"
"IN010072200","1906-12","10.98","76.47","90.0","MANNARGHAT, IN","4",",I","4",",I","2",",I","27.9",",,I,20,","64.5",",,,I"
"IN010072200","1907-01","10.98","76.47","90.0","MANNARGHAT, IN","1",",I","0",",I","0",",I","1.8",",,I,10,","1.8",",,,I"
"IN010072200","1907-02","10.98","76.47","90.0","MANNARGHAT, IN","0",",I","0",",I","0",",I","0.0",",,I,28,+","0.0",",,,I"
"IN010072200","1907-03","10.98","76.47","90.0","MANNARGHAT, IN","3",",I","3",",I","1",",I","29.2",",,I,29,","48.5",",,,I"
"IN010072200","1907-04","10.98","76.47","90.0","MANNARGHAT, IN","13",",I","12",",I","2",",I","89.2",",,I,28,","244.1",",,,I"
