"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00347820","1893-01","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","0.0","","0.0",",6","1",",6","1",",6","0",",6","","","1",",6","24",",6","1",",6","2",",6","0",",6","","","-19.4",",6,19,","","","12.7",",,6,17,","22.8",",6,28,","","","480.5",",6","12.7",",,,6","","","2.83",",6","10.78",",,,6","-5.12",",,,6"
"USC00347820","1893-02","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","0.0","","0.0","4,6","","","","","","","","","0","2,6","22","2,6","3","2,6","1","2,6","0","2,6","","","-15.6","2,6,01,","","","","","21.1","2,6,22,","","","352.8","2,6","","","","","3.48","4,6","11.78","2,,,6","-4.81","2,,,6"
"USC00347820","1893-03","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","0.0","","0.0","1,6","2",",6","2",",6","1",",6","","","0",",6","18",",6","0","1,6","9","1,6","0","1,6","","","-11.1",",6,04,","","","26.7",",,6,07,","28.9","1,6,31,+","","","278.9","1,6","44.5",",,,6","","","9.17","1,6","18.28","1,,,6","0.05",",,,6"
"USC00347820","1893-04","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","48.8","","48.8",",6","","","","","","","","","0",",6","3",",6","0",",6","22",",6","5",",6","","","-1.1",",6,14,","","","","","34.4",",6,06,+","","","96.7",",6","","","","","16.74",",6","25.20",",,,6","8.27",",,,6"
"USC00347820","1893-05","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","62.1","","13.3",",6","6",",6","5",",6","1",",6","","","0",",6","0",",6","0",",6","26",",6","0",",6","","","3.9",",6,03,","","","43.7",",,6,28,","31.1",",6,19,","","","69.0",",6","97.4",",,,6","","","16.54",",6","25.49",",,,6","7.58",",,,6"
"USC00347820","1893-06","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","221.9","","159.8",",6","","","","","","","","","0",",6","0",",6","0",",6","30",",6","10",",6","","","10.0",",6,08,","","","","","38.3",",6,25,","","","0.0",",6","","","","","23.66",",6","30.49",",,,6","16.83",",,,6"
"USC00347820","1893-07","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","463.9","","242.0",",6","4",",6","4",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","23",",6","","","15.6",",6,24,","","","24.9",",,6,16,","38.3",",6,30,","0.0","","0.0",",6","61.0",",,,6","","","26.14",",6","33.98",",,,6","18.30",",,,6"
"USC00347820","1893-08","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","644.6","","180.7",",6","4",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","14",",6","","","8.3",",6,29,","","","102.1",",,6,10,","35.6",",6,26,+","1.4","","1.4",",6","132.1",",,,6","","","24.12",",6","31.52",",,,6","16.71",",,,6"
"USC00347820","1893-09","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","806.3","","161.7",",6","3",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","29",",6","18",",6","","","4.4",",6,26,","","","28.7",",,6,25,","40.0",",6,13,","12.5","","11.1",",6","52.6",",,,6","","","23.35",",6","32.19",",,,6","14.52",",,,6"
"USC00347820","1894-03","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","7.8",",6","4",",6","4",",6","1",",6","","","0",",6","8",",6","0",",6","14",",6","0",",6","","","-7.2",",6,29,+","","","38.6",",,6,05,","31.1",",6,16,","","","184.8",",6","81.3",",,,6","","","12.62",",6","19.49",",,,6","5.75",",,,6"
