"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00249011","1919-08","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","","","4",",6","1",",6","0",",6","","","0",",6","0",",6","","","","","","","4.4",",6,07,","","","3.0",",,6,04,","","","2321.6","1,,,6","","","","","7.9",",,,6","","","","","","","10.95",",,,6","5966","1,,,6"
"USC00249011","1919-09","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","4.8","2,6","10",",6","2",",6","1",",6","","","0","1,6","6","1,6","1","2,6","18","2,6","0","2,6","-8.9","1,6,29,","","","26.4",",,6,27,","31.7","2,6,12,","","","","","156.5","2,6","38.1",",,,6","","","13.05","2,6","21.25","2,,,6","4.84","1,,,6","7162","1,,,6"
"USC00249011","1919-10","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","7",",6","5",",6","0",",6","","","3",",6","19",",6","6",",6","2",",6","0",",6","-22.8",",6,27,","","","8.4",",,6,08,","22.8",",6,07,","","","","","498.4",",6","37.1",",,,6","","","2.25",",6","8.68",",,,6","-4.17",",,,6","",""
"USC00249011","1919-11","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","12",",6","1",",6","0",",6","","","10",",6","23",",6","10",",6","0",",6","0",",6","-25.0",",6,11,","","","3.8",",,6,30,","16.7",",6,23,+","","","","","626.2",",6","17.1",",,,6","","","-2.54",",6","4.29",",,,6","-9.37",",,,6","",""
"USC00249011","1920-02","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","1,6","8",",6","2",",6","0",",6","","","5",",6","24",",6","6","1,6","0","1,6","0","1,6","-21.7",",6,21,","","","6.6",",,6,20,","12.2","1,6,18,+","","","","","563.1","1,6","17.0",",,,6","","","-1.75","1,6","4.51","1,,,6","-8.01",",,,6","",""
"USC00249011","1920-03","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","10",",6","2",",6","0",",6","2",",6","3",",6","26",",6","6",",6","0",",6","0",",6","-29.4",",6,06,","46",",,6,05,","4.3",",,6,23,","16.7",",6,21,","","","","","582.2",",6","13.1",",,,6","127",",,,6","-0.45",",6","5.20",",,,6","-6.09",",,,6","",""
"USC00249011","1920-04","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","18",",6","9",",6","0",",6","","","0",",6","26",",6","1",",6","0",",6","0",",6","-14.4",",6,03,","","","19.1",",,6,10,","20.0",",6,20,","","","","","481.3",",6","74.7",",,,6","","","2.29",",6","8.30",",,,6","-3.73",",,,6","",""
"USC00249011","1920-05","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","7",",6","4",",6","1",",6","","","0",",6","6",",6","0",",6","2",",6","0",",6","-1.7",",6,02,","","","26.9",",,6,12,","23.3",",6,27,+","","","","","286.3",",6","53.5",",,,6","","","9.10",",6","15.46",",,,6","2.74",",,,6","",""
"USC00249011","1920-06","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","10",",6","6",",6","0",",6","","","0",",6","1",",6","0",",6","17",",6","0",",6","0.0",",6,02,","","","10.9",",,6,03,","28.3",",6,22,","1548.7",",,,6","","","124.7",",6","45.0",",,,6","","","14.18",",6","21.29",",,,6","7.07",",,,6","7092",",,,6"
"USC00249011","1920-07","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","82.4",",6","6",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","7",",6","5.6",",6,07,","","","12.2",",,6,22,","33.3",",6,30,","","","12.3","6","12.3",",6","20.1",",,,6","","","20.60",",6","29.16",",,,6","12.03",",,,6","6382",",,,6"
"USC00249011","1920-08","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","66.0","1,6","5",",6","3",",6","0",",6","","","0","1,6","0","1,6","0",",6","26",",6","5",",6","2.8","1,6,31,","","","13.7",",,6,11,","33.3",",6,15,","","","53.9","6","41.6",",6","23.1",",,,6","","","19.18","1,6","27.35",",,,6","11.02","1,,,6","6861",",,,6"
"USC00249011","1920-09","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","5.0",",6","1",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","16",",6","0",",6","0.6",",6,29,","","","8.1",",,6,24,","30.0",",6,17,+","","","190.4","6","136.5",",6","8.1",",,,6","","","13.95",",6","21.41",",,,6","6.49",",,,6","7997",",,,6"
"USC00249011","1920-10","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","1.1","1,6","4",",6","1",",6","0",",6","","","0",",6","14",",6","1","1,6","4","1,6","0","1,6","-6.7",",6,31,+","","","14.5",",,6,13,","28.9","1,6,06,","","","529.7","6","339.3","1,6","17.9",",,,6","","","7.12","1,6","13.20","1,,,6","1.04",",,,6","9974",",,,6"
"USC00249011","1920-11","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","1,6","2",",6","0",",6","0",",6","","","2","1,6","19","1,6","3",",6","0",",6","0",",6","-25.6","1,6,12,","","","2.0",",,6,08,","13.3",",6,29,","","","1044.7","6","515.0",",6","3.5",",,,6","","","0.62","1,6","5.94",",,,6","-4.71","1,,,6","",""
"USC00249011","1920-12","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","1,6","4",",6","0",",6","0",",6","","","3","1,6","27","1,6","6",",6","0",",6","0",",6","-23.9","1,6,22,","","","0.8",",,6,14,","12.8",",6,01,","","","1636.9","6","592.2",",6","2.1",",,,6","","","-1.34","1,6","4.09",",,,6","-6.76","1,,,6","",""
"USC00249011","1921-01","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","6","0.0","3,6","2",",6","0",",6","0",",6","","","0","3,6","28","3,6","7",",6","0",",6","0",",6","-16.7","3,6,17,+","","","0.5",",,6,17,","10.6",",6,26,","","","2232.5","6","595.6",",6","0.8",",,,6","","","-2.83","3,6","4.01",",,,6","-9.66","3,,,6","",""
"USC00249011","1921-03","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","9",",6","1",",6","0",",6","","","5",",6","28",",6","4",",6","0",",6","0",",6","-24.4",",6,12,","","","3.0",",,6,11,","16.7",",6,03,","","","","","600.5",",6","10.6",",,,6","","","-1.04",",6","5.49",",,,6","-7.56",",,,6","",""
"USC00249011","1921-04","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","1,6","7",",6","4",",6","0",",6","","","0","1,6","19","1,6","3",",6","0",",6","0",",6","-11.1","1,6,09,","","","7.9",",,6,03,","17.8",",6,12,","","","","","388.1",",6","26.5",",,,6","","","4.95","1,6","10.82",",,,6","-0.91","1,,,6","11242",",,,6"
"USC00249011","1921-05","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","","","11",",6","5",",6","0",",6","","","","","","","0","1,6","7","1,6","0","1,6","","","","","23.4",",,6,06,","26.7","1,6,24,","","","","","","","54.5",",,,6","","","","","16.68","1,,,6","","","7755",",,,6"
"USC00249011","1921-06","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","","","9",",6","2",",6","0",",6","","","","","","","0",",6","22",",6","1",",6","","","","","15.7",",,6,16,","32.2",",6,29,","1513.9","1,,,6","","","","","26.2",",,,6","","","","","23.98",",,,6","","","7594",",,,6"
"USC00249011","1921-07","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","75.6",",6","5",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","29",",6","7",",6","7.2",",6,02,","","","6.6",",,6,25,","36.1",",6,20,+","2219.2","1,,,6","13.3","6","13.3",",6","15.2",",,,6","","","20.34",",6","28.53",",,,6","12.15",",,,6","7936",",,,6"
"USC00249011","1921-08","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","","","1",",6","1",",6","0",",6","","","","","","","0",",6","31",",6","1",",6","","","","","4.3",",,6,17,","32.8",",6,30,","2078.0",",,,6","","","","","4.3",",,,6","","","","","27.83",",,,6","","","7479",",,,6"
"USC00249011","1921-09","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","","","","","","","","","","","","","","","0",",6","6",",6","0",",6","","","","","","","25.6",",6,01,","788.5","3,,,6","","","","","","","","","","","15.57",",,,6","","","9624",",,,6"
"USC00249011","1921-10","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","2,6","0",",6","0",",6","0",",6","","","0","2,6","7","2,6","0",",6","12",",6","0",",6","-7.8","2,6,25,","","","0.0",",,6,31,+","25.6",",6,19,+","1133.8","5,,,6","","","187.9",",6","0.0",",,,6","","","11.75","2,6","19.80",",,,6","3.69","2,,,6","9767",",,,6"
"USC00249011","1921-11","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","6",",6","3",",6","0",",6","","","5",",6","22",",6","5",",6","1",",6","0",",6","-30.6",",6,19,","","","17.8",",,6,20,","21.1",",6,04,","","","","","552.3",",6","27.9",",,,6","","","-0.08",",6","7.55",",,,6","-7.70",",,,6","",""
"USC00249011","1921-12","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","2,6","7",",6","4",",6","0",",6","","","12","1,6","24","1,6","10","1,6","0","1,6","0","1,6","-30.0","1,6,20,","","","11.4",",,6,01,","12.8","1,6,11,","","","","","686.7","1,6","35.5",",,,6","","","-5.03","2,6","1.43","1,,,6","-11.48","1,,,6","",""
"USC00249011","1922-01","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","6","0.0","2,6","5",",6","2",",6","0",",6","","","10",",6","30",",6","12","2,6","0","2,6","0","2,6","-31.7",",6,31,","","","4.3",",,6,28,","11.1","2,6,13,","","","","","717.6","2,6","10.9",",,,6","","","-6.12","2,6","0.04","2,,,6","-12.28",",,,6","",""
"USC00249011","1922-02","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","6","0.0","1,6","7",",6","1",",6","0",",6","","","17","1,6","27","1,6","22",",6","0",",6","0",",6","-32.2","1,6,23,","","","3.8",",,6,21,","5.6",",6,07,","","","","","827.7",",6","10.5",",,,6","","","-12.35","1,6","-5.39",",,,6","-19.31","1,,,6","",""
"USC00249011","1922-03","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","6","0.0",",6","5",",6","3",",6","0",",6","","","3",",6","31",",6","5",",6","0",",6","0",",6","-23.3",",6,01,","","","10.2",",,6,24,","13.3",",6,21,+","","","","","586.0",",6","16.0",",,,6","","","-0.57",",6","5.99",",,,6","-7.13",",,,6","",""
"USC00249011","1922-04","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","6","0.0",",6","8",",6","4",",6","0",",6","","","0",",6","18",",6","0",",6","1",",6","0",",6","-8.9",",6,17,","","","13.0",",,6,28,","21.7",",6,21,","","","","","419.3",",6","26.3",",,,6","","","4.36",",6","10.60",",,,6","-1.89",",,,6","",""
"USC00249011","1922-05","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","1.7","6","1.7","1,6","8",",6","5",",6","0",",6","","","0","1,6","2","1,6","0",",6","10",",6","0",",6","-1.1","1,6,08,","","","21.3",",,6,27,","31.1",",6,25,","1132.8","4,,,6","","","241.8",",6","61.0",",,,6","","","10.47","1,6","17.18",",,,6","3.76","1,,,6","9855","1,,,6"
"USC00249011","1922-06","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","18.7","6","17.0",",6","4",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","26",",6","0",",6","3.3",",6,10,","","","23.4",",,6,09,","31.7",",6,19,","1429.0","1,,,6","","","61.5",",6","35.8",",,,6","","","16.85",",6","24.61",",,,6","9.09",",,,6","7712",",,,6"
"USC00249011","1922-07","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","59.7","6","41.0","1,6","5",",6","4",",6","1",",6","","","0",",6","0",",6","0","1,6","25","1,6","3","1,6","5.6",",6,10,","","","47.2",",,6,09,","33.3","1,6,03,","1696.8","4,,,6","34.3","6","34.3","1,6","86.8",",,,6","","","18.56","1,6","26.14","1,,,6","10.97",",,,6","6090","1,,,6"
"USC00249011","1922-08","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","","","5",",6","4",",6","0",",6","","","","","","","0","1,6","29","1,6","2","1,6","","","","","9.9",",,6,15,","32.8","1,6,09,","1511.8","2,,,6","","","","","27.1",",,,6","","","","","27.70","1,,,6","","","6566",",,,6"
"USC00249011","1922-09","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","10.3",",6","2",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","24",",6","0",",6","2.8",",6,06,","","","7.6",",,6,07,","31.1",",6,20,","1530.5","1,,,6","","","79.1",",6","14.5",",,,6","","","16.04",",6","24.05",",,,6","8.03",",,,6","7542",",,,6"
"USC00249011","1922-10","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","1,6","2",",6","0",",6","0",",6","","","0","1,6","10","1,6","0","1,6","8","1,6","0","1,6","-8.9","1,6,30,","","","1.3",",,6,16,","26.7","1,6,02,","1035.3","3,,,6","","","229.4","1,6","2.3",",,,6","","","10.69","1,6","18.10","1,,,6","3.27","1,,,6","8741","1,,,6"
"USC00249011","1922-11","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0",",6","5",",6","2",",6","0",",6","","","0",",6","26",",6","5",",6","0",",6","0",",6","-16.7",",6,30,","","","4.8",",,6,29,","18.3",",6,27,","","","","","515.9",",6","12.4",",,,6","","","1.14",",6","7.98",",,,6","-5.70",",,,6","",""
"USC00249011","1922-12","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","","","0.0","2,6","6",",6","4",",6","0",",6","","","12","2,6","19","2,6","15",",6","0",",6","0",",6","-35.6","2,6,12,","","","6.9",",,6,06,","11.7",",6,23,","","","","","763.9",",6","19.7",",,,6","","","-8.08","2,6","-3.21",",,,6","-12.96","2,,,6","",""
"USC00249011","1923-01","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","","0.0","4,6","7",",6","1",",6","0",",6","","","1","4,6","23","4,6","7",",6","0",",6","0",",6","-28.3","4,6,30,","","","2.5",",,6,17,","11.1",",6,16,","","","","","518.6",",6","8.0",",,,6","","","-1.51","4,6","3.35",",,,6","-6.36","4,,,6","",""
"USC00249011","1923-02","47.533333","-112.416667","1249.7","WILLOW CREEK RESERVOIR, MT US","0.0","","0.0","1,6","8",",6","4",",6","0",",6","","","11",",6","23",",6","11","1,6","0","1,6","0","1,6","-33.3",",6,14,","","","7.4",",,6,07,","14.4","1,6,23,","","","","","690.8","1,6","21.9",",,,6","","","-6.90","1,6","-0.68","1,,,6","-13.11",",,,6","",""
