"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205911","1892-02","42.0","-85.0","243.8","NOBLE, MI US","8",",6","8",",6","0",",6","3","1,6","","","","","","","","","","","","","51","1,,6,14,","18.3",",,6,14,","","","69.9",",,,6","114","1,,,6","","","","","",""
"USC00205911","1892-03","42.0","-85.0","243.8","NOBLE, MI US","8",",6","5",",6","0",",6","3",",6","","","","","","","","","","","","","51",",,6,05,","22.6",",,6,27,","","","62.8",",,,6","127",",,,6","","","","","",""
"USC00205911","1892-04","42.0","-85.0","243.8","NOBLE, MI US","5",",6","4",",6","2",",6","1",",6","","","","","","","","","","","","","124",",,6,14,","31.5",",,6,28,","","","81.7",",,,6","129",",,,6","","","","","",""
"USC00205911","1892-06","42.0","-85.0","243.8","NOBLE, MI US","","","","","","","","","0","5,6","0","5,6","0","3,6","25","3,6","0","3,6","12.2","5,6,30,","","","","","28.9","3,6,12,","","","","","21.26","8,6","23.45","3,,,6","19.07","5,,,6"
"USC00205911","1892-07","42.0","-85.0","243.8","NOBLE, MI US","6",",6","4",",6","2",",6","","","0","5,6","0","5,6","","","","","","","12.2","5,6,01,","","","89.2",",,6,03,","","","131.3",",,,6","","","","","","","21.42","5,,,6"
"USC00205911","1892-08","42.0","-85.0","243.8","NOBLE, MI US","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","14.5",",,6,01,","","","33.8",",,,6","","","","","","","",""
"USC00205911","1892-09","42.0","-85.0","243.8","NOBLE, MI US","8",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","32.0",",,6,13,","","","82.5",",,,6","","","","","","","",""
"USC00205911","1892-10","42.0","-85.0","243.8","NOBLE, MI US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","6.6",",,6,18,","","","14.5",",,,6","","","","","","","",""
"USC00205911","1892-11","42.0","-85.0","243.8","NOBLE, MI US","","","","","","","1",",6","","","","","","","","","","","","","25",",,6,27,","","","","","","","25",",,,6","","","","","",""
"USC00205911","1892-12","42.0","-85.0","243.8","NOBLE, MI US","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","14.7",",,6,07,","","","35.8",",,,6","","","","","","","",""
"USC00205911","1893-01","42.0","-85.0","243.8","NOBLE, MI US","","","","","","","","","3","5,6","26","5,6","25","4,6","0","4,6","0","4,6","-20.0","5,6,14,","","","","","5.6","4,6,28,","","","","","-9.15","8,6","-6.45","4,,,6","-11.85","5,,,6"
"USC00205911","1893-02","42.0","-85.0","243.8","NOBLE, MI US","","","","","","","6",",6","","","","","","","","","","","","","152",",,6,09,","","","","","","","419",",,,6","","","","","",""
"USC00205911","1893-03","42.0","-85.0","243.8","NOBLE, MI US","","","","","","","1",",6","0","4,6","19","4,6","7","5,6","0","5,6","0","5,6","-11.1","4,6,15,+","38",",,6,19,","","","17.8","5,6,31,","","","38",",,,6","0.98","9,6","4.65","5,,,6","-2.69","4,,,6"
