"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00355490","1899-06","42.533333","-123.516667","259.1","MERLIN, OR US","2",",6","1",",6","0",",6","","","","","","","4.6",",,6,01,","5.9",",,,6","",""
"USC00355490","1899-07","42.533333","-123.516667","259.1","MERLIN, OR US","0",",6","0",",6","0",",6","","","","","","","0.0",",,6,31,+","0.0",",,,6","",""
"USC00355490","1899-08","42.533333","-123.516667","259.1","MERLIN, OR US","3",",6","2",",6","0",",6","","","","","","","21.6",",,6,14,","26.5",",,,6","",""
"USC00355490","1899-09","42.533333","-123.516667","259.1","MERLIN, OR US","2",",6","2",",6","0",",6","","","","","","","12.2",",,6,04,","15.5",",,,6","",""
"USC00355490","1899-10","42.533333","-123.516667","259.1","MERLIN, OR US","8",",6","4",",6","2",",6","","","","","","","25.9",",,6,19,","73.1",",,,6","",""
"USC00355490","1899-11","42.533333","-123.516667","259.1","MERLIN, OR US","19",",6","17",",6","3",",6","","","","","","","40.6",",,6,25,","247.4",",,,6","",""
"USC00355490","1899-12","42.533333","-123.516667","259.1","MERLIN, OR US","11",",6","11",",6","2",",6","0",",6","5","","0",",T,6,14,","45.0",",,6,14,","175.2",",,,6","0",",T,,6"
"USC00355490","1900-01","42.533333","-123.516667","259.1","MERLIN, OR US","10",",6","8",",6","1",",6","","","3","","","","29.2",",,6,14,","87.5",",,,6","",""
"USC00355490","1900-02","42.533333","-123.516667","259.1","MERLIN, OR US","11",",6","7",",6","1",",6","","","3","","","","40.6",",,6,20,","86.2",",,,6","",""
"USC00355490","1900-03","42.533333","-123.516667","259.1","MERLIN, OR US","9",",6","5",",6","0",",6","","","","","","","18.3",",,6,07,","40.5",",,,6","",""
"USC00355490","1900-04","42.533333","-123.516667","259.1","MERLIN, OR US","7",",6","3",",6","0",",6","","","","","","","11.9",",,6,11,","33.3",",,,6","",""
"USC00355490","1900-06","42.533333","-123.516667","259.1","MERLIN, OR US","6",",6","6",",6","0",",6","","","","","","","18.8",",,6,14,","80.4",",,,6","",""
"USC00355490","1900-07","42.533333","-123.516667","259.1","MERLIN, OR US","0",",6","0",",6","0",",6","","","","","","","0.0",",,6,31,+","0.0",",,,6","",""
"USC00355490","1900-08","42.533333","-123.516667","259.1","MERLIN, OR US","0",",6","0",",6","0",",6","","","","","","","0.0",",,6,31,+","0.0",",,,6","",""
"USC00355490","1900-09","42.533333","-123.516667","259.1","MERLIN, OR US","2",",6","2",",6","0",",6","","","","","","","18.3",",,6,23,","24.1",",,,6","",""
"USC00355490","1900-10","42.533333","-123.516667","259.1","MERLIN, OR US","11",",6","10",",6","4",",6","","","","","","","29.2",",,6,18,","160.4",",,,6","",""
"USC00355490","1900-11","42.533333","-123.516667","259.1","MERLIN, OR US","","","","","","","","","2","","","","","","","","",""
"USC00355490","1900-12","42.533333","-123.516667","259.1","MERLIN, OR US","","","","","","","0",",6","11","","0",",,6,31,+","","","","","0",",,,6"
"USC00355490","1901-01","42.533333","-123.516667","259.1","MERLIN, OR US","10",",6","8",",6","2",",6","2",",6","5","","102",",,6,10,","29.2",",,6,02,","106.2",",,,6","140",",,,6"
"USC00355490","1901-02","42.533333","-123.516667","259.1","MERLIN, OR US","10",",6","10",",6","2",",6","1",",6","","","25",",,6,02,","37.6",",,6,19,","159.7",",,,6","25",",,,6"
"USC00355490","1901-03","42.533333","-123.516667","259.1","MERLIN, OR US","4",",6","3",",6","1",",6","","","","","","","25.4",",,6,10,","47.2",",,,6","",""
"USC00355490","1901-04","42.533333","-123.516667","259.1","MERLIN, OR US","6",",6","5",",6","0",",6","","","","","","","17.3",",,6,27,","50.4",",,,6","",""
"USC00355490","1901-05","42.533333","-123.516667","259.1","MERLIN, OR US","4",",6","2",",6","0",",6","","","","","","","3.8",",,6,27,+","9.6",",,,6","",""
"USC00355490","1901-08","42.533333","-123.516667","259.1","MERLIN, OR US","2",",6","2",",6","0",",6","","","","","","","4.6",",,6,06,","7.1",",,,6","",""
"USC00355490","1901-09","42.533333","-123.516667","259.1","MERLIN, OR US","7",",6","6",",6","0",",6","","","","","","","14.0",",,6,21,","55.2",",,,6","",""
"USC00355490","1901-10","42.533333","-123.516667","259.1","MERLIN, OR US","3",",6","2",",6","0",",6","","","","","","","8.6",",,6,28,","14.7",",,,6","",""
