"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00144488","1988-07","38.4424","-95.0793","265.2","LANE, KS US","6",",6","6",",6","3",",6","","","","","","","","","","","","","","","","","","","31.8",",,6,09,","111.8",",,,6","","","",""
"USC00144488","1988-10","38.4424","-95.0793","265.2","LANE, KS US","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","21.6",",,6,22,","34.7",",,,6","","","",""
"USC00144488","1988-11","38.4424","-95.0793","265.2","LANE, KS US","5","1,6","4","1,6","2","1,6","","","","","","","","","","","","","","","","","","","31.8","1,,6,25,","80.6","1,,,6","","","",""
"USC00144488","1989-01","38.4424","-95.0793","265.2","LANE, KS US","3","1,6","2","1,6","0","1,6","","","1",",6","","","","","1","","","","","","","","25",",,6,17,","19.1","1,,6,28,","29.8","1,,,6","25",",,,6","",""
"USC00144488","1989-03","38.4424","-95.0793","265.2","LANE, KS US","4",",6","4",",6","3",",6","","","","","","","","","","","1","","","","","","","","43.2",",,6,28,","121.3",",,,6","","","",""
"USC00144488","1989-04","38.4424","-95.0793","265.2","LANE, KS US","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","15.2",",,6,02,","29.2",",,,6","","","",""
"USC00144488","1989-05","38.4424","-95.0793","265.2","LANE, KS US","9",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","76.2",",,6,18,","197.2",",,,6","","","",""
"USC00144488","1989-07","38.4424","-95.0793","265.2","LANE, KS US","8",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","25.4",",,6,31,","93.6",",,,6","","","",""
"USC00144488","1989-08","38.4424","-95.0793","265.2","LANE, KS US","9",",6","6",",6","4",",6","","","","","","","","","","","","","","","","","","","88.9",",,6,16,","260.1",",,,6","","","",""
"USC00144488","1989-09","38.4424","-95.0793","265.2","LANE, KS US","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","20.3",",,6,04,","72.4",",,,6","","","",""
