"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00479111","1893-02","44.8","-92.016667",,"WESTON, WI US","","","","","","","5",",6","","","","","","","","","","","","","478",",,6,27,","","","","","","","910",",,,6","","","",""
"USC00479111","1893-03","44.8","-92.016667",,"WESTON, WI US","","","","","","","4","1,6","","","","","","","","","","","","","89","1,,6,13,","","","","","","","193","1,,,6","","","",""
"USC00479111","1893-05","44.8","-92.016667",,"WESTON, WI US","10",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","20.3",",,6,24,+","","","63.0",",,,6","","","","","",""
"USC00479111","1893-06","44.8","-92.016667",,"WESTON, WI US","10",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","19.8",",,6,14,","","","72.0",",,,6","","","","","",""
"USC00479111","1893-07","44.8","-92.016667",,"WESTON, WI US","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","15.2",",,6,27,","","","45.1",",,,6","","","","","",""
"USC00479111","1893-08","44.8","-92.016667",,"WESTON, WI US","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","20.6",",,6,10,","","","46.2",",,,6","","","","","",""
"USC00479111","1893-09","44.8","-92.016667",,"WESTON, WI US","6",",6","4",",6","2",",6","","","0","5,6","5","5,6","","","","","","","-6.7","5,6,28,","","","40.6",",,6,18,","","","85.7",",,,6","","","","","5.46","5,,,6"
"USC00479111","1893-11","44.8","-92.016667",,"WESTON, WI US","","","","","","","3",",6","","","","","","","","","","","","","152",",,6,26,","","","","","","","304",",,,6","","","",""
"USC00479111","1893-12","44.8","-92.016667",,"WESTON, WI US","","","","","","","7",",6","","","","","","","","","","","","","178",",,6,10,","","","","","","","460",",,,6","","","",""
"USC00479111","1894-03","44.8","-92.016667",,"WESTON, WI US","","","","","","","1",",6","","","","","","","","","","","","","76",",,6,14,","","","","","","","76",",,,6","","","",""
"USC00479111","1894-04","44.8","-92.016667",,"WESTON, WI US","11","1,6","8","1,6","1","1,6","2",",6","","","","","","","","","","","","","152",",,6,09,","25.4","1,,6,10,","","","98.8","1,,,6","228",",,,6","","","",""
"USC00479111","1894-06","44.8","-92.016667",,"WESTON, WI US","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","17.3",",,6,21,","","","53.1",",,,6","","","","","",""
"USC00479111","1894-07","44.8","-92.016667",,"WESTON, WI US","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","1.3",",,6,19,","","","1.6",",,,6","","","","","",""
"USC00479111","1894-08","44.8","-92.016667",,"WESTON, WI US","4",",6","2",",6","0",",6","","","","","","","0","5,6","26","5,6","9","5,6","","","","","5.6",",,6,11,","35.0","5,6,08,","10.2",",,,6","","","30.40","5,,,6","",""
"USC00479111","1894-12","44.8","-92.016667",,"WESTON, WI US","","","","","","","1",",6","","","","","","","","","","","","","25",",,6,26,","","","","","","","25",",,,6","","","",""
"USC00479111","1895-01","44.8","-92.016667",,"WESTON, WI US","5",",6","2",",6","0",",6","3",",6","","","","","","","","","","","","","76",",,6,06,","6.4",",,6,18,","","","16.1",",,,6","217",",,,6","","","",""
