"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MGM00044232","1969-11","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","17","5,S","0","5,S","0","5,S","","","","","","","10.0","5,S,11,","","","","","","","-1.64","5,,,S","",""
"MGM00044232","1970-02","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","24","3,S","0","3,S","0","3,S","","","","","","","2.8","3,S,16,","","","","","","","-10.78","3,,,S","",""
"MGM00044232","1970-03","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","20","2,S","0","2,S","0","2,S","","","","","","","12.2","2,S,25,","","","","","","","-2.97","2,,,S","",""
"MGM00044232","1970-04","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","2","5,S","1","5,S","0","5,S","","","","","","","22.8","5,S,17,","","","","","","","10.76","5,,,S","",""
"MGM00044232","1970-05","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","0","3,S","14","3,S","0","3,S","","","","","","","27.8","3,S,31,+","","","","","","","19.03","3,,,S","",""
"MGM00044232","1970-06","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","0","4,S","21","4,S","1","4,S","","","","","","","32.8","4,S,12,","","","","","","","24.47","4,,,S","",""
"MGM00044232","1970-09","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","","","20.0","3,S,21,+","","","","","","","14.10","3,,,S","",""
"MGM00044232","1971-02","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","23","5,S","23","5,S","","","","","","","-40.0","5,S,07,","","","","","","","","","","","","","","","-34.03","5,,,S"
"MGM00044232","1971-05","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","","","","","","","0","4,S","9","4,S","1","4,S","","","","","","","32.2","4,S,29,","","","","","","","17.94","4,,,S","",""
"MGM00044232","1973-02","49.383","102.7","938.0","HUTAG, MG","","","","","","","","","","","26","2,","","","","","","","","","","","","","79","2,,S,28,+","","","","","","","","","","","","","",""
