"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00428631","1940-06","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.3",",,6,30,","","","","","7.6",",,,6","","","","","","","",""
"USC00428631","1940-12","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","7",",6","5",",6","0",",6","10",",6","2",",6","","","","","","","","","","","4","","","","","","25",",,6,31,+","51",",,6,31,","9.4",",,6,31,","","","","","30.3",",,,6","117",",,,6","","","","","",""
"USC00428631","1941-01","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","8",",6","4",",6","0",",6","11","3,6","3",",6","","","","","","","","","","","3","","","","","","76","3,,6,16,","51",",,6,16,+","7.6",",,6,24,","","","","","20.8",",,,6","145",",,,6","","","","","",""
"USC00428631","1941-02","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","9",",6","4",",6","0",",6","1",",6","0",",6","","","","","","","","","","","4","","","","","","25",",,6,07,","13",",,6,07,","17.3",",,6,12,","","","","","36.3",",,,6","13",",,,6","","","","","",""
"USC00428631","1941-03","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","8",",6","5",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","0",",,6,31,+","23.4",",,6,02,","","","","","48.0",",,,6","0",",,,6","","","","","",""
"USC00428631","1941-04","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","12",",6","5",",6","1",",6","2",",6","2",",6","","","","","","","","","","","","","","","","","127",",,6,17,","76",",,6,17,+","27.9",",,6,16,","","","","","71.6",",,,6","152",",,,6","","","","","",""
"USC00428631","1941-05","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","12",",6","7",",6","0",",6","","","0","1,6","","","","","","","","","","","","","","","","","","","0","1,,6,31,+","17.8",",,6,26,","","","","","57.6",",,,6","0","1,,,6","","","","","",""
"USC00428631","1941-06","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","9",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,30,+","25.9",",,6,07,","","","","","49.4",",,,6","0",",,,6","","","","","",""
"USC00428631","1941-07","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","6",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,31,+","9.7",",,6,26,","","","","","27.5",",,,6","0",",,,6","","","","","",""
"USC00428631","1941-08","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","6",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,31,+","24.1",",,6,17,","","","","","41.3",",,,6","0",",,,6","","","","","",""
"USC00428631","1941-09","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","5",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,30,+","9.1",",,6,03,","","","","","15.0",",,,6","0",",,,6","","","","","",""
"USC00428631","1941-10","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","11",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",T,6,05,","26.7",",,6,05,","","","","","61.7",",,,6","0",",T,,6","","","","","",""
"USC00428631","1941-11","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","4",",6","4",",6","0",",6","","","2",",6","","","","","","","","","","","1","","","","","","","","127",",,6,19,","18.8",",,6,17,","","","","","45.0",",,,6","152",",,,6","","","","","",""
"USC00428631","1941-12","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","9",",6","7",",6","0",",6","7","5,6","2",",6","","","","","","","","","","","","","","","","","76","5,,6,25,","152",",,6,31,","13.2",",,6,04,","","","","","48.0",",,,6","254",",,,6","","","","","",""
"USC00428631","1942-01","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","9",",6","5",",6","0",",6","26",",6","4",",6","","","","","","","","","","","","","","","","","229",",,6,03,","102",",,6,03,","6.9",",,6,28,","","","","","25.2",",,,6","229",",,,6","","","","","",""
"USC00428631","1942-02","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","9",",6","4",",6","0",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","51",",,6,22,","38",",,6,22,","7.1",",,6,22,","","","","","19.7",",,,6","76",",,,6","","","","","",""
"USC00428631","1942-03","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","8",",6","6",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","","","152",",,6,14,","11.2",",,6,14,","","","","","35.1",",,,6","152",",,,6","","","","","",""
"USC00428631","1942-04","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","10",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",T,6,23,+","9.4",",,6,28,","","","","","37.4",",,,6","0",",T,,6","","","","","",""
"USC00428631","1942-05","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","9",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",T,6,02,","41.4",",,6,16,","","","","","77.0",",,,6","0",",T,,6","","","","","",""
"USC00428631","1942-06","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","3",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,30,+","8.4",",,6,26,","","","","","16.8",",,,6","0",",,,6","","","","","",""
"USC00428631","1942-07","40.75","-112.0","1289.9","TERMINAL, UT US","","","","","2",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",,6,31,+","3.8",",,6,16,","","","","","6.6",",,,6","0",",,,6","","","","","",""
