"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"COM00080112","1989-11","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","16","5,S","8","5,S","1","5,S","","","","","","","25.9","5,,S,30,","113.8","5,,,S","",""
"COM00080112","1990-07","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","15","4,S","12","4,S","1","4,S","","","","","","","25.9","4,,S,19,","161.3","4,,,S","",""
"COM00080112","1990-08","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","1,S","12","1,S","0","1,S","","","","","","","13.0","1,,S,31,+","100.6","1,,,S","",""
"COM00080112","1990-10","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","22","5,S","19","5,S","0","5,S","","","","","","","21.1","5,,S,12,","188.0","5,,,S","",""
"COM00080112","1991-01","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","13","1,S","3","1,S","0","1,S","","","","","","","10.9","1,,S,02,","28.0","1,,,S","",""
"COM00080112","1991-02","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","12","1,S","4","1,S","0","1,S","","","","","","","4.1","1,,S,22,","21.9","1,,,S","",""
"COM00080112","1991-03","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","12","5,S","9","5,S","0","5,S","","","","","","","22.1","5,,S,28,","125.7","5,,,S","",""
"COM00080112","1991-04","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","3,S","11","3,S","5","3,S","","","","","","","38.1","3,,S,18,","223.7","3,,,S","",""
"COM00080112","1991-05","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","1,S","11","1,S","4","1,S","","","","","","","52.1","1,,S,21,","237.5","1,,,S","",""
"COM00080112","1991-09","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","11","4,S","7","4,S","0","4,S","","","","","","","21.1","4,,S,26,","63.4","4,,,S","",""
"COM00080112","1991-10","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","15","5,S","12","5,S","2","5,S","","","","","","","55.1","5,,S,03,","197.1","5,,,S","",""
"COM00080112","1992-10","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","15","5,S","7","5,S","1","5,S","","","","","","","26.9","5,,S,10,","82.0","5,,,S","",""
"COM00080112","1992-11","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","2,S","14","2,S","0","2,S","","","","","","","19.1","2,,S,24,","134.5","2,,,S","",""
"COM00080112","1992-12","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","13","1,S","8","1,S","1","1,S","","","","","","","40.9","1,,S,02,","107.7","1,,,S","",""
"COM00080112","1993-01","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","13","2,S","6","2,S","0","2,S","","","","","","","23.9","2,,S,08,","83.2","2,,,S","",""
"COM00080112","1993-03","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","10","3,S","6","3,S","0","3,S","","","","","","","13.0","3,,S,08,","62.4","3,,,S","",""
"COM00080112","1993-04","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","18","1,S","11","1,S","0","1,S","","","","","","","19.1","1,,S,25,","94.2","1,,,S","",""
"COM00080112","1993-05","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","19","1,S","15","1,S","3","1,S","","","","","","","47.0","1,,S,07,","209.1","1,,,S","",""
"COM00080112","1993-08","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","5,S","11","5,S","1","5,S","","","","","","","30.0","5,,S,11,","181.8","5,,,S","",""
"COM00080112","1993-11","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","19","4,S","13","4,S","4","4,S","","","","","","","182.1","4,,S,10,+","503.0","4,,,S","",""
"COM00080112","1994-03","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","5,S","8","5,S","0","5,S","","","","","","","21.1","5,,S,24,","89.7","5,,,S","",""
"COM00080112","1994-04","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","4,S","14","4,S","1","4,S","","","","","","","31.0","4,,S,30,","162.8","4,,,S","",""
"COM00080112","1994-05","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","24",",S","18",",S","1",",S","","","","","","","27.9",",,S,31,","170.9",",,,S","",""
"COM00080112","1994-11","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","18","1,S","13","1,S","1","1,S","","","","","","","25.9","1,,S,24,","166.7","1,,,S","",""
"COM00080112","1994-12","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","5","5,S","3","5,S","0","5,S","","","","","","","6.1","5,,S,07,","13.1","5,,,S","",""
"COM00080112","1995-01","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","3","3,S","1","3,S","0","3,S","","","","","","","5.1","3,,S,21,","8.1","3,,,S","",""
"COM00080112","1995-02","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","5","5,S","1","5,S","0","5,S","","","","","","","6.6","5,,S,21,","13.1","5,,,S","",""
"COM00080112","1995-03","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","16",",S","11",",S","4",",S","","","","","","","67.1",",,S,15,","250.8",",,,S","",""
"COM00080112","1995-06","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","19","3,S","13","3,S","1","3,S","","","","","","","34.0","3,,S,30,","141.8","3,,,S","",""
"COM00080112","1995-07","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","19","5,S","13","5,S","1","5,S","","","","","","","33.0","5,,S,21,","153.4","5,,,S","",""
"COM00080112","1995-10","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","4,S","10","4,S","0","4,S","","","","","","","20.1","4,,S,18,","101.4","4,,,S","",""
"COM00080112","1995-11","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","8","3,S","4","3,S","1","3,S","","","","","","","31.0","3,,S,03,","52.4","3,,,S","",""
"COM00080112","1995-12","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","2,S","11","2,S","1","2,S","","","","","","","34.0","2,,S,14,","173.3","2,,,S","",""
"COM00080112","1996-01","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","12","3,S","5","3,S","0","3,S","","","","","","","16.0","3,,S,23,","51.1","3,,,S","",""
"COM00080112","1996-02","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14",",S","5",",S","0",",S","","","","","","","19.1",",,S,23,","69.2",",,,S","",""
"COM00080112","1996-03","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","18","3,S","13","3,S","4","3,S","","","","","","","37.1","3,,S,02,","210.9","3,,,S","",""
"COM00080112","1996-04","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","1,S","12","1,S","2","1,S","","","","","","","32.0","1,,S,11,","139.2","1,,,S","",""
"COM00080112","1996-05","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","18","5,S","13","5,S","2","5,S","","","","","","","36.1","5,,S,08,","202.7","5,,,S","",""
"COM00080112","1996-06","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","5,S","9","5,S","1","5,S","","","","","","","35.1","5,,S,02,","115.6","5,,,S","",""
"COM00080112","1996-07","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","17","4,S","14","4,S","3","4,S","","","","","","","35.1","4,,S,07,","173.6","4,,,S","",""
"COM00080112","1996-08","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","18","2,S","13","2,S","1","2,S","","","","","","","85.1","2,,S,23,","248.2","2,,,S","",""
"COM00080112","1996-09","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","3,S","7","3,S","1","3,S","","","","","","","27.9","3,,S,20,","90.3","3,,,S","",""
"COM00080112","1996-10","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","20","2,S","12","2,S","1","2,S","","","","","","","36.1","2,,S,14,","159.2","2,,,S","",""
"COM00080112","1996-11","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","16","2,S","8","2,S","1","2,S","","","","","","","25.9","2,,S,15,","101.8","2,,,S","",""
"COM00080112","1996-12","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","13","1,S","7","1,S","0","1,S","","","","","","","20.1","1,,S,31,","69.9","1,,,S","",""
"COM00080112","1997-01","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","7","1,S","4","1,S","0","1,S","","","","","","","23.9","1,,S,23,","54.8","1,,,S","",""
"COM00080112","1997-02","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","13","3,S","7","3,S","1","3,S","","","","","","","33.0","3,,S,12,","82.6","3,,,S","",""
"COM00080112","1997-03","6.165","-75.423","2142.1","JOSE MARIA CORDOVA, CO","14","1,S","8","1,S","2","1,S","","","","","","","94.0","1,,S,24,","200.1","1,,,S","",""
