"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00089417","1897-08","30.633333","-85.583333","76.2","WAUSAU, FL US","","","260.8","2,6","18",",6","17",",6","2",",6","0","1,6","0","1,6","0","1,6","30","1,6","20","1,6","","","18.3","1,6,25,","40.4",",,6,17,","35.6","1,6,31,+","","","0.0","1,6","241.5",",,,6","27.40","2,6","32.42","1,,,6","22.37","1,,,6"
"USC00089417","1897-09","30.633333","-85.583333","76.2","WAUSAU, FL US","","","201.9",",6","9",",6","8",",6","0",",6","0",",6","0",",6","0",",6","30",",6","17",",6","","","8.9",",6,24,+","10.9",",,6,29,","36.7",",6,03,","","","0.9",",6","54.1",",,,6","25.04",",6","31.40",",,,6","18.67",",,,6"
"USC00089417","1897-10","30.633333","-85.583333","76.2","WAUSAU, FL US","","","94.7","1,6","6",",6","0",",6","0",",6","0",",6","0",",6","0","1,6","30","1,6","1","1,6","","","4.4",",6,27,+","1.8",",,6,11,+","32.2","1,6,01,","","","10.5","1,6","6.5",",,,6","21.23","1,6","28.72","1,,,6","13.73",",,,6"
"USC00089417","1897-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","2.8","1,6","8",",6","4",",6","0",",6","0","1,6","0","1,6","0","1,6","22","1,6","0","1,6","","","2.2","1,6,04,","22.4",",,6,01,","27.8","1,6,07,+","","","92.8","1,6","47.8",",,,6","15.23","1,6","22.09","1,,,6","8.38","1,,,6"
"USC00089417","1897-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","0.0","3,6","5",",6","3",",6","1",",6","0","2,6","8","2,6","0","1,6","10","1,6","0","1,6","","","-2.2","2,6,06,","36.8",",,6,25,","25.6","1,6,04,","","","192.2","1,6","57.9",",,,6","11.56","3,6","17.76","1,,,6","5.37","2,,,6"
"USC00089417","1898-01","30.633333","-85.583333","76.2","WAUSAU, FL US","10.8","6","10.8","1,6","6",",6","4",",6","0",",6","0",",6","4",",6","0","1,6","13","1,6","0","1,6","","","-8.3",",6,03,","10.9",",,6,30,","25.6","1,6,25,","","","165.7","1,6","29.1",",,,6","13.05","1,6","18.94","1,,,6","7.16",",,,6"
"USC00089417","1898-02","30.633333","-85.583333","76.2","WAUSAU, FL US","10.8","6","0.0",",6","6",",6","5",",6","4",",6","0",",6","10",",6","0",",6","6",",6","0",",6","","","-6.1",",6,04,","38.1",",,6,17,","25.0",",6,10,","","","224.1",",6","130.9",",,,6","10.33",",6","16.96",",,,6","3.69",",,,6"
"USC00089417","1898-03","30.633333","-85.583333","76.2","WAUSAU, FL US","74.8","6","64.0",",6","5",",6","3",",6","1",",6","0",",6","1",",6","0",",6","23",",6","0",",6","","","0.0",",6,05,","44.5",",,6,03,","28.9",",6,24,+","","","72.7",",6","67.1",",,,6","18.05",",6","24.02",",,,6","12.09",",,,6"
"USC00089417","1898-04","30.633333","-85.583333","76.2","WAUSAU, FL US","107.2","6","32.4",",6","6",",6","4",",6","1",",6","0",",6","0",",6","0",",6","25",",6","0",",6","","","1.1",",6,08,","41.9",",,6,19,","30.6",",6,30,","","","53.1",",6","73.1",",,,6","17.64",",6","24.29",",,,6","11.00",",,,6"
"USC00089417","1898-05","30.633333","-85.583333","76.2","WAUSAU, FL US","315.0","6","207.8",",6","5",",6","4",",6","0",",6","0",",6","0",",6","0",",6","31",",6","20",",6","","","8.3",",6,07,","8.6",",,6,31,","36.7",",6,27,+","","","3.6",",6","20.2",",,,6","24.92",",6","32.78",",,,6","17.06",",,,6"
"USC00089417","1898-06","30.633333","-85.583333","76.2","WAUSAU, FL US","608.8","6","293.8",",6","11",",6","8",",6","2",",6","0",",6","0",",6","0",",6","30",",6","26",",6","","","19.4",",6,09,","38.6",",,6,22,","37.2",",6,13,","","","0.0",",6","127.0",",,,6","28.13",",6","34.56",",,,6","21.69",",,,6"
"USC00089417","1898-07","30.633333","-85.583333","76.2","WAUSAU, FL US","892.7","6","283.9",",6","15",",6","10",",6","1",",6","0",",6","0",",6","0",",6","30",",6","23",",6","","","17.2",",6,14,","28.4",",,6,14,","36.1",",6,28,+","0.0","6","0.0",",6","107.3",",,,6","27.49",",6","32.67",",,,6","22.31",",,,6"
"USC00089417","1898-08","30.633333","-85.583333","76.2","WAUSAU, FL US","1137.6","6","244.9","1,6","21",",6","19",",6","7",",6","0","1,6","0","1,6","0",",6","31",",6","11",",6","","","20.6","1,6,04,","169.9",",,6,03,","33.9",",6,24,+","0.0","6","0.0",",6","525.0",",,,6","26.40","1,6","30.52",",,,6","22.28","1,,,6"
"USC00089417","1898-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","","","5",",6","5",",6","3",",6","","","","","","","","","","","","","","","50.8",",,6,16,","","","","","","","157.7",",,,6","","","","","",""
"USC00089417","1898-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","4.8","1,6","7",",6","7",",6","5",",6","0","1,6","9","1,6","0",",6","8",",6","0",",6","","","-3.9","1,6,11,+","45.2",",,6,20,","24.4",",6,30,","","","250.5",",6","221.0",",,,6","10.25","1,6","15.43",",,,6","5.08","1,,,6"
"USC00089417","1899-01","30.633333","-85.583333","76.2","WAUSAU, FL US","0.6","6","0.6","5,6","7",",6","5",",6","0",",6","0","2,6","7","2,6","0","3,6","8","3,6","0","3,6","","","-2.2","2,6,20,+","23.9",",,6,16,","25.6","3,6,05,","","","182.8","3,6","90.1",",,,6","11.23","5,6","17.05","3,,,6","5.41","2,,,6"
"USC00089417","1899-02","30.633333","-85.583333","76.2","WAUSAU, FL US","17.3","6","16.7","4,6","10",",6","6",",6","2",",6","0","3,6","8","3,6","1","3,6","9","3,6","0","3,6","","","-16.7","3,6,13,","38.6",",,6,05,","26.7","3,6,06,+","","","194.3","3,6","106.3",",,,6","10.92","4,6","17.44","3,,,6","4.39","3,,,6"
"USC00089417","1899-03","30.633333","-85.583333","76.2","WAUSAU, FL US","58.5","6","41.2","2,6","7","1,6","6","1,6","2","1,6","0","1,6","2","1,6","0","1,6","23","1,6","0","1,6","","","-3.9","1,6,08,","98.6","1,,6,31,","31.7","1,6,27,","","","95.2","1,6","187.8","1,,,6","16.52","2,6","23.43","1,,,6","9.61","1,,,6"
"USC00089417","1899-04","30.633333","-85.583333","76.2","WAUSAU, FL US","135.7","6","77.2",",6","7",",6","6",",6","1",",6","0",",6","1",",6","0",",6","24",",6","6",",6","","","0.0",",6,10,","27.7",",,6,06,","35.0",",6,28,","","","48.3",",6","64.4",",,,6","19.30",",6","26.48",",,,6","12.11",",,,6"
"USC00089417","1899-05","30.633333","-85.583333","76.2","WAUSAU, FL US","382.2","6","246.5",",6","5",",6","4",",6","1",",6","0",",6","0",",6","0",",6","31",",6","25",",6","","","11.1",",6,01,","38.4",",,6,28,","37.2",",6,20,+","","","0.0",",6","72.4",",,,6","26.29",",6","34.27",",,,6","18.30",",,,6"
"USC00089417","1899-06","30.633333","-85.583333","76.2","WAUSAU, FL US","657.2","6","275.0",",6","6",",6","6",",6","3",",6","0",",6","0",",6","0",",6","30",",6","27",",6","","","14.4",",6,19,","41.9",",,6,25,","37.8",",6,22,","","","0.0",",6","131.5",",,,6","27.50",",6","34.64",",,,6","20.36",",,,6"
"USC00089417","1899-07","30.633333","-85.583333","76.2","WAUSAU, FL US","947.9","6","290.7","1,6","11",",6","8",",6","0",",6","0","1,6","0","1,6","0","1,6","30","1,6","29","1,6","","","16.1","1,6,03,","19.8",",,6,21,","37.8","1,6,17,+","0.0","6","0.0","1,6","93.6",",,,6","28.02","1,6","34.55","1,,,6","21.49","1,,,6"
"USC00089417","1899-08","30.633333","-85.583333","76.2","WAUSAU, FL US","1235.0","6","287.1",",6","14",",6","11",",6","1",",6","0",",6","0",",6","0",",6","31",",6","23",",6","","","19.4",",6,17,+","30.5",",,6,26,","36.7",",6,09,","0.0","6","0.0",",6","125.1",",,,6","27.59",",6","33.01",",,,6","22.18",",,,6"
"USC00089417","1899-09","30.633333","-85.583333","76.2","WAUSAU, FL US","1401.1","6","166.1",",6","2",",6","1",",6","1",",6","0",",6","0",",6","0",",6","30",",6","12",",6","","","4.4",",6,28,+","27.4",",,6,10,","35.0",",6,10,","8.7","6","8.7",",6","28.4",",,,6","23.58",",6","30.40",",,,6","16.76",",,,6"
"USC00089417","1899-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","11.2",",6","4",",6","4",",6","1",",6","0",",6","3",",6","0",",6","23",",6","0",",6","","","-2.8",",6,06,","27.9",",,6,22,","26.7",",6,20,","","","120.9",",6","66.7",",,,6","14.68",",6","22.10",",,,6","7.25",",,,6"
"USC00089417","1899-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","1.2",",6","6",",6","6",",6","1",",6","0",",6","5",",6","0",",6","7",",6","0",",6","","","-3.9",",6,06,","36.8",",,6,11,","23.3",",6,18,","","","230.0",",6","82.4",",,,6","10.95",",6","16.62",",,,6","5.29",",,,6"
"USC00089417","1900-01","30.633333","-85.583333","76.2","WAUSAU, FL US","0.0","6","0.0",",6","6",",6","2",",6","0",",6","0",",6","13",",6","0",",6","3",",6","0",",6","","","-9.4",",6,03,","3.6",",,6,17,","21.7",",6,11,+","","","298.4",",6","11.1",",,,6","8.71",",6","15.14",",,,6","2.27",",,,6"
"USC00089417","1900-02","30.633333","-85.583333","76.2","WAUSAU, FL US","8.1","6","8.1","2,6","8",",6","8",",6","7",",6","0","1,6","8","1,6","0","1,6","7","1,6","0","1,6","","","-8.3","1,6,17,","45.7",",,6,28,","26.7","1,6,12,","","","202.5","1,6","267.5",",,,6","11.03","2,6","17.22","1,,,6","4.84","1,,,6"
"USC00089417","1900-04","30.633333","-85.583333","76.2","WAUSAU, FL US","","","56.0",",6","6",",6","5",",6","2",",6","0",",6","0",",6","0",",6","26",",6","1",",6","","","2.2",",6,06,","39.9",",,6,17,","32.2",",6,30,","","","57.0",",6","99.1",",,,6","18.30",",6","25.33",",,,6","11.26",",,,6"
"USC00089417","1900-05","30.633333","-85.583333","76.2","WAUSAU, FL US","","","154.3",",6","7",",6","6",",6","1",",6","0",",6","0",",6","0",",6","31",",6","9",",6","","","8.3",",6,12,","43.2",",,6,25,","33.3",",6,15,","","","0.0",",6","93.4",",,,6","23.31",",6","30.92",",,,6","15.70",",,,6"
"USC00089417","1900-06","30.633333","-85.583333","76.2","WAUSAU, FL US","","","243.7",",6","16",",6","13",",6","1",",6","0",",6","0",",6","0",",6","30",",6","14",",6","","","18.3",",6,19,+","27.9",",,6,21,","35.6",",6,30,+","","","0.0",",6","145.6",",,,6","26.46",",6","31.54",",,,6","21.37",",,,6"
"USC00089417","1900-07","30.633333","-85.583333","76.2","WAUSAU, FL US","","","285.9",",6","19",",6","16",",6","2",",6","0",",6","0",",6","0",",6","31",",6","25",",6","","","20.6",",6,24,+","35.8",",,6,12,","36.7",",6,08,+","0.0","6","0.0",",6","222.0",",,,6","27.55",",6","33.17",",,,6","21.94",",,,6"
