"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00465847","1933-07","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","9",",6","6",",6","1",",6","","","0",",6","","","","","","","9","","","","0",",,6,31,+","33.8",",,6,03,","","","81.5",",,,6","0",",,,6","",""
"USC00465847","1933-08","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","11",",6","9",",6","1",",6","","","0",",6","","","","","","","13","","","","0",",,6,31,+","55.4",",,6,04,","","","123.2",",,,6","0",",,,6","",""
"USC00465847","1933-09","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","12",",6","8",",6","1",",6","","","","","","","","","","","11","","","","","","57.9",",,6,04,","","","129.0",",,,6","","","",""
"USC00465847","1933-10","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","3",",6","3",",6","0",",6","","","","","","","","","","","16","","","","","","6.4",",,6,17,","","","17.1",",,,6","","","",""
"USC00465847","1933-11","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","14",",6","5",",6","0",",6","","","2",",6","","","","","","","6","","","","51",",,6,14,","21.6",",,6,06,","","","48.1",",,,6","96",",,,6","",""
"USC00465847","1933-12","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","12",",6","11",",6","0",",6","","","3",",6","","","","","","","3","","","","89",",,6,26,","23.4",",,6,18,","","","109.4",",,,6","191",",,,6","",""
"USC00465847","1934-01","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
"USC00465847","1934-02","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","8",",6","3",",6","0",",6","","","","","","","","","","","5","","","","","","10.2",",,6,26,","","","24.7",",,,6","","","",""
"USC00465847","1934-03","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","","","","","","","","","3",",6","","","","","","","7","","","","51",",,6,14,+","","","","","","","140",",,,6","",""
"USC00465847","1934-04","39.98333","-80.73333","200.9","MC MECHEN DAM 13, WV US","10",",6","5",",6","0",",6","","","0",",6","","","","","","","6","","","","0",",,6,30,+","20.3",",,6,07,","","","62.2",",,,6","0",",,,6","",""
