"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00451350","1958-05","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","54.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","3",",0","","","4","","5.0",",0,13,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,28,","33.3",",0,25,","","","36.4",",0","6.9",",,,0","0",",,,0","18.90",",0","25.58",",,,0","12.22",",,,0","",""
"USC00451350","1958-06","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","99.3",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","","","3","","10.0",",0,01,","0",",,0,30,+","0",",,0,30,+","7.6",",,0,25,","38.9",",0,22,","","","11.9",",0","29.2",",,,0","0",",,,0","21.25",",0","26.60",",,,0","15.89",",,,0","",""
"USC00451350","1958-07","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","216.2",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","6","","11.1",",0,01,","0",",,0,31,+","0",",,0,31,+","17.0",",,0,30,","38.9",",0,29,","1.4","0","1.4",",0","26.4",",,,0","0",",,,0","25.26",",0","33.02",",,,0","17.50",",,,0","",""
"USC00451350","1958-08","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","217.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","2","","12.2",",0,30,+","0",",,0,31,+","0",",,0,31,+","3.3",",,0,27,","38.3",",0,25,","1.7","0","0.3",",0","4.1",",,,0","0",",,,0","25.32",",0","33.03",",,,0","17.61",",,,0","",""
"USC00451350","1958-09","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","29.9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","","","1","","1.7",",0,24,","0",",,0,30,+","0",",,0,30,+","0.8",",,0,17,+","31.1",",0,08,","69.9","0","68.2",",0","2.1",",,,0","0",",,,0","17.06",",0","23.56",",,,0","10.55",",,,0","",""
"USC00451350","1958-10","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","1.9",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","7",",0","0",",0","5","","1","","0.0",",0,25,+","0",",,0,31,+","0",",,0,31,+","12.7",",,0,19,","26.1",",0,06,+","302.6","0","232.7",",0","18.5",",,,0","0",",,,0","10.89",",0","16.53",",,,0","5.25",",,,0","",""
"USC00451350","1958-11","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","0.0",",0","13",",0","9",",0","1",",0","13",",0","5",",0","0",",0","18",",0","7",",0","0",",0","0",",0","2","","","","-10.6",",0,26,","76",",,0,24,+","102",",,0,24,","31.8",",,0,04,","15.0",",0,03,","801.1","0","498.5",",0","80.7",",,,0","280",",,,0","1.72",",0","5.47",",,,0","-2.04",",,,0","",""
"USC00451350","1958-12","47.83426","-120.00021","363.9","CHELAN, WA US","","","","","0.0","2,0","12",",0","5",",0","0",",0","27",",0","7",",0","0","2,0","26","2,0","8",",0","0",",0","0",",0","8","","","","-11.1","2,0,09,","152",",,0,08,","140",",,0,08,","12.7",",,0,03,","12.8",",0,04,","1342.6","0","541.5",",0","37.7",",,,0","426",",,,0","-0.37","2,0","1.66",",,,0","-2.41","2,,,0","",""
"USC00451350","1959-01","47.83426","-120.00021","363.9","CHELAN, WA US","","","0.0","0","0.0","1,0","15",",0","5",",0","0",",0","24",",0","6",",0","3","1,0","28","1,0","11",",0","0",",0","0",",0","5","","","","-20.0","1,0,04,","127",",,0,08,","89",",,0,05,","21.3",",,0,12,","12.2",",0,01,","1969.0","0","626.4",",0","58.3",",,,0","479",",,,0","-2.57","1,0","0.73",",,,0","-5.87","1,,,0","",""
"USC00451350","1959-02","47.83426","-120.00021","363.9","CHELAN, WA US","","","0.0","0","0.0",",0","10",",0","4",",0","0",",0","28",",0","5",",0","0",",0","27",",0","10",",0","0",",0","0",",0","3","","","","-11.1",",0,12,","279",",,0,19,","152",",,0,10,","8.6",",,0,10,","7.2",",0,28,+","2517.7","0","548.7",",0","26.1",",,,0","427",",,,0","-1.26",",0","2.00",",,,0","-4.53",",,,0","",""
