"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00106221","1921-04","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","1.3",",,6,23,","","","","","","","","","1.3",",,,6","","","","","","","","","",""
"USC00106221","1921-05","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","0.0","1,6","11",",6","7",",6","1",",6","","","0","1,6","3","1,6","0","1,6","13","1,6","0","1,6","","","-4.4","1,6,03,","","","26.7",",,6,28,","23.9","1,6,02,","2016.5","1,,,6","","","187.9","1,6","56.8",",,,6","","","12.07","1,6","18.93","1,,,6","5.21","1,,,6","8705","1,,,6"
"USC00106221","1921-06","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","46.7",",6","5",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","23",",6","2",",6","","","2.2",",6,18,","","","5.1",",,6,01,","33.3",",6,30,","2663.6",",,,6","","","62.1",",6","9.2",",,,6","","","17.82",",6","25.89",",,,6","9.76",",,,6","6502",",,,6"
"USC00106221","1921-07","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","83.6","3,6","5",",6","1",",6","0",",6","","","0","3,6","0","3,6","0","3,6","26","3,6","15","3,6","","","1.7","3,6,04,","","","11.7",",,6,25,","35.6","3,6,21,+","","","25.2","6","25.2","3,6","15.8",",,,6","","","20.42","3,6","30.60","3,,,6","10.24","3,,,6","5858","3,,,6"
"USC00106221","1921-08","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","26.3","3,6","4",",6","1",",6","0",",6","","","0","2,6","0","2,6","0","1,6","30","1,6","4","1,6","","","3.3","2,6,22,","","","2.5",",,6,14,","33.3","1,6,30,","2485.3","2,,,6","36.4","6","11.2","1,6","5.9",",,,6","","","18.95","3,6","29.31","1,,,6","8.59","2,,,6","4870","2,,,6"
"USC00106221","1921-09","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","0.9","1,6","3",",6","2",",6","0",",6","","","0","1,6","15","1,6","0",",6","16",",6","0",",6","","","-6.7","1,6,29,","","","5.8",",,6,10,","27.8",",6,01,","1794.4",",,,6","260.8","6","224.4",",6","10.6",",,,6","","","10.74","1,6","21.03",",,,6","0.46","1,,,6","6483",",,,6"
"USC00106221","1921-10","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","0.0",",6","1",",6","1",",6","0",",6","","","0",",6","29",",6","0",",6","15",",6","0",",6","","","-8.3",",6,31,","","","4.1",",,6,24,","27.2",",6,04,","1075.0","4,,,6","574.6","6","313.8",",6","4.1",",,,6","","","8.21",",6","19.50",",,,6","-3.07",",,,6","3924",",,,6"
"USC00106221","1921-11","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","0.0",",6","3",",6","0",",6","0",",6","","","0",",6","27",",6","0",",6","0",",6","0",",6","","","-17.2",",6,18,","","","2.0",",,6,22,","18.3",",6,01,","","","1091.4","6","516.8",",6","4.1",",,,6","","","1.11",",6","9.81",",,,6","-7.60",",,,6","4950",",,,6"
"USC00106221","1921-12","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","","","0.0","4,6","7",",6","6",",6","0",",6","","","3","4,6","27","4,6","13","3,6","0","3,6","0","3,6","","","-20.6","4,6,07,","","","16.5",",,6,21,","9.4","3,6,04,","","","1754.2","6","662.8","3,6","49.6",",,,6","","","-6.22","4,6","0.51","3,,,6","-12.94","4,,,6","3892","4,,,6"
"USC00106221","1922-01","43.83333","-112.41667","1460.9","MUD LAKE PUMPING STATION, ID US","0.0","","0.0","4,6","4",",6","3",",6","0",",6","","","22","4,6","27","4,6","25","4,6","0","4,6","0","4,6","","","-37.8","4,6,19,","","","9.4",",,6,30,","1.1","4,6,02,","","","2681.3","","927.1","4,6","20.0",",,,6","","","-16.00","4,6","-8.93","4,,,6","-23.08","4,,,6","",""
