"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085315","1981-11","-20.05","-63.567","792.0","CAMIRI, BL","3","3,S","3","3,S","1","3,S","0","5,S","0","5,S","","","","","","","15.0","5,S,21,+","39.9","3,,S,24,","","","64.1","3,,,S","","","19.92","5,,,S"
"BLM00085315","1983-04","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","25","4,S","5","4,S","","","","","33.4","4,S,12,","","","28.68","4,,,S","",""
"BLM00085315","1983-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","17","2,S","2","2,S","","","","","34.0","2,S,06,","","","21.74","2,,,S","",""
"BLM00085315","1983-08","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","20","4,S","7","4,S","","","","","37.4","4,S,24,","","","25.99","4,,,S","",""
"BLM00085315","1984-05","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","20","5,S","2","5,S","","","","","33.0","5,S,26,","","","26.24","5,,,S","",""
"BLM00085315","1984-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","4","5,S","0","5,S","","","","","29.0","5,S,24,","","","16.94","5,,,S","",""
"BLM00085315","1984-08","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","19","3,S","2","3,S","","","","","34.0","3,S,23,","","","24.39","3,,,S","",""
"BLM00085315","1984-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","2,S","26","2,S","12","2,S","","","","","36.5","2,S,24,","","","30.43","2,,,S","",""
"BLM00085315","1991-02","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","22","5,S","11","5,S","","","","","37.0","5,S,26,","","","30.26","5,,,S","",""
"BLM00085315","1991-05","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,S","0","4,S","","","","","","","11.0","4,S,07,+","","","","","","","","","15.50","4,,,S"
