"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017611","1959-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017611","1960-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","5",",X","1",",X","0",",X","11",",X","3",",X","6",",X","31",",X","26",",X","0",",X","0",",X","14","","","","-20.0",",X,07,","51",",,X,30,+","51",",,X,14,","2.5",",,X,21,","5.6",",X,17,","","","790.1",",X","7.6",",,,X","144",",,,X","-7.15",",X","-3.91",",,,X","-10.40",",,,X","23",",X","25.7",",X"
"GLW00017611","1960-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","2",",X","0",",X","0",",X","1",",X","0",",X","0",",X","21",",X","0",",X","0",",X","0",",X","12","","","","-4.4",",X,01,","25",",,X,01,","8",",,X,17,+","0.8",",,X,17,+","11.7",",X,29,","","","480.5",",X","1.6",",,,X","16",",,,X","2.32",",X","5.28",",,,X","-0.65",",,,X","90","1,X","19.0","1,X"
"GLW00017611","1960-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","8","","","","0.0",",X,27,","0",",T,X,01,","23",",,X,26,","2.3",",,X,26,","11.1",",X,31,","410.6","X","410.6",",X","7.1",",,,X","23",",,,X","5.09",",X","7.02",",,,X","3.16",",,,X","113",",X","23.6",",X"
"GLW00017611","1960-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","1",",X","1",",X","0",",X","0",",X","0",",X","0",",X","10",",X","0",",X","0",",X","0",",X","9","","","","-1.7",",X,24,+","0",",,X,31,+","0",",,X,31,+","4.6",",,X,04,","10.0",",X,01,","852.3","X","441.7",",X","4.6",",,,X","0",",,,X","4.08",",X","6.36",",,,X","1.81",",,,X","135",",X","19.5",",X"
"GLW00017611","1960-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","6",",X","3",",X","0",",X","20",",X","3",",X","0",",X","30",",X","23",",X","0",",X","0",",X","11","","","","-15.0",",X,28,","127",",,X,15,+","74",",,X,13,","7.4",",,X,13,","3.9",",X,05,+","1564.0","X","711.7",",X","22.1",",,,X","218",",,,X","-5.39",",X","-3.36",",,,X","-7.42",",,,X","","","",""
"GLW00017611","1960-10","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","14",",X","7",",X","0",",X","31",",X","7",",X","0",",X","31",",X","30",",X","0",",X","0",",X","11","","","","-17.2",",X,31,+","533",",,X,31,","84",",,X,29,","8.4",",,X,29,","0.6",",X,11,","2366.9","X","802.9",",X","43.5",",,,X","435",",,,X","-7.57",",X","-5.25",",,,X","-9.88",",,,X","135",",X","26.2",",X"
"GLW00017611","1960-11","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","13",",X","4",",X","0",",X","30",",X","4",",X","11",",X","30",",X","30",",X","0",",X","0",",X","10","","","","-25.6",",X,09,","737",",,X,18,+","117",",,X,12,","11.7",",,X,12,","-1.7",",X,14,","3350.9","X","984.0",",X","37.6",",,,X","376",",,,X","-14.47",",X","-11.58",",,,X","-17.36",",,,X","","","",""
"GLW00017611","1961-04","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017611","1961-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","11",",X","1",",X","0",",X","21",",X","1",",X","4",",X","31",",X","31",",X","0",",X","0",",X","12","","","","-20.6",",X,06,+","127",",,X,27,+","25",",,X,18,","2.5",",,X,18,","-1.7",",X,14,","","","891.0",",X","14.8",",,,X","148",",,,X","-10.41",",X","-7.67",",,,X","-13.15",",,,X","90",",X","21.6",",X"
