"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205629","1925-05","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","0.0","5,6","0","2,6","12","2,6","0","3,6","11","3,6","0","3,6","-3.3","2,6,18,","31.7","3,6,31,","","","193.1","3,6","11.19","5,6","19.61","3,,,6","2.78","2,,,6"
"USC00205629","1925-06","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","84.7","3,6","0","2,6","0","2,6","0","1,6","28","1,6","6","1,6","2.2","2,6,11,","35.0","1,6,06,+","","","27.7","1,6","20.53","3,6","28.37","1,,,6","12.69","2,,,6"
"USC00205629","1925-07","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","84.5",",6","0",",6","0",",6","0",",6","30",",6","2",",6","6.1",",6,30,+","35.6",",6,06,","19.0","","19.0",",6","20.45",",6","28.06",",,,6","12.83",",,,6"
"USC00205629","1925-08","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","75.3",",6","0",",6","0",",6","0",",6","31",",6","3",",6","5.6",",6,28,","36.1",",6,30,","33.1","","14.1",",6","20.31",",6","28.32",",,,6","12.29",",,,6"
"USC00205629","1925-09","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","51.4",",6","0",",6","0",",6","0",",6","20",",6","2",",6","1.7",",6,25,+","32.8",",6,05,","98.3","","65.2",",6","17.87",",6","23.87",",,,6","11.87",",,,6"
"USC00205629","1925-10","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","0.0","3,6","0","1,6","18","1,6","1","2,6","1","2,6","0","2,6","-10.0","1,6,29,","21.7","2,6,01,","478.9","","380.6","2,6","4.88","3,6","9.36","2,,,6","0.39","1,,,6"
"USC00205629","1926-05","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","4.8",",6","0",",6","6",",6","0",",6","16",",6","0",",6","-5.6",",6,04,","29.4",",6,08,","","","170.4",",6","12.99",",6","21.47",",,,6","4.51",",,,6"
"USC00205629","1926-06","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","12.3",",6","0",",6","1",",6","0",",6","22",",6","0",",6","0.0",",6,03,","31.7",",6,29,","","","81.9",",6","16.01",",6","23.21",",,,6","8.81",",,,6"
"USC00205629","1926-07","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","96.0",",6","0",",6","0",",6","0",",6","31",",6","6",",6","5.0",",6,14,","36.1",",6,21,","11.4","","11.4",",6","21.06",",6","29.05",",,,6","13.07",",,,6"
"USC00205629","1926-08","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","79.3","1,6","0","1,6","0","1,6","0",",6","31",",6","2",",6","7.2","1,6,31,","35.0",",6,28,","15.8","","4.4",",6","20.93","1,6","27.55",",,,6","14.30","1,,,6"
"USC00205629","1926-09","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","13.6","1,6","0",",6","1",",6","0","1,6","20","1,6","0","1,6","-2.8",",6,26,","28.9","1,6,19,","107.7","","91.9","1,6","15.55","1,6","21.94","1,,,6","9.16",",,,6"
"USC00205629","1926-10","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","0.8","3,6","0","2,6","12","2,6","0","3,6","3","3,6","0","3,6","-4.4","2,6,26,+","25.0","3,6,03,","396.1","","288.4","3,6","8.00","3,6","13.47","3,,,6","2.53","2,,,6"
"USC00205629","1927-05","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","5.5","2,6","0",",6","2",",6","0","2,6","10","2,6","0","2,6","-1.1",",6,20,+","29.4","2,6,22,","","","172.6","2,6","12.59","2,6","19.19","2,,,6","5.99",",,,6"
"USC00205629","1927-06","42.9525","-83.74111","259.1","MORRICE 2 N, MI US","32.2",",6","0",",6","0",",6","0",",6","23",",6","2",",6","2.2",",6,16,+","35.0",",6,30,","","","87.1",",6","16.51",",6","23.95",",,,6","9.06",",,,6"
