"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00040672","1906-05","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","6",",6","5",",6","2",",6","","","","","","","","","","","","","111.3",",,6,24,","186.8",",,,6","","","",""
"USC00040672","1906-07","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1906-08","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","0",",6","","","","","12","","","","0",",,6,31,+","0.0",",,6,31,+","0.0",",,,6","0",",,,6","",""
"USC00040672","1906-09","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","1",",6","1",",6","0",",6","","","","","","","","","","","","","5.6",",,6,23,","5.6",",,,6","","","",""
"USC00040672","1906-10","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1906-12","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","8",",6","8",",6","3",",6","","","","","","","3","","","","","","179.8",",,6,11,","342.9",",,,6","","","",""
"USC00040672","1907-01","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"USC00040672","1907-02","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","","","","","","","2","","","","","","","","","","","","",""
"USC00040672","1907-03","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","13",",6","13",",6","8",",6","","","","","","","","","","","","","153.2",",,6,18,","601.5",",,,6","","","",""
"USC00040672","1907-04","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","1",",6","1",",6","0",",6","","","","","","","","","","","","","14.5",",,6,04,","14.5",",,,6","","","",""
"USC00040672","1907-05","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1907-06","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","2",",6","2",",6","0",",6","","","","","","","1","","","","","","20.8",",,6,13,","33.8",",,,6","","","",""
"USC00040672","1907-07","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","10","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1907-08","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","15","","","","","","0.0",",T,6,31,","0.0",",T,,6","","","",""
"USC00040672","1907-09","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","1",",6","1",",6","0",",6","","","","","","","5","","","","","","15.2",",,6,03,","15.2",",,,6","","","",""
"USC00040672","1907-10","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","1",",6","1",",6","1",",6","","","","","","","3","","","","","","57.2",",,6,25,","57.2",",,,6","","","",""
"USC00040672","1907-11","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","1","","","","","","0.0",",,6,30,+","0.0",",,,6","","","",""
"USC00040672","1907-12","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","9",",6","9",",6","3",",6","","","","","","","1","","","","","","81.3",",,6,10,","280.0",",,,6","","","",""
"USC00040672","1908-01","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","11",",6","11",",6","6",",6","","","","","","","2","","","","","","43.7",",,6,13,","233.0",",,,6","","","",""
"USC00040672","1908-02","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","6",",6","6",",6","5",",6","","","","","","","","","","","","","137.2",",,6,01,","256.6",",,,6","","","",""
"USC00040672","1908-03","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","5",",6","3",",6","2",",6","","","","","","","","","","","","","29.2",",,6,02,","81.3",",,,6","","","",""
"USC00040672","1908-04","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","2",",6","2",",6","0",",6","","","","","","","2","","","","","","8.9",",,6,22,","16.0",",,,6","","","",""
"USC00040672","1908-05","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","3",",6","3",",6","0",",6","","","","","","","1","","","","","","8.4",",,6,14,","16.7",",,,6","","","",""
"USC00040672","1908-06","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","1","","","","","","0.0",",,6,30,+","0.0",",,,6","","","",""
"USC00040672","1908-07","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","9","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1908-08","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","21","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1908-09","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","1",",6","1",",6","0",",6","","","","","","","2","","","","","","6.9",",,6,15,","6.9",",,,6","","","",""
"USC00040672","1908-10","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","3",",6","3",",6","0",",6","","","","","","","5","","","","","","15.2",",,6,14,","22.8",",,,6","","","",""
"USC00040672","1908-11","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","4",",6","4",",6","2",",6","","","","","","","13","","","","","","38.1",",,6,26,","86.4",",,,6","","","",""
"USC00040672","1908-12","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","6",",6","6",",6","2",",6","","","","","","","6","","","","","","38.1",",,6,08,","117.3",",,,6","","","",""
"USC00040672","1909-01","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"USC00040672","1909-02","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","","","","","","","3","","","","","","","","","","","","",""
"USC00040672","1909-03","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","9",",6","9",",6","2",",6","","","","","","","","","","","","","48.3",",,6,28,","194.0",",,,6","","","",""
"USC00040672","1909-04","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","10","","","","","","0.0",",,6,30,+","0.0",",,,6","","","",""
"USC00040672","1909-05","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","0",",6","0",",6","0",",6","","","","","","","8","","","","","","0.0",",,6,31,+","0.0",",,,6","","","",""
"USC00040672","1909-06","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","2",",6","0",",6","0",",6","","","","","","","4","","","","","","2.0",",,6,17,","3.8",",,,6","","","",""
