"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00388786","1949-07","34.6069","-81.6661","137.2","UNION 8 S, SC US","","","278.3",",0","16",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","18.9",",0,22,+","0",",,0,31,+","0",",,0,31,+","31.0",",,0,18,","38.3",",0,28,","168.9",",,,0","0.0","0","0.0",",0","88.2",",,,0","0",",,,0","27.31",",0","33.63",",,,0","21.00",",,,0","1823","1,,,0"
"USC00388786","1949-08","34.6069","-81.6661","137.2","UNION 8 S, SC US","","","","","12",",0","9",",0","7",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","81.8",",,0,17,","","","142.0",",,,0","","","","","321.9",",,,0","0",",,,0","","","","","","","1804",",,,0"
"USC00388786","1949-09","34.6069","-81.6661","137.2","UNION 8 S, SC US","","","92.9",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","4",",0","","","","","2.2",",0,30,","0",",,0,30,+","0",",,0,30,+","21.3",",,0,07,","33.9",",0,17,","110.0",",,,0","","","22.3",",0","61.4",",,,0","0",",,,0","20.69",",0","27.53",",,,0","13.84",",,,0","1794",",,,0"
"USC00388786","1949-10","34.6069","-81.6661","137.2","UNION 8 S, SC US","","","44.4","1,0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","25","1,0","0","1,0","","","","","2.2",",0,01,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,08,","30.6","1,0,23,","","","","","29.2","1,0","58.9",",,,0","0",",,,0","18.68","1,0","25.37","1,,,0","11.99",",,,0","1756","2,,,0"
"USC00388786","1949-11","34.6069","-81.6661","137.2","UNION 8 S, SC US","","","0.0","1,0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0","1,0","9","1,0","0","1,0","","","","","-6.1",",0,19,","0",",,0,30,+","0",",,0,30,+","22.1",",,0,25,","26.1","1,0,13,","56.4",",,,0","","","268.9","1,0","43.3",",,,0","0",",,,0","9.23","1,0","17.57","1,,,0","0.89",",,,0","1988",",,,0"
"USC00388786","1949-12","34.6069","-81.6661","137.2","UNION 8 S, SC US","","","0.0","1,0","12","1,0","4","1,0","0","1,0","0",",0","0",",0","0","1,0","18","1,0","0",",0","2",",0","0",",0","","","","","-7.2","1,0,24,+","0",",,0,31,+","0",",,0,31,+","8.1","1,,0,15,","22.2",",0,23,","","","","","357.8",",0","26.9","1,,,0","0",",,,0","6.40","1,0","12.81",",,,0","-0.02","1,,,0","2316",",,,0"
"USC00388786","1950-01","34.6069","-81.6661","137.2","UNION 8 S, SC US","0.3","0","0.3","2,0","10",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","4","1,0","0","2,0","10","2,0","0","2,0","","","","","-7.8","1,0,08,","0",",,0,31,+","0",",,0,31,+","22.1",",,0,12,","26.1","2,0,26,","","","","","197.5","2,0","63.7",",,,0","0",",,,0","11.40","2,0","17.83","2,,,0","4.96","1,,,0","",""
"USC00388786","1950-02","34.6069","-81.6661","137.2","UNION 8 S, SC US","0.3","0","0.0","1,0","7",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","13","1,0","0",",0","6",",0","0",",0","","","","","-6.7","1,0,18,","0",",,0,28,+","0",",,0,28,+","12.4",",,0,23,","25.6",",0,01,","","","","","266.9",",0","38.2",",,,0","0",",,,0","8.48","1,0","16.00",",,,0","0.97","1,,,0","2476",",,,0"
"USC00388786","1950-03","34.6069","-81.6661","137.2","UNION 8 S, SC US","1.9","0","1.6","2,0","14",",0","8",",0","1",",0","0",",0","0",",0","0","1,0","13","1,0","0","1,0","8","1,0","0","1,0","","","","","-7.2","1,0,04,","0",",,0,31,+","0",",,0,31,+","27.9",",,0,07,","28.9","1,0,28,","","","","","270.1","1,0","100.6",",,,0","0",",,,0","9.12","2,0","16.42","1,,,0","1.81","1,,,0","3182",",,,0"
"USC00388786","1950-04","34.6069","-81.6661","137.2","UNION 8 S, SC US","28.6","0","26.7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","21",",0","1",",0","","","","","-6.1",",0,07,","0",",,0,30,+","0",",,0,30,+","23.9",",,0,29,","32.8",",0,28,","132.6","1,,,0","","","145.7",",0","37.9",",,,0","0",",,,0","14.37",",0","22.92",",,,0","5.81",",,,0","2510",",,,0"
