"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013762","1996-08","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","156.3",",M","","","","","","","0",",M","0",",M","0",",M","31",",M","1",",M","","","","","","","13.3",",M,21,","","","32.2",",M,24,","","","0.0",",M","","","23.37",",M","28.08",",,,M","18.66",",,,M","","","","","","","",""
"USW00013762","1996-09","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","102.5",",M","","","","","","","0",",M","0",",M","0",",M","30",",M","2",",M","","","","","","","10.6",",M,26,+","","","32.2",",M,10,+","","","2.8",",M","","","21.66",",M","26.46",",,,M","16.86",",,,M","","","","","","","",""
"USW00013762","1996-11","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","2.5",",M","","","","","","","0",",M","14",",M","0",",M","5",",M","0",",M","","","","","","","-5.0",",M,29,","","","26.1",",M,08,","","","333.0",",M","","","7.32",",M","12.59",",,,M","2.05",",,,M","","","","","","","",""
"USW00013762","1996-12","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","0.0","1,M","","","","","","","0","1,M","11","1,M","0","1,M","2","1,M","0","1,M","","","","","","","-7.2","1,M,21,","","","21.7","1,M,29,","","","312.3","1,M","","","7.92","1,M","13.03","1,,,M","2.82","1,,,M","","","","","","","",""
"USW00013762","1997-01","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","0.0","M","0.0","2,M","","","","","","","0","2,M","16","2,M","2","2,M","2","2,M","0","2,M","","","","","","","-10.6","2,M,19,","","","21.7","2,M,05,+","","","394.8","2,M","","","4.72","2,M","9.83","2,,,M","-0.39","2,,,M","","","","","","","",""
"USW00013762","1997-03","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","4.5",",M","","","","","","","0",",M","6",",M","0",",M","7",",M","0",",M","","","","","","","-2.2",",M,17,","","","27.8",",M,29,","","","246.4",",M","","","10.53",",M","16.71",",,,M","4.35",",,,M","","","","","","","",""
"USW00013762","1997-04","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","3.3","3,M","","","","","","","0","3,M","1","3,M","0","3,M","8","3,M","0","3,M","","","","","","","-0.6","3,M,11,","","","27.2","3,M,07,+","","","167.3","3,M","","","12.26","3,M","18.29","3,,,M","6.23","3,,,M","","","","","","","",""
"USW00013762","1997-11","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","","","","","0.0",",M","","","","","","","0",",M","9",",M","0",",M","2",",M","0",",M","","","","","","","-3.9",",M,18,","","","21.1",",M,22,+","","","267.1",",M","","","9.43",",M","14.57",",,,M","4.29",",,,M","","","","","","","",""
"USW00013762","2007-06","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","2.2",",W","","","167.5",",W","","","","","","","0",",W","0",",W","0",",W","29",",W","8",",W","22","","3","","9","","10.6",",W,16,","","","36.7",",W,19,","","","3.1",",W","","","23.82",",W","29.99",",,,W","17.64",",,,W","90",",W","330",",W","13.9",",W","19.7",",W"
"USW00013762","2007-07","36.695","-76.13556","4.9","FENTRESS NAVAL AUXILIARY FIELD, VA US","2.0",",W","","","226.4",",W","","","","","","","0",",W","0",",W","0",",W","31",",W","15",",W","24","","5","","11","","11.1",",W,03,","","","35.6",",W,19,+","0.0","W","0.0",",W","","","25.64",",W","31.72",",,,W","19.55",",,,W","330",",W","320",",W","10.3",",W","17.9",",W"
