"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00014217","1983-09","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","3",",a","2",",a","0",",a","3.4",",,a,28,","8.8",",,,a"
"ASN00014217","1983-10","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","10",",a","3",",a","2",",a","52.0",",,a,21,","105.2",",,,a"
"ASN00014217","1983-11","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","","","","","","","","","136.8",",a,,a"
"ASN00014217","1983-12","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","","","","","","","","","106.8",",a,,a"
"ASN00014217","1984-01","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","","","","","","","","","403.8",",a,,a"
"ASN00014217","1984-02","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","","","","","","","","","420.3",",a,,a"
"ASN00014217","1984-03","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","","","","","","","","","232.0",",a,,a"
"ASN00014217","1984-04","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","1",",a","1",",a","1",",a","130.0",",,a,02,","130.0",",,,a"
"ASN00014217","1984-05","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","0",",a","0",",a","0",",a","0.0",",,a,31,+","0.0",",,,a"
"ASN00014217","1984-06","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","0",",a","0",",a","0",",a","0.0",",,a,30,+","0.0",",,,a"
"ASN00014217","1984-07","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","0",",a","0",",a","0",",a","0.0",",,a,31,+","0.0",",,,a"
"ASN00014217","1984-08","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","0",",a","0",",a","0",",a","0.0",",,a,31,+","0.0",",,,a"
"ASN00014217","1984-09","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","4","1,a","4","1,a","1","1,a","27.8","1,,a,18,","92.0","1,,,a"
"ASN00014217","1984-10","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","0",",a","0",",a","0",",a","0.0",",,a,31,+","0.0",",,,a"
"ASN00014217","1984-11","-12.47","130.8408","25.0","DARWIN GOVERNMENT HOUSE, AS","11",",a","9",",a","1",",a","39.0",",,a,12,","148.0",",,,a"
