"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00203183","1990-04","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","17.7","1,6","0",",6","13",",6","0","1,6","7","1,6","0","1,6","2","","1","","-5.6",",6,18,+","30.0","1,6,26,","","","308.4","1,6","8.25","1,6","14.01","1,,,6","2.48",",,,6"
"USC00203183","1990-05","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","2.5","1,6","0","1,6","0","1,6","0",",6","9",",6","0",",6","5","","4","","0.6","1,6,02,","26.7",",6,09,","","","185.7",",6","12.18","1,6","17.95",",,,6","6.41","1,,,6"
"USC00203183","1990-06","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","59.5",",6","0",",6","0",",6","0",",6","26",",6","2",",6","1","","5","","0.6",",6,05,","33.9",",6,18,","","","48.9",",6","18.69",",6","25.41",",,,6","11.96",",,,6"
"USC00203183","1990-09","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","50.2","1,6","0","1,6","0","1,6","0",",6","19",",6","1",",6","7","","6","","3.9","1,6,18,+","34.4",",6,07,","","","64.7",",6","17.76","1,6","23.59",",,,6","11.93","1,,,6"
"USC00203183","1990-10","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","7.3",",6","0",",6","8",",6","0",",6","7",",6","0",",6","3","","2","","-3.9",",6,29,+","29.4",",6,06,","","","276.8",",6","9.64",",6","15.98",",,,6","3.29",",,,6"
"USC00203183","1991-05","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","81.4",",6","0",",6","0",",6","0",",6","22",",6","1",",6","6","","5","","0.6",",6,04,+","32.8",",6,29,","","","75.7",",6","18.52",",6","24.41",",,,6","12.62",",,,6"
"USC00203183","1991-06","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","101.4",",6","0",",6","0",",6","0",",6","29",",6","7",",6","4","","2","","8.3",",6,05,","33.9",",6,30,","","","7.5",",6","21.46",",6","28.47",",,,6","14.46",",,,6"
"USC00203183","1994-04","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","11.4",",6","0",",6","13",",6","0",",6","7",",6","0",",6","","","4","","-6.1",",6,08,+","30.6",",6,27,","","","288.9",",6","9.08",",6","15.61",",,,6","2.55",",,,6"
"USC00203183","1994-06","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","82.5",",6","0",",6","0",",6","0",",6","27",",6","5",",6","2","","7","","1.7",",6,03,","35.0",",6,19,","","","42.0",",6","19.68",",6","27.02",",,,6","12.35",",,,6"
"USC00203183","1994-07","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","97.9","1,6","0","1,6","0","1,6","0",",6","30",",6","2",",6","3","","13","","9.4","1,6,30,+","32.2",",6,21,+","7.4","","7.4",",6","21.29","1,6","27.02",",,,6","15.57","1,,,6"
"USC00203183","1994-09","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","36.1",",6","0",",6","0",",6","0",",6","19",",6","0",",6","4","","5","","5.0",",6,30,","31.1",",6,16,","","","73.6",",6","17.09",",6","23.39",",,,6","10.78",",,,6"
"USC00203183","1994-10","41.86861","-86.49417","205.7","GLENDORA 1 SSW, MI US","2.3",",6","0",",6","4",",6","0",",6","10",",6","0",",6","5","","1","","-1.7",",6,28,+","26.1",",6,18,","","","209.2",",6","11.66",",6","17.81",",,,6","5.50",",,,6"
