"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00014318","1983-04","21.8667","-103.75","1679.8","EL REFUGIO, MX","125.3","m","88.8",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","30",",m","6",",m","10.0",",m,10,","0.0",",,m,30,+","35.0",",m,30,","","","0.0",",m","0.0",",,,m","21.29",",m","29.14",",,,m","13.45",",,,m"
"MXN00014318","1983-05","21.8667","-103.75","1679.8","EL REFUGIO, MX","140.8","m","15.5","3,m","0","3,m","0","3,m","0","3,m","0","3,m","0","3,m","0","3,m","28","3,m","0","3,m","6.7","3,m,18,+","0.0","3,,m,31,+","29.4","3,m,22,+","","","20.9","3,m","0.0","3,,,m","18.14","3,m","26.52","3,,,m","9.76","3,,,m"
"MXN00014318","1983-06","21.8667","-103.75","1679.8","EL REFUGIO, MX","143.2","m","2.4",",m","6",",m","6",",m","4",",m","0",",m","0",",m","0",",m","30",",m","0",",m","7.8",",m,23,+","30.0",",,m,30,+","25.6",",m,28,+","","","35.9",",m","128.6",",,,m","17.22",",m","23.82",",,,m","10.61",",,,m"
"MXN00014318","1983-07","21.8667","-103.75","1679.8","EL REFUGIO, MX","151.9","m","8.7",",m","14",",m","12",",m","7",",m","0",",m","0",",m","0",",m","28",",m","0",",m","8.9",",m,20,+","57.9",",,m,14,","27.8",",m,26,","21.9","m","21.9",",m","342.0",",,,m","17.91",",m","24.79",",,,m","11.03",",,,m"
"MXN00014318","1983-08","21.8667","-103.75","1679.8","EL REFUGIO, MX","153.0","m","1.1",",m","13",",m","12",",m","2",",m","0",",m","0",",m","0",",m","30",",m","0",",m","10.0",",m,14,","27.9",",,m,29,+","24.4",",m,24,+","52.0","m","30.1",",m","123.5",",,,m","17.40",",m","22.83",",,,m","11.96",",,,m"
"MXN00014318","1983-09","21.8667","-103.75","1679.8","EL REFUGIO, MX","153.6","m","0.6",",m","11",",m","11",",m","2",",m","0",",m","0",",m","0",",m","23",",m","0",",m","8.9",",m,11,","37.8",",,m,14,","25.0",",m,29,+","99.4","m","47.4",",m","159.7",",,,m","16.77",",m","22.55",",,,m","10.99",",,,m"
"MXN00014318","1983-11","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","5.7",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","29",",m","0",",m","5.0",",m,29,","0.0",",,m,30,+","28.9",",m,03,","","","45.4",",m","0.0",",,,m","17.01",",m","24.51",",,,m","9.51",",,,m"
"MXN00014318","1983-12","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","0.3",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","24",",m","0",",m","3.9",",m,29,+","0.0",",,m,31,+","25.6",",m,29,+","","","80.5",",m","0.0",",,,m","15.75",",m","23.13",",,,m","8.36",",,,m"
"MXN00014318","1984-01","21.8667","-103.75","1679.8","EL REFUGIO, MX","1.2","","1.2",",m","3",",m","3",",m","1",",m","0",",m","0",",m","0",",m","28",",m","0",",m","5.6",",m,28,","29.0",",,m,31,","25.6",",m,29,","","","58.4",",m","58.7",",,,m","16.49",",m","23.25",",,,m","9.72",",,,m"
"MXN00014318","1984-02","21.8667","-103.75","1679.8","EL REFUGIO, MX","1.2","","0.0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","28",",m","0",",m","2.8",",m,28,","0.0",",,m,29,+","25.0",",m,17,+","","","80.6",",m","0.0",",,,m","15.55",",m","23.27",",,,m","7.84",",,,m"
"MXN00014318","1984-03","21.8667","-103.75","1679.8","EL REFUGIO, MX","28.8","","27.6",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","5.6",",m,02,","0.0",",,m,31,+","30.6",",m,30,","","","14.9",",m","0.0",",,,m","18.74",",m","26.80",",,,m","10.68",",,,m"
"MXN00014318","1984-04","21.8667","-103.75","1679.8","EL REFUGIO, MX","106.2","","77.4",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","30",",m","2",",m","8.9",",m,07,","0.0",",,m,30,+","33.3",",m,30,+","","","0.3",",m","0.0",",,,m","20.91",",m","29.03",",,,m","12.78",",,,m"
"MXN00014318","1984-05","21.8667","-103.75","1679.8","EL REFUGIO, MX","141.4","","35.2",",m","4",",m","2",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","7.8",",m,21,","9.9",",,m,12,","31.7",",m,26,","","","0.6",",m","17.3",",,,m","19.45",",m","28.03",",,,m","10.87",",,,m"
"MXN00014318","1984-07","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","101.2",",m","16",",m","10",",m","3",",m","0",",m","0",",m","0",",m","31",",m","5",",m","10.0",",m,27,","38.6",",,m,04,","32.8",",m,31,+","0.0","","0.0",",m","180.9",",,,m","21.60",",m","29.82",",,,m","13.37",",,,m"
"MXN00014318","1984-08","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","71.3",",m","17",",m","16",",m","2",",m","0",",m","0",",m","0",",m","31",",m","0",",m","10.0",",m,29,+","39.1",",,m,15,","31.7",",m,30,+","0.0","","0.0",",m","228.8",",,,m","20.63",",m","28.69",",,,m","12.57",",,,m"
"MXN00014318","1984-09","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","27.0",",m","14",",m","12",",m","1",",m","0",",m","0",",m","0",",m","29",",m","0",",m","8.9",",m,24,+","28.4",",,m,22,","28.9",",m,26,+","9.5","","9.5",",m","93.5",",,,m","18.92",",m","26.23",",,,m","11.60",",,,m"
"MXN00014318","1984-10","21.8667","-103.75","1679.8","EL REFUGIO, MX","","","39.6",",m","3",",m","3",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","10.0",",m,20,+","7.1",",,m,12,","30.0",",m,20,+","9.5","","0.0",",m","19.1",",,,m","19.61",",m","27.80",",,,m","11.42",",,,m"
