"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013959","1941-01","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","0.0","0","0.0",",0","7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","4",",0","0",",0","11","","","","","","-2.2",",0,18,","0",",,0,31,+","0",",,0,31,+","40.6",",,0,13,","23.3",",0,01,","","","","","246.1",",0","","","","","","","","","","","50.0",",,,0","0",",,,0","10.40",",0","15.62",",,,0","5.17",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-02","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","0.0","0","0.0",",0","9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","4",",0","0",",0","11","","","","","","-1.7",",0,09,","0",",,0,28,+","0",",,0,28,+","78.7",",,0,01,","23.3",",0,16,","","","","","262.2",",0","","","","","","","","","","","151.3",",,,0","0",",,,0","8.97",",0","13.73",",,,0","4.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-03","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","3.3","0","3.3",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","9","","","","1","","1.1",",0,18,+","0",",,0,31,+","0",",,0,31,+","69.9",",,0,06,","28.3",",0,31,","","","","","213.9",",0","","","","","","","","","","","121.2",",,,0","0",",,,0","11.54",",0","17.03",",,,0","6.05",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-04","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","53.4","0","50.1",",0","11",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","15","","","","2","","6.7",",0,05,","0",",,0,30,+","0",",,0,30,+","20.8",",,0,22,","30.6",",0,17,","","","","","32.5",",0","","","","","","","","","","","95.9",",,,0","0",",,,0","18.92",",0","23.78",",,,0","14.06",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-05","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","226.8","0","173.4",",0","11",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","7","","","","7","","13.3",",0,03,","0",",,0,31,+","0",",,0,31,+","20.6",",,0,20,+","34.4",",0,17,","","","","","0.0",",0","","","","","","","","","","","112.0",",,,0","0",",,,0","23.93",",0","29.43",",,,0","18.42",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-06","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","457.1","0","230.3",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","17",",0","6","","","","12","","16.7",",0,18,","0",",,0,30,+","0",",,0,30,+","47.0",",,0,10,","34.4",",0,30,+","","","","","0.0",",0","","","","","","","","","","","102.0",",,,0","0",",,,0","26.01",",0","31.54",",,,0","20.48",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-07","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","775.2","0","318.1",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","4","","","","5","","20.0",",0,06,","0",",,0,31,+","0",",,0,31,+","61.5",",,0,11,","36.7",",0,30,","0.0","0","","","0.0",",0","","","","","","","","","","","107.5",",,,0","0",",,,0","28.60",",0","34.29",",,,0","22.90",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-08","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","1105.0","0","329.8",",0","7",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","8","","21.1",",0,13,","0",",,0,31,+","0",",,0,31,+","38.6",",,0,13,","38.3",",0,17,","0.0","0","","","0.0",",0","","","","","","","","","","","92.5",",,,0","0",",,,0","28.97",",0","35.10",",,,0","22.85",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-09","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","1358.1","0","253.1",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","4","","","","2","","12.8",",0,26,","0",",,0,30,+","0",",,0,30,+","18.0",",,0,08,","36.7",",0,02,","0.0","0","","","0.0",",0","","","","","","","","","","","25.4",",,,0","0",",,,0","26.77",",0","32.55",",,,0","20.99",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-10","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","1517.4","0","159.3",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","5",",0","15","","","","4","","4.4",",0,31,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,03,","32.8",",0,08,+","33.3","0","","","33.3",",0","","","","","","","","","","","77.8",",,,0","0",",,,0","22.40",",0","27.33",",,,0","17.47",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-11","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","1527.2","0","9.8",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","13",",0","0",",0","6","","","","","","-2.8",",0,24,","0",",,0,30,+","0",",,0,30,+","13.7",",,0,22,","28.9",",0,18,+","190.9","0","","","157.6",",0","","","","","","","","","","","32.0",",,,0","0",",,,0","13.41",",0","20.45",",,,0","6.37",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-12","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","1528.3","0","1.1",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","4",",0","0",",0","15","","","","","","-2.8",",0,29,","0",",,0,31,+","0",",,0,31,+","14.7",",,0,11,","25.0",",0,01,","430.2","0","","","239.3",",0","","","","","","","","","","","42.5",",,,0","0",",,,0","10.65",",0","15.97",",,,0","5.33",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-01","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","1.4","0","1.4",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","12",",0","5",",0","6",",0","0",",0","7","","","","","","-10.6",",0,05,","0",",,0,31,+","0",",T,0,04,+","6.1",",,0,03,","27.2",",0,26,","776.6","0","","","346.4",",0","","","","","","","","","","","14.0",",,,0","0",",T,,0","7.20",",0","13.96",",,,0","0.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-02","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","4.2","0","2.8",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","3",",0","0",",0","7","","","","","","-5.6",",0,18,","0",",,0,28,+","5",",,0,19,","19.3",",,0,16,","27.8",",0,05,","1022.2","0","","","245.6",",0","","","","","","","","","","","46.9",",,,0","5",",,,0","9.66",",0","15.29",",,,0","4.03",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-03","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","17.6","0","13.4",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","4","","","","","","0.6",",0,03,+","0",",,0,31,+","0",",,0,31,+","20.6",",,0,01,","30.6",",0,13,","1162.6","0","","","140.4",",0","","","","","","","","","","","26.0",",,,0","0",",,,0","14.24",",0","21.59",",,,0","6.88",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-04","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","68.4","0","50.8",",0","15",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","17","","","","5","","3.3",",0,01,","0",",,0,30,+","0",",,0,30,+","48.8",",,0,07,","29.4",",0,17,","1202.0","0","","","39.4",",0","","","","","","","","","","","264.4",",,,0","0",",,,0","18.71",",0","23.98",",,,0","13.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-05","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","197.8","0","129.4",",0","12",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","5",",0","9","","","","6","","7.8",",0,15,","0",",,0,31,+","0",",,0,31,+","20.8",",,0,23,","33.9",",0,29,+","1208.6","0","","","6.6",",0","","","","","","","","","","","97.6",",,,0","0",",,,0","22.29",",0","27.73",",,,0","16.86",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-06","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","465.4","0","267.6",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","1","","","","6","","16.1",",0,14,","0",",,0,30,+","0",",,0,30,+","33.3",",,0,11,","36.1",",0,12,","1208.6","0","","","0.0",",0","","","","","","","","","","","113.4",",,,0","0",",,,0","27.25",",0","33.12",",,,0","21.39",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1942-07","31.61889","-97.22833","152.4","WACO REGIONAL AIRPORT, TX US","","","777.0","0","311.6",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","2","","","","7","","18.3",",0,24,","0",",,0,31,+","0",",,0,31,+","3.0",",,0,07,+","37.2",",0,15,","0.0","0","","","0.0",",0","","","","","","","","","","","6.8",",,,0","0",",,,0","28.38",",0","34.42",",,,0","22.35",",,,0","","","","","","","","","","","","","","","","","",""
