"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00014861","1926-11","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","459.4","0","0.0","1,0","14",",0","5",",0","1",",0","0",",0","0",",0","0",",0","11",",0","3","1,0","1","1,0","0","1,0","","","-5.0",",0,12,+","0",",T,0,27,+","5",",,0,27,+","32.8",",,0,15,","23.9","1,0,15,","622.7","0","374.6","1,0","83.3",",,,0","","","10",",,,0","5.33","1,0","9.54","1,,,0","1.12",",,,0","",""
"USW00014861","1926-12","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","459.4","0","0.0",",0","17",",0","5",",0","1",",0","6","1,0","0","1,0","0",",0","23",",0","8",",0","0",",0","0",",0","","","-13.9",",0,18,","25","1,,0,31,+","23","1,,0,17,","27.9",",,0,05,","15.6",",0,13,","1197.9","0","575.2",",0","79.2",",,,0","","","105","1,,,0","-0.22",",0","3.41",",,,0","-3.85",",,,0","",""
"USW00014861","1927-01","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","15",",0","11",",0","0",",0","13",",0","0","4,0","1",",0","25",",0","11",",0","0",",0","0",",0","1","","-17.8",",0,16,","102",",,0,03,","10","4,,0,18,","14.5",",,0,20,","15.0",",0,22,","1798.4","0","600.5",",0","89.5",",,,0","","","18","4,,,0","-1.04",",0","2.64",",,,0","-4.72",",,,0","",""
"USW00014861","1927-02","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","14",",0","7",",0","0",",0","10",",0","3","1,0","0",",0","16",",0","5",",0","0",",0","0",",0","1","","-6.7",",0,11,","406",",,0,21,","244","1,,0,20,","19.6",",,0,18,","18.9",",0,16,","2216.7","0","418.3",",0","100.9",",,,0","","","407","1,,,0","3.39",",0","7.28",",,,0","-0.49",",,,0","",""
"USW00014861","1927-03","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.5","0","0.5",",0","13",",0","8",",0","0",",0","0",",0","0",",0","0",",0","9",",0","3",",0","4",",0","0",",0","2","","-7.2",",0,03,","0",",T,0,08,+","0",",T,0,28,+","20.8",",,0,20,","23.3",",0,13,","2565.6","0","348.9",",0","81.3",",,,0","","","0",",T,,0","7.09",",0","11.24",",,,0","2.95",",,,0","",""
"USW00014861","1927-04","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","6.3","0","5.8",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","6",",0","0",",0","5","","-1.1",",0,23,","0",",,0,30,+","0",",T,0,25,+","28.2",",,0,01,","28.3",",0,19,","2823.1","0","257.5",",0","80.0",",,,0","","","0",",T,,0","9.95",",0","15.15",",,,0","4.74",",,,0","",""
"USW00014861","1927-05","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","33.2","0","26.9",",0","18",",0","12",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","6","","3.3",",0,01,","0",",,0,31,+","0",",,0,31,+","17.5",",,0,19,","30.6",",0,21,","2934.7","0","111.6",",0","95.3",",,,0","","","0",",,,0","15.60",",0","20.27",",,,0","10.93",",,,0","",""
"USW00014861","1927-06","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","81.0","0","47.8",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","1",",0","3","","7.2",",0,06,+","0",",,0,30,+","0",",,0,30,+","29.2",",,0,04,","32.2",",0,30,","2988.7","0","54.0",",0","70.4",",,,0","","","0",",,,0","18.13",",0","23.11",",,,0","13.14",",,,0","",""
"USW00014861","1927-07","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","223.9","0","142.9",",0","13",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","10","","10.0",",0,04,","0",",,0,31,+","0",",,0,31,+","72.6",",,0,22,","33.3",",0,13,+","4.2","0","4.2",",0","160.9",",,,0","","","0",",,,0","22.81",",0","27.94",",,,0","17.67",",,,0","",""
"USW00014861","1927-08","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","269.3","0","45.4",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","4","","10.0",",0,25,","0",",,0,31,+","0",",,0,31,+","24.4",",,0,14,","30.0",",0,13,","16.2","0","12.0",",0","47.2",",,,0","","","0",",,,0","19.41",",0","24.18",",,,0","14.64",",,,0","",""
"USW00014861","1927-09","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","353.6","0","84.3",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","5","","6.1",",0,22,","0",",,0,30,+","0",",,0,30,+","16.0",",,0,10,","32.8",",0,15,","48.0","0","31.8",",0","55.5",",,,0","","","0",",,,0","20.08",",0","25.75",",,,0","14.41",",,,0","",""
"USW00014861","1927-10","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","373.0","0","19.4",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","1","","2.2",",0,17,","0",",,0,31,+","0",",,0,31,+","42.2",",,0,18,","31.7",",0,02,","199.5","0","151.5",",0","104.0",",,,0","","","0",",,,0","14.07",",0","19.45",",,,0","8.69",",,,0","",""
"USW00014861","1927-11","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","373.0","0","0.0",",0","17",",0","12",",0","1",",0","0",",0","0",",0","0",",0","7",",0","1",",0","5",",0","0",",0","1","","-4.4",",0,20,+","0",",T,0,08,+","0",",T,0,21,+","31.0",",,0,17,","22.8",",0,15,","496.5","0","297.0",",0","131.5",",,,0","","","0",",T,,0","8.44",",0","12.42",",,,0","4.45",",,,0","",""
"USW00014861","1927-12","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","373.0","0","0.0",",0","12",",0","7",",0","0",",0","8",",0","1",",0","0",",0","23",",0","12",",0","0",",0","0",",0","","","-14.4",",0,09,","51",",,0,20,+","38",",,0,16,","19.8",",,0,16,","17.8",",0,13,","1034.7","0","538.2",",0","80.4",",,,0","","","46",",,,0","0.97",",0","4.87",",,,0","-2.92",",,,0","",""
"USW00014861","1928-01","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","19",",0","12",",0","0",",0","0",",0","1","","-16.7",",0,03,+","0",",T,0,31,+","13",",,0,25,","13.5",",,0,24,","16.7",",0,14,","1622.8","0","588.1",",0","33.2",",,,0","","","31",",,,0","-0.64",",0","3.31",",,,0","-4.59",",,,0","",""
"USW00014861","1928-02","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","16",",0","10",",0","0",",0","7",",0","2","1,0","0",",0","23",",0","8",",0","0",",0","0",",0","","","-14.4",",0,19,","102",",,0,20,+","46","1,,0,18,+","13.2",",,0,14,","15.0",",0,08,","2147.7","0","524.9",",0","78.0",",,,0","","","129","1,,,0","0.23",",0","4.10",",,,0","-3.63",",,,0","",""
"USW00014861","1928-03","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","15",",0","8",",0","0",",0","4",",0","2",",0","0",",0","21",",0","5",",0","3",",0","0",",0","4","","-9.4",",0,05,","152",",,0,18,","140",",,0,18,","24.1",",,0,29,","23.9",",0,13,","2602.3","0","454.6",",0","108.0",",,,0","","","241",",,,0","3.67",",0","7.95",",,,0","-0.62",",,,0","",""
"USW00014861","1928-04","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","7.3","0","7.3",",0","14",",0","10",",0","0",",0","1",",0","0","2,0","0",",0","8",",0","0",",0","4",",0","0",",0","1","","-3.9",",0,16,","51",",,0,28,","20","2,,0,01,","22.4",",,0,21,","26.7",",0,06,","2916.0","0","313.7",",0","103.1",",,,0","","","20","2,,,0","8.12",",0","12.67",",,,0","3.56",",,,0","",""
"USW00014861","1928-05","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","19.3","0","12.0",",0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","5","","2.8",",0,13,","0",",,0,31,+","0",",T,0,30,","10.4",",,0,18,","30.0",",0,04,","3032.2","0","116.2",",0","27.6",",,,0","","","0",",T,,0","14.97",",0","20.72",",,,0","9.23",",,,0","",""
"USW00014861","1928-06","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","65.4","0","46.1",",0","20",",0","13",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","8","","7.8",",0,03,","0",",,0,30,+","0",",,0,30,+","43.7",",,0,21,","30.0",",0,13,","3059.9","0","27.7",",0","196.3",",,,0","","","0",",,,0","18.95",",0","23.36",",,,0","14.53",",,,0","",""
"USW00014861","1928-07","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","211.6","0","146.2",",0","11",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","9","","12.8",",0,29,","0",",,0,31,+","0",",,0,31,+","44.2",",,0,13,","33.9",",0,08,","0.3","0","0.3",",0","125.3",",,,0","","","0",",,,0","23.04",",0","27.89",",,,0","18.19",",,,0","",""
"USW00014861","1928-08","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","374.9","0","163.3",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","6","","13.9",",0,23,+","0",",,0,31,+","0",",,0,31,+","36.8",",,0,01,","32.2",",0,09,","0.9","0","0.6",",0","78.7",",,,0","","","0",",,,0","23.58",",0","28.56",",,,0","18.61",",,,0","",""
"USW00014861","1928-09","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","408.0","0","33.1","1,0","6","1,0","2","1,0","0","1,0","0","1,0","0","1,0","0","1,0","0","1,0","0","1,0","14","1,0","0","1,0","3","","1.7","1,0,26,","0","1,,0,30,+","0","1,,0,30,+","12.4","1,,0,19,","30.0","1,0,10,","100.4","0","99.5","1,0","25.9","1,,,0","","","0","1,,,0","16.04","1,0","20.58","1,,,0","11.51","1,,,0","",""
"USW00014861","1928-10","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","431.0","0","23.0",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","15",",0","0",",0","2","","0.0",",0,30,","0",",,0,31,+","0",",T,0,29,+","12.7",",,0,17,","28.3",",0,17,+","260.5","0","160.1",",0","31.0",",,,0","","","0",",T,,0","13.91",",0","18.87",",,,0","8.95",",,,0","",""
"USW00014861","1928-11","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","431.0","0","0.0",",0","17",",0","4",",0","0",",0","1",",0","1",",0","0",",0","6",",0","2",",0","1",",0","0",",0","","","-7.8",",0,26,","25",",,0,25,","25",",,0,25,","18.0",",,0,19,","22.2",",0,17,","612.2","0","351.7",",0","48.6",",,,0","","","37",",,,0","6.61",",0","9.76",",,,0","3.46",",,,0","",""
"USW00014861","1928-12","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","431.0","0","0.0",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","20",",0","4",",0","0",",0","0",",0","","","-12.2",",0,21,","0",",T,0,22,+","0",",T,0,30,+","17.8",",,0,14,","14.4",",0,13,","1116.1","0","503.9",",0","30.1",",,,0","","","0",",T,,0","2.08",",0","5.95",",,,0","-1.79",",,,0","",""
"USW00014861","1929-01","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","17",",0","8",",0","0",",0","6",",0","3",",0","2",",0","29",",0","12",",0","0",",0","0",",0","","","-20.0",",0,14,","152",",,0,15,","127",",,0,15,","20.3",",,0,22,","20.6",",0,18,","1753.1","0","637.0",",0","84.6",",,,0","","","266",",,,0","-2.22",",0","2.56",",,,0","-7.00",",,,0","",""
"USW00014861","1929-02","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","9",",0","6",",0","0",",0","19","2,0","4","1,0","0",",0","25",",0","12",",0","0",",0","0",",0","","","-16.1",",0,20,","102","2,,0,22,+","76","1,,0,21,","18.8",",,0,26,","14.4",",0,26,","2319.5","0","566.4",",0","66.7",",,,0","","","254","1,,,0","-1.90",",0","1.56",",,,0","-5.35",",,,0","",""
"USW00014861","1929-03","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","4.7","0","4.7",",0","16",",0","6",",0","0",",0","2",",0","1",",0","0",",0","14",",0","0",",0","3",",0","0",",0","4","","-11.7",",0,10,","51",",,0,05,","51",",,0,05,","19.6",",,0,05,","28.9",",0,25,","2644.1","0","324.6",",0","54.8",",,,0","","","79",",,,0","8.01",",0","13.34",",,,0","2.69",",,,0","",""
"USW00014861","1929-04","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","20.8","0","16.1",",0","16",",0","13",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","10",",0","0",",0","7","","-0.6",",0,02,","0",",,0,30,+","0",",T,0,28,+","21.6",",,0,16,","28.3",",0,07,+","2852.4","0","208.3",",0","109.0",",,,0","","","0",",T,,0","11.93",",0","16.89",",,,0","6.96",",,,0","",""
"USW00014861","1929-05","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","60.8","0","40.0",",0","16",",0","11",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","1",",0","4","","0.6",",0,03,","0",",,0,31,+","0",",T,0,03,","25.9",",,0,18,","33.9",",0,30,","2987.3","0","134.9",",0","136.7",",,,0","","","0",",T,,0","15.27",",0","20.69",",,,0","9.85",",,,0","",""
"USW00014861","1929-06","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","149.7","0","88.9",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","3",",0","10","","4.4",",0,03,","0",",,0,30,+","0",",,0,30,+","32.5",",,0,28,","33.3",",0,18,","3014.3","0","27.0",",0","56.2",",,,0","","","0",",,,0","20.40",",0","25.84",",,,0","14.96",",,,0","",""
"USW00014861","1929-07","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","292.9","0","143.2",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","10","","10.6",",0,20,+","0",",,0,31,+","0",",,0,31,+","27.4",",,0,05,","32.8",",0,31,","5.0","0","5.0",",0","89.0",",,,0","","","0",",,,0","22.79",",0","27.99",",,,0","17.59",",,,0","",""
"USW00014861","1929-08","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","362.8","0","69.9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","6","","10.6",",0,31,","0",",,0,31,+","0",",,0,31,+","20.1",",,0,23,","30.6",",0,10,","18.7","0","13.7",",0","45.5",",,,0","","","0",",,,0","20.15",",0","25.51",",,,0","14.78",",,,0","",""
"USW00014861","1929-09","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","445.3","0","82.5",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","2",",0","3","","4.4",",0,19,","0",",,0,30,+","0",",,0,30,+","8.1",",,0,12,","32.2",",0,05,+","66.2","0","47.5",",0","26.7",",,,0","","","0",",,,0","19.50",",0","24.68",",,,0","14.32",",,,0","",""
"USW00014861","1929-10","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","445.3","0","0.0",",0","14",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","2","","1.1",",0,24,","0",",,0,31,+","0",",T,0,24,","81.8",",,0,02,","23.3",",0,20,+","287.6","0","221.4",",0","128.9",",,,0","","","0",",T,,0","11.19",",0","15.77",",,,0","6.61",",,,0","",""
"USW00014861","1929-11","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","448.3","0","3.0",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","10",",0","4",",0","1",",0","0",",0","","","-17.2",",0,30,","0",",T,0,30,+","13",",,0,28,","32.8",",,0,17,","24.4",",0,01,","689.4","0","401.8",",0","86.0",",,,0","","","13",",,,0","5.04",",0","8.78",",,,0","1.30",",,,0","",""
"USW00014861","1929-12","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","448.3","0","0.0",",0","14",",0","9",",0","0",",0","9",",0","6",",0","0",",0","16",",0","9",",0","0",",0","0",",0","","","-13.3",",0,01,","152",",,0,25,","127",",,0,23,","11.2",",,0,13,","17.2",",0,17,","1212.0","0","522.6",",0","54.7",",,,0","","","288",",,,0","1.48",",0","4.94",",,,0","-1.99",",,,0","",""
"USW00014861","1930-01","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","17",",0","7",",0","0",",0","12",",0","3",",0","1",",0","22",",0","14",",0","0",",0","0",",0","","","-17.8",",0,19,","102",",,0,22,","51",",,0,18,","7.4",",,0,13,","17.2",",0,07,","1783.1","0","571.1",",0","42.6",",,,0","","","175",",,,0","-0.09",",0","4.23",",,,0","-4.41",",,,0","",""
"USW00014861","1930-02","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","12",",0","5",",0","1",",0","0",",0","0",",0","0",",0","15",",0","3",",0","1",",0","0",",0","1","","-15.6",",0,16,","0",",T,0,27,+","13",",,0,10,","43.7",",,0,24,","21.1",",0,22,","2186.2","0","403.1",",0","79.3",",,,0","","","32",",,,0","3.94",",0","8.35",",,,0","-0.48",",,,0","",""
"USW00014861","1930-03","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","13",",0","7",",0","0",",0","4",",0","2",",0","0",",0","23",",0","5",",0","0",",0","0",",0","1","","-11.1",",0,03,","127",",,0,02,","127",",,0,02,","17.5",",,0,07,","20.0",",0,16,","2654.3","0","468.1",",0","71.5",",,,0","","","186",",,,0","3.23",",0","8.33",",,,0","-1.86",",,,0","",""
"USW00014861","1930-04","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","14.4","0","14.4",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","8",",0","0",",0","5","","-3.3",",0,24,","0",",T,0,24,+","10",",,0,08,","18.5",",,0,30,","30.0",",0,11,","2893.8","0","239.5",",0","66.0",",,,0","","","26",",,,0","10.83",",0","16.31",",,,0","5.35",",,,0","",""
"USW00014861","1930-05","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","67.0","0","52.6",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","5","","2.8",",0,30,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,06,","31.1",",0,10,+","2980.0","0","86.2",",0","49.5",",,,0","","","0",",,,0","17.25",",0","22.74",",,,0","11.76",",,,0","",""
"USW00014861","1930-06","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","165.1","0","98.1",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","5","","6.7",",0,01,","0",",,0,30,+","0",",T,0,18,","48.0",",,0,10,","32.2",",0,30,","2996.1","0","16.1",",0","86.7",",,,0","","","0",",T,,0","21.07",",0","26.67",",,,0","15.46",",,,0","",""
"USW00014861","1930-07","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","340.3","0","175.2",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","9",",0","4","","10.6",",0,15,","0",",,0,31,+","0",",,0,31,+","17.3",",,0,06,","37.2",",0,20,","3.8","0","3.8",",0","33.9",",,,0","","","0",",,,0","23.86",",0","29.84",",,,0","17.89",",,,0","",""
