"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014756","1948-01","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","0.0","0","0.0",",X","15",",X","12",",X","1",",X","16",",X","6",",X","0",",X","26",",X","12",",X","0",",X","0",",X","12","","","","","","-15.0",",X,30,","152",",,X,25,+","152",",,X,14,","62.5",",,X,13,","8.9",",X,21,","","","641.6",",X","181.1",",,,X","","","390",",,,X","-2.36",",X","1.35",",,,X","-6.07",",,,X","","","","","","","","","","","","","",""
"USW00014756","1948-02","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","0.0","0","0.0",",X","15",",X","7",",X","1",",X","19",",X","3",",X","0",",X","28",",X","11",",X","0",",X","0",",X","16","","","","1","","-12.8",",X,11,","127",",,X,10,+","127",",,X,04,","35.1",",,X,14,","10.6",",X,14,","","","576.9",",X","96.4",",,,X","","","363",",,,X","-1.56",",X","2.03",",,,X","-5.15",",,,X","","","","","","","","","","","","","",""
"USW00014756","1948-03","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","0.0","0","0.0","2,X","16",",X","9",",X","1",",X","0","1,X","1",",X","0","1,X","20","1,X","4","1,X","0","1,X","0","1,X","18","","","","3","","-10.6","1,X,05,","0","1,T,X,04,+","36",",,X,02,","26.2",",,X,02,","16.7","1,X,20,","","","452.2","1,X","103.4",",,,X","","","55",",,,X","2.92","2,X","7.01","1,,,X","-1.17","1,,,X","","","","","","","","","","","","","",""
"USW00014756","1948-04","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","0.0","0","0.0","1,X","10","1,X","6","1,X","0","1,X","0","3,X","0","1,X","0","1,X","8","1,X","0","1,X","0","1,X","0","1,X","14","","","","","","-2.8","1,X,11,","0","3,,X,30,+","0","1,,X,30,+","22.9","1,,X,01,","12.8","1,X,21,+","","","343.0","1,X","68.9","1,,,X","","","0","1,,,X","6.51","1,X","10.33","1,,,X","2.68","1,,,X","","","","","","","","","","","","","",""
"USW00014756","1948-05","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","0.0","0","0.0",",X","14",",X","10",",X","3",",X","0",",X","0",",X","0",",X","1",",X","0",",X","2",",X","0",",X","21","","","","3","","0.0",",X,04,","0",",,X,31,+","0",",,X,31,+","55.6",",,X,14,","21.1",",X,29,+","","","234.8",",X","209.4",",,,X","","","0",",,,X","10.76",",X","14.35",",,,X","7.16",",,,X","","","","","","","","","","","","","",""
"USW00014756","1948-06","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","5.3","0","5.3",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","24","","","","7","","8.9",",0,23,+","0",",,0,30,+","0",",,0,30,+","20.3",",,0,24,","24.4",",0,25,","","","116.9",",0","86.2",",,,0","","","0",",,,0","14.61",",0","18.15",",,,0","11.08",",,,0","","","","","","","","","","","","","",""
"USW00014756","1948-07","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","72.6","0","67.3",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","24","","","","4","","11.1",",0,16,+","0",",,0,31,+","0",",,0,31,+","16.0",",,0,05,","28.9",",0,09,","8.3","0","8.3",",0","32.4",",,,0","","","0",",,,0","20.23",",0","24.55",",,,0","15.92",",,,0","","","","","","","","","","","","","",""
"USW00014756","1948-08","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","151.5","0","78.9",",0","11",",0","7",",0","1",",0","0",",X","0",",X","0",",0","0",",0","0",",0","28",",0","3",",0","24","","","","3","","11.7",",0,20,","0",",,X,31,+","0",",,X,31,+","32.8",",,0,31,","35.0",",0,28,","13.3","0","5.0",",0","79.4",",,,0","","","0",",,,X","20.72",",0","24.93",",,,0","16.50",",,,0","","","","","","","","","","","","","",""
"USW00014756","1948-09","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","168.6","0","17.1",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","17","","","","3","","6.7",",0,26,+","0",",,0,30,+","0",",,0,30,+","63.0",",,0,20,","25.6",",0,10,+","74.5","0","61.2",",0","91.9",",,,0","","","0",",,,0","16.86",",0","21.29",",,,0","12.44",",,,0","","","","","","","","","","","","","",""
"USW00014756","1948-10","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","169.7","0","1.1",",0","11",",0","6",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","2",",0","0",",0","14","","","","1","","-1.7",",0,22,","0",",,0,31,+","0",",,0,31,+","77.5",",,0,24,","23.9",",0,02,","280.5","0","206.0",",0","183.5",",,,0","","","0",",,,0","11.72",",0","15.18",",,,0","8.26",",,,0","","","","","","","","","","","","","",""
