"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMW00034161","1949-01","47.86667","10.61667","710.2","KAUFBEUREN, GM","0.0","","0.0",",X","8",",X","4",",X","0",",X","15",",X","4",",X","0",",X","26",",X","8",",X","0",",X","0",",X","15","","","","-13.9",",X,14,","178",",,X,15,+","76",",,X,12,","15.7",",,X,09,","9.4",",X,19,","610.2",",X","38.0",",,,X","248",",,,X","-1.35",",X","3.25",",,,X","-5.95",",,,X"
"GMW00034161","1949-02","47.86667","10.61667","710.2","KAUFBEUREN, GM","0.0","","0.0",",X","7",",X","4",",X","1",",X","12",",X","5",",X","2",",X","25",",X","4",",X","0",",X","0",",X","13","","","","-20.6",",X,04,+","102",",,X,06,+","178",",,X,01,","77.2",",,X,01,","13.3",",X,17,","520.7",",X","95.8",",,,X","329",",,,X","-0.26",",X","6.28",",,,X","-6.81",",,,X"
"GMW00034161","1949-03","47.86667","10.61667","710.2","KAUFBEUREN, GM","0.0","","0.0",",X","11",",X","7",",X","0",",X","13",",X","4",",X","3",",X","27",",X","9",",X","0",",X","0",",X","8","","2","","-20.0",",X,05,","178",",,X,04,","51",",,X,17,+","13.7",",,X,15,","18.9",",X,29,","550.8",",X","52.0",",,,X","230",",,,X","0.57",",X","6.24",",,,X","-5.11",",,,X"
"GMW00034161","1949-04","47.86667","10.61667","710.2","KAUFBEUREN, GM","0.0","","0.0",",X","17",",X","6",",X","1",",X","0",",X","0",",X","0",",X","6",",X","0",",X","10",",X","0",",X","8","","3","","-3.9",",X,11,","0",",,X,30,+","10",",,X,09,","32.0",",,X,05,","25.6",",X,18,","250.5",",X","81.4",",,,X","15",",,,X","9.98",",X","16.37",",,,X","3.60",",,,X"
"GMW00034161","1949-05","47.86667","10.61667","710.2","KAUFBEUREN, GM","0.6","","0.6",",X","24",",X","16",",X","1",",X","0",",X","0",",X","0",",X","3",",X","0",",X","5",",X","0",",X","14","","9","","-1.1",",X,09,","0",",T,X,12,","0",",T,X,11,+","37.3",",,X,21,","27.2",",X,29,","240.8",",X","208.4",",,,X","0",",T,,X","10.58",",X","15.50",",,,X","5.66",",,,X"
"GMW00034161","1956-02","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","29",",","","","","","","","","","","","","","","","","","","","432",",,X,16,","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-03","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","9",",","","","","","","","","","","","","","","","","","","","51",",,X,14,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-04","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","3",",","","","","","","","","","","","","","","","","","","","76",",,X,06,","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-05","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",","","","","","","","","","","","","","","","","","","","0",",,X,31,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-06","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",","","","","","","","","","","","","","","","","","","","0",",,X,30,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-07","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","","","","","0",",,X,31,+","0",",T,X,29,","","","","","","","","","0",",T,,X","","","","","",""
"GMW00034161","1956-08","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","","","","","0",",,X,31,+","0",",,X,31,+","","","","","","","","","0",",,,X","","","","","",""
"GMW00034161","1956-09","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","","","","","0",",,X,30,+","0",",,X,30,+","","","","","","","","","0",",,,X","","","","","",""
"GMW00034161","1956-10","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","5",",","","","","","","","","","","","","","","","","","","","51",",,X,31,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-11","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","3",",","","","","","","","","","","","","","","","","","","","25",",,X,30,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1956-12","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","9",",","","","","","","","","","","","","","","","","","","","127",",,X,27,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1957-01","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","25",",","","","","","","","","","","","","","","","","","","","229",",,X,17,","","","","","","","","","","","","","","","","","",""
"GMW00034161","1957-02","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","5",",","","","","","","","","","","","","","","","","","","","51",",,X,21,+","","","","","","","","","","","","","","","","","",""
"GMW00034161","1957-03","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","","","","","0",",,X,31,+","0",",T,X,31,+","","","","","","","","","0",",T,,X","","","","","",""
"GMW00034161","1957-04","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","1",",","","","","","","","","","","","","","","","","","","","25",",,X,08,","","","","","","","","","","","","","","","","","",""
"GMW00034161","1957-05","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",X","0","4,X","","","","","","","","","","","","","","","","","0",",T,X,06,","0","4,,X,31,+","","","","","","","","","0","4,,,X","","","","","",""
"GMW00034161","1957-06","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","","","","","0",",,X,30,+","0",",,X,30,+","","","","","","","","","0",",,,X","","","","","",""
"GMW00034161","1957-07","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0","3,X","0","3,X","","","","","","","","","","","","","","","","","0","3,,X,31,+","0","3,,X,31,+","","","","","","","","","0","3,,,X","","","","","",""
"GMW00034161","1957-08","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0","5,X","0","5,X","","","","","","","","","","","","","","","","","0","5,,X,31,+","0","5,,X,31,+","","","","","","","","","0","5,,,X","","","","","",""
"GMW00034161","1957-09","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0","5,X","0","5,X","","","","","","","","","","","","","","","","","0","5,,X,30,+","0","5,,X,30,+","","","","","","","","","0","5,,,X","","","","","",""
"GMW00034161","1957-10","47.86667","10.61667","710.2","KAUFBEUREN, GM","","","","","","","","","","","0","4,X","0","4,X","","","","","","","","","","","","","","","","","0","4,,X,31,+","0","4,,X,31,+","","","","","","","","","0","4,,,X","","","","","",""
