"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419013","1960-01","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","8",",0","3",",0","0",",0","","","","","0",",0","19",",0","","","","","","","-10.0",",0,20,","","","","","23.4",",,0,05,","","","","","","","42.3",",,,0","","","","","","","-0.47",",,,0","",""
"USC00419013","1960-02","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","2",",0","1",",0","0",",0","0",",0","0","2,0","17","2,0","","","","","","","-15.6","2,0,25,","0",",,0,29,+","0",",T,0,24,","27.2",",,0,04,","","","","","","","49.8",",,,0","0",",T,,0","","","","","-1.96","2,,,0","",""
"USC00419013","1960-03","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","5.9",",0","3",",0","2",",0","0",",0","","","","","0",",0","13",",0","2",",0","15",",0","1",",0","-10.6",",0,03,","","","","","5.6",",,0,25,","33.9",",0,31,","","","299.0",",0","8.4",",,,0","","","8.88",",0","16.32",",,,0","1.44",",,,0","6336","1,,,0"
"USC00419013","1960-07","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","4",",0","3",",0","2",",0","","","","","","","","","","","","","","","","","","","","","60.2",",,0,06,","","","","","","","106.2",",,,0","","","","","","","","","",""
"USC00419013","1960-08","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","3",",0","0",",0","","","","","","","","","0","5,0","26","5,0","24","5,0","","","","","","","20.1",",,0,19,","38.3","5,0,08,+","263.5","5,,,0","","","51.1",",,,0","","","","","35.76","5,,,0","","","",""
"USC00419013","1960-09","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","3",",0","0",",0","","","","","","","","","","","","","","","","","","","","","22.6",",,0,26,","","","","","","","54.1",",,,0","","","","","","","","","",""
"USC00419013","1960-10","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5","3,0","4","3,0","1","3,0","","","","","","","","","","","","","","","","","","","","","34.8","3,,0,18,","","","","","","","147.5",",a,,0","","","","","","","","","",""
"USC00419013","1960-11","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","3.3",",,0,21,","","","","","","","3.3",",,,0","","","","","","","","","",""
"USC00419013","1961-01","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","5",",0","0",",0","","","","","","","","","","","","","","","","","","","","","24.1",",,0,07,","","","","","","","44.8",",,,0","","","","","","","","","",""
"USC00419013","1961-02","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","5",",0","0",",0","","","","","","","","","","","","","","","","","","","","","24.1",",,0,06,","","","","","","","46.7",",,,0","","","","","","","","","",""
"USC00419013","1961-03","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","3",",0","2",",0","","","","","","","","","","","","","","","","","","","","","38.1",",,0,17,","","","","","","","71.4",",,,0","","","","","","","","","",""
"USC00419013","1961-04","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","2",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","2.5",",,0,29,","","","","","","","3.0",",,,0","","","","","","","","","",""
"USC00419013","1961-05","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","14.2",",,0,19,","","","","","","","26.4",",,,0","","","","","","","","","",""
"USC00419013","1961-06","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","9",",0","9",",0","3",",0","","","","","","","","","","","","","","","","","","","","","38.1",",,0,03,","","","","","","","165.5",",,,0","","","","","","","","","",""
"USC00419013","1961-07","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","4",",0","3",",0","2",",0","","","","","","","","","","","","","","","","","","","","","104.6",",,0,09,","","","","","","","161.0",",,,0","","","","","","","","","",""
"USC00419013","1961-08","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","3.3",",,0,15,","","","","","","","8.1",",,,0","","","","","","","","","",""
"USC00419013","1961-09","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","4",",0","3",",0","2",",0","","","","","","","","","","","","","","","","","","","","","90.4",",,0,04,","","","","","","","146.1",",,,0","","","","","","","","","",""
"USC00419013","1961-10","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3","1,0","3","1,0","1","1,0","","","","","","","","","","","","","","","","","","","","","25.7","1,,0,02,","","","","","","","32.0","1,,,0","","","","","","","","","",""
"USC00419013","1961-11","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","4",",0","2",",0","","","","","","","","","","","","","","","","","","","","","36.1",",,0,22,+","","","","","","","93.3",",,,0","","","","","","","","","",""
"USC00419013","1961-12","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5","1,0","4","1,0","0","1,0","","","","","","","","","","","","","","","","","","","","","11.2","1,,0,08,","","","","","","","30.1","1,,,0","","","","","","","","","",""
"USC00419013","1962-01","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","3.8",",,0,26,","","","","","","","5.9",",,,0","","","","","","","","","",""
"USC00419013","1962-02","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","2",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","4.3",",,0,27,","","","","","","","6.8",",,,0","","","","","","","","","",""
"USC00419013","1962-03","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","3",",0","0",",0","","","","","","","","","","","","","","","","","","","","","21.1",",,0,20,","","","","","","","30.0",",,,0","","","","","","","","","",""
"USC00419013","1962-04","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","7",",0","4",",0","0",",0","","","","","","","","","","","","","","","","","","","","","22.1",",,0,05,","","","","","","","49.9",",,,0","","","","","","","","","",""
"USC00419013","1962-05","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","0","5,0","0","5,0","0","5,0","","","","","","","","","","","","","","","","","","","","","0.0","5,,0,31,+","","","","","","","0.0","5,,,0","","","","","","","","","",""
"USC00419013","1962-06","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","6","4,0","3","4,0","0","4,0","","","","","","","","","","","","","","","","","","","","","18.8","4,,0,08,","","","","","","","127.8","2,a,,0","","","","","","","","","",""
"USC00419013","1962-07","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","7",",0","6",",0","3",",0","","","","","","","","","","","","","","","","","","","","","62.2",",,0,28,","","","","","","","176.2",",,,0","","","","","","","","","",""
"USC00419013","1962-08","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","2","1,0","1","1,0","0","1,0","","","","","","","","","","","","","","","","","","","","","6.6","1,,0,02,","","","","","","","7.9","1,,,0","","","","","","","","","",""
"USC00419013","1962-09","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","9",",0","9",",0","3",",0","","","","","","","","","","","","","","","","","","","","","100.6",",,0,05,","","","","","","","326.4",",,,0","","","","","","","","","",""
"USC00419013","1962-10","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","7",",0","4",",0","2",",0","","","","","","","","","","","","","","","","","","","","","50.3",",,0,29,+","","","","","","","119.6",",,,0","","","","","","","","","",""
"USC00419013","1962-11","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","2",",0","1",",0","","","","","","","","","","","","","","","","","","","","","39.1",",,0,26,","","","","","","","45.5",",,,0","","","","","","","","","",""
