"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00447004","1867-09","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,30,+","","","","","","","0",",,,F","",""
"USC00447004","1867-10","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0","5,F","","","","","","","","","","","0","5,,F,31,+","","","","","","","0","5,,,F","",""
"USC00447004","1867-11","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0","3,F","","","","","","","","","","","0","3,,F,30,+","","","","","","","0","3,,,F","",""
"USC00447004","1868-02","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","2","5,F","","","","","","","","","","","76","5,,F,06,","","","","","","","127","5,,,F","",""
"USC00447004","1868-03","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0","1,F","","","","","","","","","","","0","1,,F,31,+","","","","","","","0","1,,,F","",""
"USC00447004","1868-04","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,30,+","","","","","","","0",",,,F","",""
"USC00447004","1868-05","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,31,+","","","","","","","0",",,,F","",""
"USC00447004","1868-07","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0","1,F","","","","","","","","","","","0","1,,F,31,+","","","","","","","0","1,,,F","",""
"USC00447004","1868-08","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,31,+","","","","","","","0",",,,F","",""
"USC00447004","1868-09","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,30,+","","","","","","","0",",,,F","",""
"USC00447004","1868-10","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,31,+","","","","","","","0",",,,F","",""
"USC00447004","1868-11","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","0",",F","","","","","","","","","","","0",",,F,30,+","","","","","","","0",",,,F","",""
"USC00447004","1868-12","37.1","-80.6","604.1","RADFORD 5 SW, VA US","","","","","","","","","3",",F","","","","","","","","","","","38",",,F,04,","","","","","","","88",",,,F","",""
