"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"CA003036077","2012-09","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","","","0","3,C","15","3,C","0","3,C","","","26.9","3,C,09,","21.99","3,,,C"
"CA003036077","2012-11","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","24","5,","","","","","","","230","5,,C,10,","","","",""
"CA003036077","2012-12","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","30","1,","","","","","","","120","1,,C,03,","","","",""
"CA003036077","2013-01","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","29","2,","","","","","","","240","2,,C,15,","","","",""
"CA003036077","2013-02","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","9","4,","","","","","","","80","4,,C,01,","","","",""
"CA003036077","2013-03","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","20","5,","","","","","","","190","5,,C,07,","","","",""
"CA003036077","2013-11","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","27","2,","","","","","","","170","2,,C,04,","","","",""
"CA003036077","2013-12","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","28","2,","","","","","","","300","2,,C,03,","","","",""
"CA003036077","2014-01","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","29","1,","","","","","","","250","1,,C,14,","","","",""
