"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00200660","1890-07","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","30.9",",6","8",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","15",",6","0",",6","5.0",",6,05,","","","16.5",",,6,30,","31.7",",6,08,","71.9","","71.9",",6","37.7",",,,6","","","17.01",",6","21.34",",,,6","12.68",",,,6","147",",,,6"
"USC00200660","1890-08","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","28.8",",6","19",",6","7",",6","0",",6","0",",6","0",",6","0",",6","0",",6","19",",6","2",",6","1.1",",6,23,","0",",,6,31,+","13.2",",,6,19,","32.2",",6,07,+","156.8","","84.9",",6","71.8",",,,6","0",",,,6","16.52",",6","22.97",",,,6","10.08",",,,6","",""
"USC00200660","1890-09","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","8.6",",6","10",",6","6",",6","1",",6","0",",6","0",",6","4",",6","0",",6","16",",6","0",",6","-3.3",",6,28,","0",",,6,30,+","26.4",",,6,18,","29.4",",6,01,","297.8","","141.0",",6","76.3",",,,6","0",",,,6","13.92",",6","21.71",",,,6","6.13",",,,6","",""
"USC00200660","1890-10","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0",",6","20",",6","12",",6","0",",6","0",",6","0",",6","12",",6","0",",6","4",",6","0",",6","-3.9",",6,30,","0",",,6,31,+","14.0",",,6,05,","25.0",",6,01,","622.5","","324.7",",6","95.9",",,,6","0",",,,6","7.86",",6","13.25",",,,6","2.47",",,,6","",""
"USC00200660","1890-11","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0",",6","5",",6","2",",6","0",",6","","","0",",6","24",",6","1",",6","0",",6","0",",6","-6.7",",6,28,","","","5.3",",,6,04,","12.2",",6,14,","1102.3","","479.8",",6","11.2",",,,6","","","2.34",",6","6.50",",,,6","-1.82",",,,6","131",",,,6"
"USC00200660","1891-05","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0","2,6","8","2,6","1","2,6","0","2,6","","","0","2,6","15","2,6","0",",6","14",",6","0",",6","-5.6","2,6,17,+","","","3.3","2,,6,20,","27.8",",6,20,+","","","239.0",",6","7.6","2,,,6","","","10.19","2,6","19.58",",,,6","0.80","2,,,6","104","4,,,6"
"USC00200660","1891-07","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","29.5","2,6","10","1,6","3","1,6","0","1,6","","","0","2,6","0","2,6","0",",6","26",",6","2",",6","2.2","2,6,27,","","","24.6","1,,6,18,","33.9",",6,12,","62.0","6","62.0",",6","43.6","1,,,6","","","17.25","2,6","25.22",",,,6","9.28","2,,,6","145",",,,6"
"USC00200660","1891-08","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","46.8",",6","14",",6","12",",6","0",",6","","","0",",6","0",",6","0",",6","23",",6","4",",6","2.8",",6,29,","","","18.3",",,6,20,","36.7",",6,08,","112.9","6","50.9",",6","70.6",",,,6","","","18.20",",6","25.57",",,,6","10.83",",,,6","72","2,,,6"
"USC00200660","1891-09","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","41.2","2,6","10",",6","4",",6","0",",6","","","0","1,6","0","1,6","0","1,6","21","1,6","4","1,6","1.7","1,6,30,","","","10.4",",,6,02,","32.8","1,6,24,+","183.4","6","70.5","1,6","24.6",",,,6","","","17.20","2,6","24.90","1,,,6","9.49","1,,,6","95",",,,6"
"USC00200660","1891-10","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","6.4",",6","16",",6","8",",6","0",",6","0",",6","0",",6","9",",6","0",",6","3",",6","0",",6","-3.3",",6,28,+","0",",T,6,31,+","19.1",",,6,15,","30.6",",6,02,","498.4","6","315.0",",6","70.5",",,,6","0",",T,,6","8.38",",6","13.71",",,,6","3.05",",,,6","",""
