"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00058995","1981-02","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","","","1",",0","1",",0","0",",0","0",",0","1",",0","","","","","","","","","","","","","","","","","0",",T,0,21,","84",",,0,21,","7.1",",,0,21,","","","","","","","7.1",",,,0","84",",,,0","","","","","","","","","",""
"USC00058995","1981-03","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","0.0",",0","9",",0","8",",0","1",",0","6",",0","6",",0","0",",0","28",",0","0",",0","2",",0","0",",0","","","","","-11.1",",0,05,","178",",,0,28,","257",",,0,04,","26.2",",,0,28,","23.3",",0,26,","","","425.6",",0","81.1",",,,0","815",",,,0","4.60",",0","13.06",",,,0","-3.85",",,,0","","","",""
"USC00058995","1981-04","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","1.6",",0","5",",0","3",",0","0",",0","0",",0","1",",0","0",",0","8",",0","0",",0","22",",0","0",",0","","","1","","-6.1",",0,05,","0",",,0,30,+","43",",,0,03,","5.6",",,0,20,","30.6",",0,26,","","","162.6",",0","17.1",",,,0","53",",,,0","12.97",",0","22.89",",,,0","3.05",",,,0","","","",""
"USC00058995","1981-05","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","1.7",",0","16",",0","9",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","18",",0","0",",0","","","9","","-2.8",",0,10,","0",",,0,31,+","3",",,0,09,","18.0",",,0,17,","29.4",",0,02,","","","162.2",",0","82.0",",,,0","3",",,,0","13.16",",0","20.58",",,,0","5.74",",,,0","","","",""
"USC00058995","1981-06","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","87.5",",0","8",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","","","10","","4.4",",0,16,","0",",,0,30,+","0",",,0,30,+","92.2",",,0,03,","36.1",",0,12,","","","14.9",",0","98.9",",,,0","0",",,,0","20.75",",0","30.40",",,,0","11.10",",,,0","","","",""
"USC00058995","1981-07","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","142.0","1,0","11",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","30","1,0","19","1,0","","","15","","10.0",",0,28,+","0",",,0,31,+","0",",,0,31,+","24.9",",,0,27,","38.3","1,0,21,+","0.5","0","0.5","1,0","42.3",",,,0","0",",,,0","23.10","1,0","32.57","1,,,0","13.63",",,,0","","","",""
"USC00058995","1981-08","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","87.2",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","11",",0","","","9","","8.3",",0,08,","0",",,0,31,+","0",",,0,31,+","5.6",",,0,10,","36.7",",0,04,","5.8","0","5.3",",0","16.9",",,,0","0",",,,0","20.97",",0","29.91",",,,0","12.04",",,,0","","","",""
"USC00058995","1981-09","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","24.6",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","","","6","","3.3",",0,18,","0",",,0,30,+","0",",,0,30,+","7.1",",,0,24,","33.3",",0,28,","23.9","0","18.1",",0","15.7",",,,0","0",",,,0","18.55",",0","28.22",",,,0","8.88",",,,0","","","",""
"USC00058995","1981-10","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","0.0",",0","12",",0","3",",0","0",",0","1",",0","2",",0","0",",0","13",",0","0",",0","17",",0","0",",0","","","1","","-7.2",",0,25,","25",",,0,31,","137",",,0,31,","15.0",",,0,31,","27.8",",0,07,+","261.7","0","237.8",",0","34.4",",,,0","208",",,,0","10.66",",0","19.46",",,,0","1.87",",,,0","","","",""
"USC00058995","1981-11","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","0.0",",0","3",",0","1",",0","0",",0","5",",0","1",",0","0",",0","23",",0","0",",0","8",",0","0",",0","","","","","-10.0",",0,28,","51",",,0,27,+","97",",,0,26,","6.9",",,0,26,","25.0",",0,14,+","607.5","0","345.8",",0","8.0",",,,0","113",",,,0","6.81",",0","16.26",",,,0","-2.64",",,,0","","","",""
"USC00058995","1981-12","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","","","0.0",",0","8",",0","1",",0","1",",0","12",",0","3",",0","1",",0","27",",0","2",",0","4",",0","0",",0","","","","","-18.9",",0,24,","254",",,0,22,","315",",,0,22,","25.9",",,0,22,","23.9",",0,06,","1110.6","0","503.1",",0","33.4",",,,0","431",",,,0","2.10",",0","10.46",",,,0","-6.25",",,,0","","","",""
"USC00058995","1982-01","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","0.0","0","0.0","1,0","6",",0","2",",0","0",",0","16",",0","3",",0","1",",0","28",",0","2","1,0","1","1,0","0","1,0","10","","","","-23.3",",0,07,","152",",,0,06,","89",",,0,06,","5.3",",,0,12,","25.6","1,0,26,","1638.1","0","527.5","1,0","11.9",",,,0","240",",,,0","0.77","1,0","9.44","1,,,0","-7.90",",,,0","","","",""
"USC00058995","1982-02","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","0.0","0","0.0",",0","6",",0","0",",0","0",",0","3",",0","0",",0","5",",0","23",",0","6",",0","4",",0","0",",0","6","","","","-27.8",",0,05,","25",",,0,05,+","18",",,0,03,+","1.0",",,0,04,","25.0",",0,21,","2119.3","0","481.2",",0","3.8",",,,0","78",",,,0","1.15",",0","10.52",",,,0","-8.23",",,,0","","","",""
"USC00058995","1982-03","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","0.0","0","0.0","1,0","5",",0","2",",0","0",",0","2",",0","3",",0","0",",0","25",",0","0","1,0","4","1,0","0","1,0","3","","1","","-11.1",",0,06,","51",",,0,06,+","175",",,0,05,","13.0",",,0,05,","22.8","1,0,28,","2481.0","0","361.7","1,0","23.9",",,,0","332",",,,0","6.32","1,0","15.23","1,,,0","-2.59",",,,0","","","",""
"USC00058995","1982-04","39.7749","-105.117","1645.3","WHEAT RIDGE 2, CO US","","","0.0","0","0.0",",0","7",",0","0",",0","0",",0","0",",0","1",",0","0",",0","17",",0","0",",0","16",",0","0",",0","4","","","","-9.4",",0,21,","0",",T,0,20,","33",",,0,20,","2.3",",,0,20,","28.9",",0,11,","2734.6","0","253.6",",0","8.0",",,,0","56",",,,0","9.88",",0","19.69",",,,0","0.07",",,,0","","","",""
