"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXCLL039","2015-01","33.163682","-96.6850599","217.6","MCKINNEY 3.1 SW, TX US","5","3,N","4","3,N","1","3,N","","","0","5,N","","","0","5,,N,31,+","29.0","3,,N,22,","57.0","3,,,N","0","5,,,N"
"US1TXCLL039","2015-03","33.163682","-96.6850599","217.6","MCKINNEY 3.1 SW, TX US","15","4,N","8","4,N","1","4,N","1","5,N","1","5,N","165","5,,N,05,","165","5,,N,05,","27.9","4,,N,05,","97.6","4,,,N","165","5,,,N"
"US1TXCLL039","2015-11","33.163682","-96.6850599","217.6","MCKINNEY 3.1 SW, TX US","","","","","","","","","","","","","","","","","362.7","3,a,,N","",""
