"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00465705","1891-10","39.45","-77.95","132.6","MARTINSBURG 1, WV US","","","","","5",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","","","34.3",",,6,07,","","","","","","","74.0",",,,6","","","","","","","","","",""
"USC00465705","1891-11","39.45","-77.95","132.6","MARTINSBURG 1, WV US","","","","","4",",6","4",",6","1",",6","","","1",",6","0",",6","10",",6","","","","","","","-8.3",",6,19,","","","76",",,6,05,","27.2",",,6,11,","","","","","","","56.9",",,,6","76",",,,6","","","","","2.39",",,,6","26",",,,6"
"USC00465705","1891-12","39.45","-77.95","132.6","MARTINSBURG 1, WV US","","","0.0",",6","5",",6","4",",6","0",",6","","","","","0",",6","20",",6","0",",6","0",",6","0",",6","-8.9",",6,19,+","","","","","20.3",",,6,04,","17.2",",6,25,+","","","385.9",",6","56.4",",,,6","","","5.88",",6","12.54",",,,6","-0.77",",,,6","34",",,,6"
"USC00465705","1892-01","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","","0.0",",6","7",",6","7",",6","1",",6","","","","","0",",6","26",",6","1",",6","0",",6","0",",6","-13.3",",6,17,+","","","","","31.5",",,6,13,","13.9",",6,26,","","","547.6",",6","96.7",",,,6","","","0.67",",6","6.84",",,,6","-5.50",",,,6","24",",,,6"
"USC00465705","1892-02","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","","0.0",",6","4","2,6","2","2,6","0","2,6","","","","","1",",6","19",",6","0",",6","0",",6","0",",6","-20.0",",6,06,","","","","","16.0","2,,6,05,","12.2",",6,03,","","","452.7",",6","34.3","2,,,6","","","2.72",",6","8.03",",,,6","-2.59",",,,6","43",",,,6"
"USC00465705","1892-03","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","","0.0",",6","8",",6","8",",6","2",",6","","","2",",6","0",",6","21",",6","0",",6","0",",6","0",",6","-7.2",",6,11,","","","254",",,6,18,","29.2",",,6,02,","15.6",",6,24,+","","","468.3",",6","130.8",",,,6","305",",,,6","3.23",",6","7.73",",,,6","-1.27",",,,6","40",",,,6"
"USC00465705","1892-04","39.45","-77.95","132.6","MARTINSBURG 1, WV US","7.8","","7.8",",6","5",",6","5",",6","1",",6","","","","","0",",6","2",",6","0",",6","8",",6","0",",6","-0.6",",6,12,+","","","","","31.5",",,6,22,","27.2",",6,04,","","","219.5",",6","79.7",",,,6","","","11.28",",6","16.41",",,,6","6.14",",,,6","32",",,,6"
"USC00465705","1892-05","39.45","-77.95","132.6","MARTINSBURG 1, WV US","56.1","","48.3",",6","9",",6","8",",6","0",",6","","","","","0",",6","0",",6","0",",6","26",",6","4",",6","8.3",",6,01,","","","","","15.0",",,6,21,","32.8",",6,04,","","","41.3",",6","61.5",",,,6","","","18.56",",6","23.88",",,,6","13.24",",,,6","71",",,,6"
"USC00465705","1892-06","39.45","-77.95","132.6","MARTINSBURG 1, WV US","268.3","","212.2",",6","9",",6","8",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","8",",6","15.6",",6,11,","","","","","19.8",",,6,27,","33.9",",6,15,+","","","0.0",",6","89.0",",,,6","","","25.41",",6","30.24",",,,6","20.57",",,,6","59",",,,6"
"USC00465705","1892-07","39.45","-77.95","132.6","MARTINSBURG 1, WV US","476.0","","207.7",",6","7",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","11",",6","14.4",",6,08,+","","","","","26.7",",,6,27,","36.7",",6,27,+","0.0","","0.0",",6","63.5",",,,6","","","25.03",",6","30.23",",,,6","19.84",",,,6","46",",,,6"
"USC00465705","1892-08","39.45","-77.95","132.6","MARTINSBURG 1, WV US","693.3","","217.3",",6","3",",6","2",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","7",",6","17.2",",6,15,+","","","","","26.9",",,6,02,","35.0",",6,10,+","0.0","","0.0",",6","35.6",",,,6","","","25.34",",6","30.47",",,,6","20.21",",,,6","42",",,,6"
"USC00465705","1892-09","39.45","-77.95","132.6","MARTINSBURG 1, WV US","746.3","","53.0",",6","3",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","10.6",",6,07,","","","","","28.4",",,6,14,","29.4",",6,26,+","10.3","","10.3",",6","36.3",",,,6","","","19.76",",6","24.81",",,,6","14.70",",,,6","38",",,,6"
"USC00465705","1892-10","39.45","-77.95","132.6","MARTINSBURG 1, WV US","748.6","","2.3",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","18",",6","0",",6","2.8",",6,31,","","","","","5.3",",,6,08,","27.2",",6,02,+","139.5","","129.2",",6","5.3",",,,6","","","14.24",",6","20.50",",,,6","7.98",",,,6","51",",,,6"
"USC00465705","1892-11","39.45","-77.95","132.6","MARTINSBURG 1, WV US","748.6","","0.0",",6","7",",6","6",",6","1",",6","","","1",",6","0",",6","9",",6","0",",6","2",",6","0",",6","-3.3",",6,24,+","","","64",",,6,09,","25.4",",,6,10,","21.1",",6,02,+","444.0","","304.5",",6","58.7",",,,6","64",",,,6","8.18",",6","13.82",",,,6","2.55",",,,6","40",",,,6"
"USC00465705","1893-01","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","6","0.0",",6","5",",6","5",",6","0",",6","","","3",",6","2",",6","31",",6","19",",6","0",",6","0",",6","-18.9",",6,18,","","","102",",,6,05,","19.1",",,6,01,","13.9",",6,29,","","","714.4",",6","49.8",",,,6","242",",,,6","-4.71",",6","0.16",",,,6","-9.59",",,,6","",""
"USC00465705","1893-02","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","6","0.0",",6","7",",6","6",",6","0",",6","","","4",",6","0",",6","26",",6","2",",6","0",",6","0",",6","-15.6",",6,21,","","","229",",,6,18,","20.6",",,6,18,","15.6",",6,17,","","","515.4",",6","67.2",",,,6","546",",,,6","-0.08",",6","5.19",",,,6","-5.34",",,,6","",""
"USC00465705","1893-03","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","6","0.0",",6","6",",6","4",",6","0",",6","","","1",",6","0",",6","18",",6","0",",6","0",",6","0",",6","-8.9",",6,05,","","","102",",,6,04,","12.4",",,6,09,","20.6",",6,14,","","","422.6",",6","33.5",",,,6","102",",,,6","4.70",",6","10.36",",,,6","-0.96",",,,6","",""
"USC00465705","1893-04","39.45","-77.95","132.6","MARTINSBURG 1, WV US","0.0","6","0.0",",6","9",",6","6",",6","2",",6","","","","","0",",6","1",",6","0",",6","9",",6","0",",6","0.0",",6,16,","","","","","41.9",",,6,20,","31.1",",6,09,","","","224.7",",6","108.6",",,,6","","","10.84",",6","16.90",",,,6","4.78",",,,6","",""
"USC00465705","1893-05","39.45","-77.95","132.6","MARTINSBURG 1, WV US","17.5","6","17.5",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","16",",6","1",",6","3.9",",6,08,","","","","","58.4",",,6,04,","32.2",",6,24,","","","100.8",",6","132.4",",,,6","","","15.65",",6","21.93",",,,6","9.36",",,,6","",""
"USC00465705","1893-06","39.45","-77.95","132.6","MARTINSBURG 1, WV US","125.4","6","107.9",",6","7",",6","7",",6","0",",6","","","","","0",",6","0",",6","0",",6","27",",6","4",",6","12.2",",6,24,+","","","","","14.5",",,6,26,","35.0",",6,21,","","","6.9",",6","46.6",",,,6","","","21.70",",6","27.52",",,,6","15.88",",,,6","",""
"USC00465705","1893-07","39.45","-77.95","132.6","MARTINSBURG 1, WV US","292.1","6","166.7",",6","6",",6","5",",6","3",",6","","","","","0",",6","0",",6","0",",6","31",",6","10",",6","11.7",",6,01,","","","","","64.8",",,6,14,","36.1",",6,09,","1.1","6","1.1",",6","151.2",",,,6","","","23.68",",6","30.46",",,,6","16.89",",,,6","",""
"USC00465705","1893-08","39.45","-77.95","132.6","MARTINSBURG 1, WV US","418.6","6","126.5",",6","10",",6","9",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","5",",6","10.0",",6,16,+","","","","","38.6",",,6,29,","33.9",",6,27,+","3.0","6","1.9",",6","88.9",",,,6","","","22.35",",6","29.00",",,,6","15.71",",,,6","",""
