"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00365541","1941-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","12","2,6","5","2,6","0","2,6","","","","","","","24.6","2,,6,04,","52.5","2,,,6"
"USC00365541","1941-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","15",",6","6",",6","0",",6","","","","","","","20.8",",,6,04,","95.2",",,,6"
"USC00365541","1941-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","8",",6","2",",6","","","","","","","67.8",",,6,16,","146.2",",,,6"
"USC00365541","1941-09","40.83333","-79.11667","360.0","MC CORMICK, PA US","5","2,6","4","2,6","1","2,6","","","","","","","29.0","2,,6,04,","61.8","2,,,6"
"USC00365541","1941-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","7",",6","1",",6","","","2","","","","38.4",",,6,04,","94.0",",,,6"
"USC00365541","1941-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","8","1,6","4","1,6","0","1,6","","","2","","","","15.7","1,,6,01,","53.7","1,,,6"
"USC00365541","1941-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","15","1,6","8","1,6","0","1,6","","","4","","","","14.7","1,,6,24,","61.0","1,,,6"
"USC00365541","1942-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","8","1,6","5","1,6","0","1,6","","","1","","","","15.0","1,,6,02,","46.2","1,,,6"
"USC00365541","1942-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","7",",6","0",",6","18",",","","","127",",,6,05,","15.2",",,6,05,","69.1",",,,6"
"USC00365541","1942-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","10",",6","0",",6","11",",","1","","457",",,6,04,","18.5",",,6,22,","108.4",",,,6"
"USC00365541","1942-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","7",",6","1",",6","2",",","","","25",",,6,11,+","28.4",",,6,10,","80.1",",,,6"
"USC00365541","1942-05","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","10",",6","1",",6","","","","","","","29.7",",,6,16,","120.7",",,,6"
"USC00365541","1942-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","10","4,6","6","4,6","0","4,6","","","2","","","","16.0","4,,6,21,","64.2","4,,,6"
"USC00365541","1942-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","7","5,6","7","5,6","0","5,6","","","3","","","","11.4","5,,6,20,","44.6","5,,,6"
"USC00365541","1942-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","9",",6","0",",6","","","2","","","","17.5",",,6,09,","86.1",",,,6"
"USC00365541","1942-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","10","2,6","9","2,6","1","2,6","","","2","","","","43.2","2,,6,15,","108.6","2,,,6"
"USC00365541","1942-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","14","5,6","10","5,6","1","5,6","","","","","","","27.9","5,,6,18,","107.1","5,,,6"
"USC00365541","1942-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","12","1,6","12","1,6","1","1,6","","","","","","","45.7","1,,6,30,","150.6","1,,,6"
"USC00365541","1943-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","15",",6","8",",6","1",",6","24",",","","","152",",,6,29,","26.7",",,6,08,","82.5",",,,6"
"USC00365541","1943-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","13",",6","9",",6","0",",6","18",",","","","178",",,6,18,","10.2",",,6,11,","55.1",",,,6"
"USC00365541","1943-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","8",",6","1",",6","8","2,","","","152","2,,6,03,","25.4",",,6,12,","95.6",",,,6"
"USC00365541","1943-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","13",",6","1",",6","","","","","","","25.7",",,6,17,","171.3",",,,6"
"USC00365541","1943-05","40.83333","-79.11667","360.0","MC CORMICK, PA US","25",",6","19",",6","2",",6","","","","","","","32.0",",,6,26,","212.9",",,,6"
"USC00365541","1943-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","13",",6","1",",6","","","","","","","41.1",",,6,29,","136.1",",,,6"
"USC00365541","1943-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","11",",6","10",",6","2",",6","","","","","","","49.3",",,6,05,","159.1",",,,6"
"USC00365541","1943-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","9",",6","2",",6","","","","","","","45.7",",,6,04,","132.6",",,,6"
"USC00365541","1943-09","40.83333","-79.11667","360.0","MC CORMICK, PA US","4",",6","4",",6","0",",6","","","3","","","","15.2",",,6,02,","38.6",",,,6"
"USC00365541","1943-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","16",",6","0",",6","","","2","","","","20.3",",,6,16,","122.1",",,,6"
"USC00365541","1943-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","10","1,6","6","1,6","1","1,6","","","","","","","25.4","1,,6,16,","75.0","1,,,6"
"USC00365541","1943-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","6","1,6","4","1,6","0","1,6","","","","","","","18.5","1,,6,27,","46.7","1,,,6"
"USC00365541","1944-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","5",",6","3",",6","1",",6","","","2","","","","30.0",",,6,04,","57.2",",,,6"
"USC00365541","1944-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","7",",6","0",",6","18","1,","1","","102","1,,6,16,+","13.7",",,6,27,","44.2",",,,6"
"USC00365541","1944-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","15","1,6","10","1,6","0","1,6","12",",","","","203",",,6,05,","23.1","1,,6,07,","132.1","1,,,6"
"USC00365541","1944-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","18",",6","12",",6","0",",6","","","","","","","17.0",",,6,08,","92.9",",,,6"
