"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MGM00044241","1959-10","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","1","3,S","3","3,S","0","3,S","","","","","","","25.0","3,S,04,","","","","","","","9.63","3,,,S","",""
"MGM00044241","1960-08","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","0","3,S","18","3,S","0","3,S","","","","","","","31.1","3,S,26,+","","","","","","","23.41","3,,,S","",""
"MGM00044241","1960-12","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","27","4,S","0","4,S","0","4,S","","","","","","","-3.9","4,S,01,","","","","","","","-15.30","4,,,S","",""
"MGM00044241","1961-02","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","23","5,S","23","5,S","","","","","","","-36.1","5,S,14,","","","","","","","","","","","","","","","-27.87","5,,,S"
"MGM00044241","1961-03","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","11","4,S","0","4,S","0","4,S","","","","","","","16.1","4,S,29,","","","","","","","3.47","4,,,S","",""
"MGM00044241","1961-04","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","0","4,S","4","4,S","0","4,S","","","","","","","27.8","4,S,18,","","","","","","","13.74","4,,,S","",""
"MGM00044241","1961-08","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","0","4,S","18","4,S","0","4,S","","","","","","","27.8","4,S,07,","","","","","","","22.18","4,,,S","",""
"MGM00044241","1961-09","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","0","4,S","7","4,S","0","4,S","","","","","","","26.1","4,S,18,","","","","","","","17.46","4,,,S","",""
"MGM00044241","1961-10","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","4","5,S","1","5,S","0","5,S","","","","","","","22.2","5,S,08,","","","","","","","7.22","5,,,S","",""
"MGM00044241","1962-02","48.917","106.067","807.0","BARUUNHARAA, MG","","","","","","","","","","","","","","","","","25","3,S","0","3,S","0","3,S","","","","","","","-1.1","3,S,19,","","","","","","","-12.35","3,,,S","",""
