"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00251750","1897-12","42.95","-101.25","943.4","CODY, NE US","3",",6","2",",6","1",",6","2",",6","","","","","","","254",",,6,02,","25.4",",,6,02,","","","29.2",",,,6","292",",,,6","",""
"USC00251750","1898-01","42.95","-101.25","943.4","CODY, NE US","4",",6","3",",6","0",",6","3",",6","","","","","","","64",",,6,24,","6.4",",,6,24,","","","15.3",",,,6","153",",,,6","",""
"USC00251750","1898-02","42.95","-101.25","943.4","CODY, NE US","2",",6","0",",6","0",",6","0",",6","","","","","","","8",",,6,18,+","0.3",",,6,18,+","","","0.6",",,,6","16",",,,6","",""
"USC00251750","1898-03","42.95","-101.25","943.4","CODY, NE US","4",",6","4",",6","0",",6","4",",6","","","","","","","102",",,6,15,","10.2",",,6,15,","","","20.3",",,,6","203",",,,6","",""
"USC00251750","1898-04","42.95","-101.25","943.4","CODY, NE US","3",",6","3",",6","1",",6","","","","","","","","","","","25.4",",,6,30,","","","40.6",",,,6","","","",""
"USC00251750","1898-05","42.95","-101.25","943.4","CODY, NE US","8",",6","5",",6","4",",6","","","","","","","","","","","38.1",",,6,19,","","","125.6",",,,6","","","",""
"USC00251750","1898-06","42.95","-101.25","943.4","CODY, NE US","2",",6","2",",6","0",",6","","","","","","","","","","","10.2",",,6,17,","","","15.3",",,,6","","","",""
"USC00251750","1898-07","42.95","-101.25","943.4","CODY, NE US","4",",6","4",",6","2",",6","","","","","","","","","","","33.0",",,6,30,","","","73.7",",,,6","","","",""
"USC00251750","1898-08","42.95","-101.25","943.4","CODY, NE US","3",",6","3",",6","0",",6","","","","","","","","","","","10.2",",,6,27,","","","20.3",",,,6","","","",""
"USC00251750","1898-09","42.95","-101.25","943.4","CODY, NE US","1",",6","1",",6","0",",6","","","","","","","","","","","12.7",",,6,01,","","","12.7",",,,6","","","",""
"USC00251750","1898-10","42.95","-101.25","943.4","CODY, NE US","0",",6","0",",6","0",",6","0",",6","","","","","","","0",",T,6,23,","0.0",",T,6,25,+","","","0.0",",T,,6","0",",T,,6","",""
"USC00251750","1898-11","42.95","-101.25","943.4","CODY, NE US","0",",6","0",",6","0",",6","0",",6","","","","","","","0",",T,6,29,+","0.0",",T,6,29,+","","","0.0",",T,,6","0",",T,,6","",""
"USC00251750","1898-12","42.95","-101.25","943.4","CODY, NE US","2",",6","0",",6","0",",6","0",",6","","","","","","","13",",,6,30,+","1.3",",,6,30,+","","","2.6",",,,6","26",",,,6","",""
"USC00251750","1899-01","42.95","-101.25","943.4","CODY, NE US","3",",6","3",",6","0",",6","3",",6","","","","","","","76",",,6,26,","7.6",",,6,26,","","","12.6",",,,6","126",",,,6","",""
"USC00251750","1899-02","42.95","-101.25","943.4","CODY, NE US","1",",6","1",",6","0",",6","1",",6","","","","","","","51",",,6,19,","5.1",",,6,19,","","","5.1",",,,6","51",",,,6","",""
