"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087289","1973-10","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","4","4,S","4","4,S","3","4,S","","","","","","","49.0","4,,S,23,","131.1","4,,,S","",""
"ARM00087289","1974-08","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","6","4,S","6","4,S","3","4,S","","","","","","","39.9","4,,S,25,+","152.0","4,,,S","",""
"ARM00087289","1974-11","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","5","3,S","5","3,S","1","3,S","","","","","","","30.0","3,,S,25,","70.4","3,,,S","",""
"ARM00087289","1974-12","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","4","3,S","3","3,S","0","3,S","","","","","","","24.9","3,,S,12,","32.3","3,,,S","",""
"ARM00087289","1975-04","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","","","","","","","0","4,","0","4,S","7.0","4,S,16,","","","","","14.50","4,,,S"
"ARM00087289","1975-12","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","","","","","","","0","2,","0","2,S","12.0","2,S,28,","","","","","18.76","2,,,S"
"ARM00087289","1976-01","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","","","","","","","0","5,","0","5,S","14.0","5,S,22,+","","","","","20.27","5,,,S"
"ARM00087289","1977-01","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","5","4,S","4","4,S","0","4,S","","","","","","","19.1","4,,S,03,","51.1","4,,,S","",""
"ARM00087289","1977-03","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","7","4,S","5","4,S","2","4,S","","","","","","","30.0","4,,S,28,","84.1","4,,,S","",""
"ARM00087289","1977-04","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","6","5,S","5","5,S","2","5,S","","","","","","","80.0","5,,S,15,","152.9","5,,,S","",""
"ARM00087289","1977-05","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","4","5,S","2","5,S","1","5,S","","","","","","","39.1","5,,S,06,","58.6","5,,,S","",""
"ARM00087289","1977-06","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","7","4,S","2","4,S","0","4,S","","","","","","","7.9","4,,S,28,","17.6","4,,,S","",""
"ARM00087289","1977-07","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","13","3,S","11","3,S","3","3,S","","","","","","","40.9","3,,S,13,","164.1","3,,,S","",""
"ARM00087289","1977-08","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","4","5,S","3","5,S","0","5,S","","","","","","","18.0","5,,S,17,","30.2","5,,,S","",""
"ARM00087289","1977-09","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","5","2,S","2","2,S","0","2,S","0","5,","0","5,S","1.0","5,S,01,","18.0","2,,S,22,+","40.5","2,,,S","13.52","5,,,S"
"ARM00087289","1977-10","-29.689","-57.152","70.1","PASO DE LOS LIBRES, AR","3","2,S","2","2,S","0","2,S","0","4,","0","4,S","6.0","4,S,12,","19.1","2,,S,09,","26.2","2,,,S","15.59","4,,,S"
