"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00306579","1900-02","43.066667","-76.283333","121.9","PHOENIX, NY US","15",",6","10",",6","2",",6","","","38.1",",,6,13,","120.2",",,,6"
"USC00306579","1900-03","43.066667","-76.283333","121.9","PHOENIX, NY US","14",",6","9",",6","1",",6","","","82.6",",,6,01,","144.3",",,,6"
"USC00306579","1900-04","43.066667","-76.283333","121.9","PHOENIX, NY US","7",",6","4",",6","1",",6","","","25.7",",,6,21,","50.4",",,,6"
"USC00306579","1900-05","43.066667","-76.283333","121.9","PHOENIX, NY US","12",",6","5",",6","0",",6","","","14.7",",,6,08,","39.2",",,,6"
"USC00306579","1900-06","43.066667","-76.283333","121.9","PHOENIX, NY US","12",",6","5",",6","1",",6","","","27.7",",,6,28,","52.7",",,,6"
"USC00306579","1900-07","43.066667","-76.283333","121.9","PHOENIX, NY US","16",",6","10",",6","1",",6","","","25.9",",,6,15,","148.9",",,,6"
"USC00306579","1900-08","43.066667","-76.283333","121.9","PHOENIX, NY US","5",",6","5",",6","1",",6","","","31.2",",,6,13,","72.3",",,,6"
"USC00306579","1900-09","43.066667","-76.283333","121.9","PHOENIX, NY US","7",",6","5",",6","0",",6","","","16.0",",,6,16,","34.7",",,,6"
"USC00306579","1900-10","43.066667","-76.283333","121.9","PHOENIX, NY US","8",",6","6",",6","1",",6","","","27.2",",,6,31,","70.7",",,,6"
"USC00306579","1900-11","43.066667","-76.283333","121.9","PHOENIX, NY US","18",",6","14",",6","2",",6","1","","49.5",",,6,26,","185.4",",,,6"
