"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00201486","1987-08","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","","","43.5",",0","15",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","1",",0","","","5.6",",0,23,","0",",,0,31,+","0",",,0,31,+","23.6",",,0,02,","32.2",",0,03,","","","","","","","50.2",",0","","","","","","","","","","","","","","","","","","","","","74.8",",,,0","0",",,,0","18.11",",0","24.00",",,,0","12.23",",,,0"
"USC00201486","1987-09","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","","","4.4",",0","16",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","","","0.6",",0,03,","0",",,0,30,+","0",",,0,30,+","36.3",",,0,12,","26.1",",0,06,+","","","","","","","110.9",",0","","","","","","","","","","","","","","","","","","","","","98.3",",,,0","0",",,,0","14.79",",0","21.08",",,,0","8.49",",,,0"
"USC00201486","1987-10","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","","","0.0",",0","21",",0","13",",0","1",",0","0",",0","0",",0","0",",0","14",",0","0",",0","0",",0","0",",0","","","-4.4",",0,11,","0",",,0,31,+","0",",,0,31,+","29.5",",,0,02,","19.4",",0,04,","","","","","","","394.6",",0","","","","","","","","","","","","","","","","","","","","","92.0",",,,0","0",",,,0","5.60",",0","10.53",",,,0","0.67",",,,0"
"USC00201486","1987-11","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","","","0.0",",0","14",",0","11",",0","1",",0","","","","","0",",0","24",",0","4",",0","0",",0","0",",0","","","-11.7",",0,21,","","","","","25.7",",,0,17,","15.0",",0,03,","","","","","","","501.7",",0","","","","","","","","","","","","","","","","","","","","","99.5",",,,0","","","1.61",",0","5.73",",,,0","-2.51",",,,0"
"USC00201486","1987-12","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","","","0.0","1,0","19",",0","7",",0","0",",0","","","","","3","1,0","29","1,0","17",",0","0",",0","0",",0","","","-20.0","1,0,28,","","","","","13.2",",,0,09,","4.4",",0,09,","","","","","","","639.3",",0","","","","","","","","","","","","","","","","","","","","","52.6",",,,0","","","-2.99","1,0","0.55",",,,0","-6.52","1,,,0"
"USC00201486","1988-01","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","0.0","0","0.0","1,0","16",",0","3",",0","0",",0","","","","","11","1,0","30","1,0","25",",0","0",",0","0",",0","","","-26.7","1,0,07,","","","","","5.1",",,0,21,","4.4",",0,17,","","","","","","","846.5",",0","","","","","","","","","","","","","","","","","","","","","22.7",",,,0","","","-9.77","1,0","-5.11",",,,0","-14.43","1,,,0"
"USC00201486","1988-02","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","0.0","0","0.0","1,0","18",",0","1",",0","0",",0","","","","","7","1,0","28","1,0","19",",0","0",",0","0",",0","","","-22.2","1,0,06,","","","","","3.0",",,0,20,","4.4",",0,20,+","","","","","","","762.3",",0","","","","","","","","","","","","","","","","","","","","","13.2",",,,0","","","-8.98","1,0","-4.14",",,,0","-13.83","1,,,0"
"USC00201486","1988-03","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","0.0","0","0.0",",0","13",",0","3",",0","0",",0","","","","","3",",0","30",",0","10",",0","0",",0","0",",0","","","-23.9",",0,21,","","","","","10.2",",,0,29,","12.2",",0,25,","","","","","","","659.1",",0","","","","","","","","","","","","","","","","","","","","","32.1",",,,0","","","-2.93",",0","2.37",",,,0","-8.23",",,,0"
"USC00201486","1988-04","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","0.0","0","0.0",",0","7",",0","1",",0","0",",0","","","","","0",",0","19",",0","0",",0","0",",0","0",",0","","","-6.7",",0,22,","","","","","4.3",",,0,15,","18.9",",0,30,+","","","","","","","400.2",",0","","","","","","","","","","","","","","","","","","","","","10.8",",,,0","","","4.99",",0","11.24",",,,0","-1.25",",,,0"
"USC00201486","1988-05","46.3414","-86.9242","265.2","CHATHAM EXPERIMENT FARM 2, MI US","11.9","0","11.9",",0","13",",0","3",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","21",",0","2",",0","","","-2.2",",0,25,+","0",",,0,31,+","0",",,0,31,+","11.4",",,0,26,","32.8",",0,31,","","","","","","","172.3",",0","","","","","","","","","","","","","","","","","","","","","30.2",",,,0","0",",,,0","13.16",",0","22.16",",,,0","4.15",",,,0"
