"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00021178","1980-08","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","156.4","1,m","17",",m","11",",m","2",",m","0","1,m","0","1,m","0","1,m","30","1,m","0","1,m","15.0","1,m,20,","46.0",",,m,14,","31.7","1,m,25,+","","","0.0","1,m","191.6",",,,m","23.55","1,m","28.87","1,,,m","18.22","1,,,m"
"MXN00021178","1980-09","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","146.5",",m","13",",m","7",",m","1",",m","0",",m","0",",m","0",",m","30",",m","0",",m","15.6",",m,15,+","28.7",",,m,26,","31.7",",m,21,","","","0.0",",m","139.9",",,,m","23.22",",m","28.70",",,,m","17.73",",,,m"
"MXN00021178","1980-10","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","139.8",",m","4",",m","4",",m","1",",m","0",",m","0",",m","0",",m","31",",m","1",",m","10.6",",m,07,","26.9",",,m,21,","32.8",",m,17,","","","0.0",",m","43.5",",,,m","22.84",",m","29.74",",,,m","15.95",",,,m"
"MXN00021178","1980-11","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","98.1",",m","1",",m","1",",m","0",",m","0",",m","0",",m","0",",m","30",",m","0",",m","8.9",",m,13,+","3.8",",,m,27,","31.7",",m,10,","","","0.0",",m","3.8",",,,m","21.60",",m","29.59",",,,m","13.61",",,,m"
"MXN00021178","1980-12","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","49.8",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","5.6",",m,20,","0.0",",,m,31,+","31.7",",m,11,","9.4","","10.4",",m","0.0",",,,m","19.60",",m","28.98",",,,m","10.23",",,,m"
"MXN00021178","1981-01","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","34.8","m","34.8",",m","2",",m","1",",m","0",",m","0",",m","0",",m","0",",m","29",",m","0",",m","5.6",",m,03,","2.8",",,m,17,","30.6",",m,31,+","28.2","m","18.8",",m","4.6",",,,m","18.85",",m","27.12",",,,m","10.58",",,,m"
"MXN00021178","1981-02","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","133.7","m","98.9",",m","3",",m","3",",m","0",",m","0",",m","0",",m","0",",m","28",",m","7",",m","8.9",",m,12,","7.9",",,m,22,","33.9",",m,28,+","28.2","m","0.0",",m","19.6",",,,m","21.86",",m","31.05",",,,m","12.68",",,,m"
"MXN00021178","1981-03","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","352.7","m","219.0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","0",",m","31",",m","25",",m","11.7",",m,23,","0.0",",,m,31,+","35.6",",m,31,+","28.2","m","0.0",",m","0.0",",,,m","25.40",",m","33.84",",,,m","16.96",",,,m"
"MXN00021178","1981-04","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","599.4","m","246.7",",m","5",",m","4",",m","0",",m","0",",m","0",",m","0",",m","30",",m","28",",m","13.9",",m,07,","10.9",",,m,19,","37.8",",m,04,+","28.2","m","0.0",",m","26.2",",,,m","26.56",",m","34.84",",,,m","18.28",",,,m"
"MXN00021178","1981-06","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","182.2",",m","15",",m","13",",m","4",",m","0",",m","0",",m","0",",m","30",",m","3",",m","15.6",",m,27,","49.3",",,m,15,","32.8",",m,28,+","","","0.0",",m","255.9",",,,m","24.41",",m","29.52",",,,m","19.29",",,,m"
"MXN00021178","1981-07","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","215.9",",m","19",",m","15",",m","1",",m","0",",m","0",",m","0",",m","31",",m","22",",m","15.6",",m,30,+","59.2",",,m,17,","35.0",",m,29,+","0.0","m","0.0",",m","175.4",",,,m","25.30",",m","32.84",",,,m","17.76",",,,m"
"MXN00021178","1981-08","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","97.2",",m","11",",m","8",",m","0",",m","0",",m","0",",m","0",",m","31",",m","0",",m","13.9",",m,06,","20.3",",,m,22,","28.9",",m,23,+","0.0","m","0.0",",m","78.5",",,,m","21.47",",m","25.22",",,,m","17.72",",,,m"
"MXN00021178","1981-09","18.0333","-98.0167","1428.0","TULCINGO DEL VALLE, MX","","","89.8",",m","8",",m","7",",m","1",",m","0",",m","0",",m","0",",m","30",",m","0",",m","13.9",",m,27,+","29.5",",,m,29,","27.8",",m,26,+","0.0","m","0.0",",m","103.8",",,,m","21.33",",m","25.71",",,,m","16.94",",,,m"
