"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00440755","1869-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","7",",F","0",",F","","","","","","","","","","","","","17.8",",,F,23,+","","","76.3",",,,F","","","",""
"USC00440755","1869-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","7",",F","0",",F","","","","","","","","","","","","","15.2",",,F,30,+","","","71.2",",,,F","","","",""
"USC00440755","1869-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","2",",F","2",",F","1",",F","","","","","","","","","","","","","25.4",",,F,12,","","","27.9",",,,F","","","",""
"USC00440755","1869-05","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","9",",F","1",",F","","","","","","","","","","","","","38.1",",,F,13,","","","120.8",",,,F","","","",""
"USC00440755","1869-06","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","6",",F","1",",F","","","","","","","","","","","","","57.2",",,F,15,","","","94.1",",,,F","","","",""
"USC00440755","1869-07","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","6",",F","2",",F","","","","","","","","","","","","","31.8",",,F,30,","","","97.9",",,,F","","","",""
"USC00440755","1869-08","37.416667","-75.866667","12.2","BIRDSNEST, VA US","3",",F","1",",F","0",",F","","","","","","","","","","","","","2.5",",,F,02,","","","5.1",",,,F","","","",""
"USC00440755","1869-09","37.416667","-75.866667","12.2","BIRDSNEST, VA US","3",",F","1",",F","1",",F","","","","","","","","","","","","","50.8",",,F,28,","","","53.4",",,,F","","","",""
"USC00440755","1869-10","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","9",",F","1",",F","","","","","","","","","","","","","26.7",",,F,04,","","","87.5",",,,F","","","",""
"USC00440755","1869-11","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","2",",F","1",",F","","","","","","","","","","","","","38.1",",,F,20,","","","57.2",",,,F","","","",""
"USC00440755","1869-12","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","5",",F","0",",F","","","","","","","","","","","","","20.3",",,F,26,","","","64.9",",,,F","","","",""
"USC00440755","1870-01","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","8",",F","0",",F","","","","","","","","","","","","","15.2",",,F,25,","","","67.4",",,,F","","","",""
"USC00440755","1870-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","12",",F","10",",F","0",",F","","","","","","","","","","","","","20.3",",,F,16,","","","80.0",",,,F","","","",""
"USC00440755","1870-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","6",",F","5",",F","1",",F","","","","","","","","","","","","","43.2",",,F,07,","","","82.6",",,,F","","","",""
"USC00440755","1870-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","10",",F","0",",F","","","","","","","","","","","","","15.2",",,F,01,","","","76.1",",,,F","","","",""
"USC00440755","1870-05","37.416667","-75.866667","12.2","BIRDSNEST, VA US","11",",F","9",",F","2",",F","","","","","","","","","","","","","53.3",",,F,04,","","","144.8",",,,F","","","",""
"USC00440755","1870-06","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","7",",F","1",",F","","","","","","","","","","","","","27.9",",,F,10,","","","81.2",",,,F","","","",""
"USC00440755","1870-07","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","5",",F","1",",F","","","","","","","","","","","","","27.9",",,F,07,","","","81.3",",,,F","","","",""
"USC00440755","1870-08","37.416667","-75.866667","12.2","BIRDSNEST, VA US","3",",F","1",",F","0",",F","","","","","","","","","","","","","8.9",",,F,05,","","","11.5",",,,F","","","",""
"USC00440755","1870-09","37.416667","-75.866667","12.2","BIRDSNEST, VA US","4",",F","4",",F","0",",F","","","","","","","","","","","","","10.2",",,F,19,","","","26.7",",,,F","","","",""
"USC00440755","1870-10","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","6",",F","1",",F","","","","","","","","","","","","","25.4",",,F,21,","","","64.8",",,,F","","","",""
"USC00440755","1870-11","37.416667","-75.866667","12.2","BIRDSNEST, VA US","4",",F","4",",F","1",",F","","","","","","","","","","","","","33.0",",,F,22,","","","50.8",",,,F","","","",""
"USC00440755","1870-12","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","5",",F","0",",F","","","","","","","","","","","","","22.9",",,F,28,","","","54.7",",,,F","","","",""
"USC00440755","1871-01","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","3",",F","0",",F","","","","","","","","","","","","","20.3",",,F,27,+","","","53.4",",,,F","","","",""
"USC00440755","1871-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","10",",F","1",",F","","","","","","","","","","","","","25.4",",,F,12,","","","101.7",",,,F","","","",""
"USC00440755","1871-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","13",",F","12",",F","1",",F","","","","","","","","","","","","","58.4",",,F,27,","","","168.9",",,,F","","","",""
"USC00440755","1871-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","6",",F","2",",F","","","","","","","","","","","","","26.7",",,F,28,+","","","78.9",",,,F","","","",""
"USC00440755","1871-05","37.416667","-75.866667","12.2","BIRDSNEST, VA US","10",",F","9",",F","0",",F","","","","","","","","","","","","","12.7",",,F,12,","","","73.8",",,,F","","","",""
"USC00440755","1871-06","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","8",",F","1",",F","","","","","","","","","","","","","52.1",",,F,12,","","","118.0",",,,F","","","",""
"USC00440755","1871-07","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","9",",F","2",",F","","","","","","","","","","","","","43.2",",,F,28,","","","134.7",",,,F","","","",""
"USC00440755","1871-09","37.416667","-75.866667","12.2","BIRDSNEST, VA US","4",",F","4",",F","2",",F","","","","","","","","","","","","","53.3",",,F,17,","","","119.4",",,,F","","","",""
"USC00440755","1871-10","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","8",",F","1",",F","","","","","","","","","","","","","50.8",",,F,07,","","","104.2",",,,F","","","",""
"USC00440755","1871-11","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","8",",F","2",",F","","","","","","","","","","","","","27.9",",,F,14,","","","119.2",",,,F","","","",""
"USC00440755","1871-12","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","7",",F","0",",F","","","","","","","","","","","","","12.7",",,F,15,","","","56.0",",,,F","","","",""
"USC00440755","1872-01","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","5",",F","0",",F","","","","","","","","","","","","","19.1",",,F,08,","","","50.9",",,,F","","","",""
"USC00440755","1872-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","8",",F","1",",F","","","","","","","","","","","","","40.6",",,F,09,","","","124.5",",,,F","","","",""
"USC00440755","1872-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","9",",F","8",",F","2",",F","","","","","","","","","","","","","45.7",",,F,02,","","","132.1",",,,F","","","",""
"USC00440755","1872-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","7",",F","1",",F","","","","","","","","","","","","","33.0",",,F,07,","","","76.2",",,,F","","","",""
"USC00440755","1872-05","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","6",",F","0",",F","","","","","","","","","","","","","20.3",",,F,30,","","","81.3",",,,F","","","",""
"USC00440755","1872-06","37.416667","-75.866667","12.2","BIRDSNEST, VA US","8",",F","7",",F","1",",F","","","","","","","","","","","","","26.7",",,F,10,","","","72.5",",,,F","","","",""
"USC00440755","1872-08","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","5",",F","0",",F","","","","","","","","","","","","","11.4",",,F,02,","","","30.4",",,,F","","","",""
"USC00440755","1872-09","37.416667","-75.866667","12.2","BIRDSNEST, VA US","6",",F","6",",F","0",",F","","","","","","","","","","","","","14.0",",,F,14,","","","36.8",",,,F","","","",""
"USC00440755","1872-10","37.416667","-75.866667","12.2","BIRDSNEST, VA US","4",",F","3",",F","2",",F","","","","","","","","","","","","","180.3",",,F,26,","","","235.0",",,,F","","","",""
"USC00440755","1872-11","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","5",",F","2",",F","","","","","","","","","","","","","39.4",",,F,14,","","","86.3",",,,F","","","",""
"USC00440755","1872-12","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","6",",F","2",",F","","","","","","","","","","","","","86.4",",,F,26,","","","161.4",",,,F","","","",""
"USC00440755","1873-01","37.416667","-75.866667","12.2","BIRDSNEST, VA US","12",",F","10",",F","0",",F","","","","","","","","","","","","","22.9",",,F,17,","","","97.9",",,,F","","","",""
"USC00440755","1873-02","37.416667","-75.866667","12.2","BIRDSNEST, VA US","12",",F","11",",F","2",",F","","","","","","","","","","","","","45.7",",,F,07,","","","152.5",",,,F","","","",""
"USC00440755","1873-03","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","6",",F","0",",F","","","","","","","","","","","","","15.2",",,F,20,","","","43.2",",,,F","","","",""
"USC00440755","1873-04","37.416667","-75.866667","12.2","BIRDSNEST, VA US","7",",F","4",",F","0",",F","","","","","","","","","","","","","20.3",",,F,16,","","","49.7",",,,F","","","",""
"USC00440755","1873-05","37.416667","-75.866667","12.2","BIRDSNEST, VA US","13",",F","11",",F","2",",F","","","","","","","","","","","","","27.9",",,F,09,","","","141.0",",,,F","","","",""
"USC00440755","1873-06","37.416667","-75.866667","12.2","BIRDSNEST, VA US","3",",F","2",",F","1",",F","","","","","","","","","","","","","33.0",",,F,15,","","","36.8",",,,F","","","",""
"USC00440755","1873-07","37.416667","-75.866667","12.2","BIRDSNEST, VA US","5",",F","5",",F","0",",F","","","","","","","","","","","","","16.5",",,F,05,","","","31.6",",,,F","","","",""
