"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00154649","2012-03","37.5725","-85.2557","245.4","LEBANON, KY US","8",",K","7",",K","2",",K","","","","","33.0",",,K,10,","108.5",",,,K"
"USC00154649","2012-09","37.5725","-85.2557","245.4","LEBANON, KY US","6",",7","6",",7","4",",7","","","","","55.4",",,7,26,","204.0",",,,7"
"USC00154649","2012-10","37.5725","-85.2557","245.4","LEBANON, KY US","5",",7","5",",7","0",",7","","","","","16.8",",,7,02,","40.9",",,,7"
"USC00154649","2012-11","37.5725","-85.2557","245.4","LEBANON, KY US","3",",7","2",",7","1",",7","","","","","30.5",",,7,27,","51.6",",,,7"
"USC00154649","2012-12","37.5725","-85.2557","245.4","LEBANON, KY US","8","3,7","8","3,7","2","3,7","1","","","","26.7","3,,7,10,","106.9","3,,,7"
"USC00154649","2013-07","37.5725","-85.2557","245.4","LEBANON, KY US","10",",7","9",",7","4",",7","","","","","80.0",",,7,06,","271.6",",,,7"
"USC00154649","2013-08","37.5725","-85.2557","245.4","LEBANON, KY US","3",",7","3",",7","2",",7","","","","","35.3",",,7,09,","85.3",",,,7"
"USC00154649","2013-09","37.5725","-85.2557","245.4","LEBANON, KY US","2",",7","2",",7","2",",7","","","","","93.0",",,7,01,","131.9",",,,7"
"USC00154649","2013-10","37.5725","-85.2557","245.4","LEBANON, KY US","8",",7","7",",7","2",",7","","","","","40.4",",,7,07,","105.2",",,,7"
"USC00154649","2014-08","37.5725","-85.2557","245.4","LEBANON, KY US","7","2,7","5","2,7","1","2,7","","","","","58.4","2,,7,12,","125.4",",a,,7"
"USC00154649","2014-09","37.5725","-85.2557","245.4","LEBANON, KY US","5",",7","4",",7","0",",7","","","","","15.2",",,7,01,","42.9",",,,7"
"USC00154649","2014-10","37.5725","-85.2557","245.4","LEBANON, KY US","12",",7","10",",7","1",",7","","","1","","38.6",",,7,14,","157.7",",,,7"
"USC00154649","2015-04","37.5725","-85.2557","245.4","LEBANON, KY US","12",",7","12",",7","2",",7","","","1","","74.7",",,7,15,","247.9",",,,7"
"USC00154649","2015-05","37.5725","-85.2557","245.4","LEBANON, KY US","2","4,7","1","4,7","0","4,7","","","","","3.6","4,,7,18,","96.6",",a,,7"
"USC00154649","2015-06","37.5725","-85.2557","245.4","LEBANON, KY US","7",",7","7",",7","1",",7","","","","","31.0",",,7,20,","110.4",",,,7"
"USC00154649","2015-07","37.5725","-85.2557","245.4","LEBANON, KY US","8",",7","8",",7","2",",7","","","","","29.2",",,7,14,","144.8",",,,7"
"USC00154649","2015-08","37.5725","-85.2557","245.4","LEBANON, KY US","2","2,7","1","2,7","0","2,7","","","","","7.6","2,,7,20,","57.7",",a,,7"
