"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00034635","1937-01","47.7","40.267","118.0","SAHTY, RS","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","0.5",",,I,17,","","","1.8",",,,I","","","",""
"RSM00034635","1937-02","47.7","40.267","118.0","SAHTY, RS","14",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","16.7",",,I,08,","","","34.8",",,,I","","","",""
"RSM00034635","1937-03","47.7","40.267","118.0","SAHTY, RS","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","4.0",",,I,18,","","","8.5",",,,I","","","",""
"RSM00034635","1937-04","47.7","40.267","118.0","SAHTY, RS","8",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","3.6",",,I,11,","","","16.0",",,,I","","","",""
"RSM00034635","1937-05","47.7","40.267","118.0","SAHTY, RS","5",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","4.5",",,I,31,","","","7.3",",,,I","","","",""
"RSM00034635","1937-06","47.7","40.267","118.0","SAHTY, RS","8",",I","4",",I","1",",I","","","","","","","","","","","","","","","","","33.2",",,I,11,","","","63.4",",,,I","","","",""
"RSM00034635","1937-07","47.7","40.267","118.0","SAHTY, RS","9",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","22.0",",,I,17,","","","52.2",",,,I","","","",""
"RSM00034635","1937-08","47.7","40.267","118.0","SAHTY, RS","10",",I","6",",I","2",",I","","","","","","","","","","","","","","","","","46.3",",,I,08,","","","124.6",",,,I","","","",""
"RSM00034635","1937-09","47.7","40.267","118.0","SAHTY, RS","5",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","11.0",",,I,17,","","","16.9",",,,I","","","",""
"RSM00034635","1937-10","47.7","40.267","118.0","SAHTY, RS","7",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","16.9",",,I,08,","","","32.3",",,,I","","","",""
"RSM00034635","1937-11","47.7","40.267","118.0","SAHTY, RS","9",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","10.9",",,I,26,","","","27.7",",,,I","","","",""
"RSM00034635","1937-12","47.7","40.267","118.0","SAHTY, RS","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","22.4",",,I,31,","","","42.5",",,,I","","","",""
"RSM00034635","1938-01","47.7","40.267","118.0","SAHTY, RS","17",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","4.7",",,I,06,","","","27.8",",,,I","","","",""
"RSM00034635","1938-02","47.7","40.267","118.0","SAHTY, RS","9",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","4.4",",,I,19,","","","17.4",",,,I","","","",""
"RSM00034635","1938-03","47.7","40.267","118.0","SAHTY, RS","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","6.8",",,I,10,","","","23.7",",,,I","","","",""
"RSM00034635","1938-04","47.7","40.267","118.0","SAHTY, RS","12",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","15.4",",,I,10,","","","54.6",",,,I","","","",""
"RSM00034635","1938-05","47.7","40.267","118.0","SAHTY, RS","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","4.4",",,I,24,","","","10.0",",,,I","","","",""
"RSM00034635","1938-06","47.7","40.267","118.0","SAHTY, RS","7",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","21.3",",,I,02,","","","40.0",",,,I","","","",""
"RSM00034635","1938-07","47.7","40.267","118.0","SAHTY, RS","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","2.7",",,I,25,","","","4.9",",,,I","","","",""
"RSM00034635","1938-08","47.7","40.267","118.0","SAHTY, RS","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","7.1",",,I,02,","","","13.6",",,,I","","","",""
"RSM00034635","1938-09","47.7","40.267","118.0","SAHTY, RS","6",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","10.4",",,I,18,","","","22.4",",,,I","","","",""
"RSM00034635","1938-10","47.7","40.267","118.0","SAHTY, RS","4",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","10.0",",,I,29,","","","16.4",",,,I","","","",""
"RSM00034635","1938-11","47.7","40.267","118.0","SAHTY, RS","6",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.8",",,I,16,","","","5.9",",,,I","","","",""
"RSM00034635","1938-12","47.7","40.267","118.0","SAHTY, RS","6",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.8",",,I,09,","","","5.1",",,,I","","","",""
"RSM00034635","1941-01","47.7","40.267","118.0","SAHTY, RS","14",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","13.2",",,I,02,","","","70.5",",,,I","","","",""
"RSM00034635","1941-02","47.7","40.267","118.0","SAHTY, RS","17",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","8.0",",,I,24,","","","41.6",",,,I","","","",""
"RSM00034635","1941-03","47.7","40.267","118.0","SAHTY, RS","13",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","8.5",",,I,24,","","","39.2",",,,I","","","",""
"RSM00034635","1941-04","47.7","40.267","118.0","SAHTY, RS","9",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","13.9",",,I,10,","","","45.6",",,,I","","","",""
"RSM00034635","1941-05","47.7","40.267","118.0","SAHTY, RS","18",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","18.3",",,I,05,","","","68.8",",,,I","","","",""
"RSM00034635","1941-06","47.7","40.267","118.0","SAHTY, RS","9","1,I","6","1,I","0","1,I","","","","","","","","","","","","","","","","","21.3","1,,I,09,","","","73.0","1,,,I","","","",""
"RSM00034635","1941-07","47.7","40.267","118.0","SAHTY, RS","10",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","24.1",",,I,22,","","","73.6",",,,I","","","",""
"RSM00034635","1941-08","47.7","40.267","118.0","SAHTY, RS","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","9.3",",,I,11,","","","33.3",",,,I","","","",""
"RSM00034635","1941-09","47.7","40.267","118.0","SAHTY, RS","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","17.7",",,I,06,","","","25.8",",,,I","","","",""
"RSM00034635","1941-10","47.7","40.267","118.0","SAHTY, RS","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","15.5",",,I,14,","","","50.1",",,,I","","","",""
"RSM00034635","1941-11","47.7","40.267","118.0","SAHTY, RS","7",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","13.5",",,I,07,","","","35.1",",,,I","","","",""
"RSM00034635","1941-12","47.7","40.267","118.0","SAHTY, RS","17",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","8.1",",,I,10,","","","51.4",",,,I","","","",""
"RSM00034635","1942-01","47.7","40.267","118.0","SAHTY, RS","8",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","12.0",",,I,13,","","","23.3",",,,I","","","",""
"RSM00034635","1942-02","47.7","40.267","118.0","SAHTY, RS","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.6",",,I,12,","","","3.8",",,,I","","","",""
"RSM00034635","1942-03","47.7","40.267","118.0","SAHTY, RS","5",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","2.6",",,I,06,","","","8.8",",,,I","","","",""
"RSM00034635","1942-04","47.7","40.267","118.0","SAHTY, RS","13",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","6.1",",,I,01,","","","34.8",",,,I","","","",""
"RSM00034635","1942-05","47.7","40.267","118.0","SAHTY, RS","8",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","24.0",",,I,10,","","","45.8",",,,I","","","",""
"RSM00034635","1942-06","47.7","40.267","118.0","SAHTY, RS","9",",I","5",",I","2",",I","","","","","","","","","","","","","","","","","43.9",",,I,06,","","","101.2",",,,I","","","",""
