"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00054813","2004-12","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","5.2",",W","","","0.0","2,W","21",",W","10",",W","0",",W","4","2,W","25","2,W","10","2,W","0","2,W","0","2,W","-27.2","2,W,25,","15.7",",,W,12,","8.9","2,W,01,","","","611.2","2,W","72.6",",,,W","-2.74","2,W","2.23","2,,,W","-7.72","2,,,W","","","10",",W","20",",W","17.0",",W","20.1",",W"
"USW00054813","2005-01","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.4",",W","0.0","B","0.0",",W","16",",W","4",",W","0",",W","5",",W","31",",W","26",",W","0",",W","0",",W","-23.3",",W,16,","6.9",",,W,25,","3.3",",W,25,+","","","806.9",",W","29.8",",,,W","-7.70",",W","-4.25",",,,W","-11.15",",,,W","0",",W","190",",W","200",",W","17.0",",W","23.2",",W"
"USW00054813","2005-02","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.1",",W","0.0","B","0.0",",W","11",",W","3",",W","0",",W","1",",W","27",",W","17",",W","0",",W","0",",W","-17.8",",W,20,","4.1",",,W,20,+","8.3",",W,06,+","","","629.6",",W","20.4",",,,W","-4.15",",W","-0.37",",,,W","-7.94",",,,W","","","30",",W","190",",W","11.2",",W","14.8",",W"
"USW00054813","2005-03","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.3",",W","0.0","B","0.0",",W","12",",W","1",",W","0",",W","0",",W","27",",W","17",",W","0",",W","0",",W","-16.7",",W,13,","2.8",",,W,20,","15.6",",W,30,","","","667.3",",W","10.9",",,,W","-3.19",",W","1.45",",,,W","-7.84",",,,W","","","10",",W","330",",W","17.0",",W","20.1",",W"
"USW00054813","2005-04","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.0",",W","0.0","B","0.0",",W","6",",W","3",",W","0",",W","0",",W","16",",W","0",",W","2",",W","0",",W","-4.4",",W,03,","16.8",",,W,06,","26.7",",W,19,","","","396.5",",W","33.0",",,,W","5.12",",W","10.01",",,,W","0.22",",,,W","","","360",",W","360",",W","14.8",",W","17.0",",W"
"USW00054813","2005-05","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","3.6",",W","0.0","B","0.0",",W","13",",W","7",",W","0",",W","0",",W","3",",W","0",",W","6",",W","0",",W","0.0",",W,16,+","11.7",",,W,22,","25.0",",W,21,+","","","287.8",",W","48.8",",,,W","9.05",",W","13.77",",,,W","4.33",",,,W","","","190",",W","170",",W","13.4",",W","17.4",",W"
"USW00054813","2005-06","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","3.5",",W","36.6","B","36.6",",W","8",",W","4",",W","0",",W","0",",W","0",",W","0",",W","19",",W","1",",W","3.3",",W,01,","14.2",",,W,15,","33.3",",W,27,","","","63.9",",W","37.3",",,,W","17.42",",W","23.18",",,,W","11.66",",,,W","","","20",",W","240",",W","12.5",",W","14.8",",W"
"USW00054813","2005-07","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","3.6",",W","111.3","B","74.7",",W","11",",W","6",",W","1",",W","0",",W","0",",W","0",",W","21",",W","2",",W","7.8",",W,07,","28.4",",,W,30,","35.0",",W,17,","38.9","B","38.9",",W","72.5",",,,W","19.49",",W","25.05",",,,W","13.92",",,,W","","","320",",W","330",",W","13.0",",W","17.0",",W"
"USW00054813","2005-08","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","3.3",",B","171.3","B","60.0",",B","8",",B","6",",B","1",",B","0",",B","0",",B","0",",B","26",",B","3",",B","7.2",",B,24,","33.0",",,B,27,","33.3",",B,03,","72.4","B","33.5",",B","56.4",",,,B","19.19",",B","24.44",",,,B","13.94",",,,B","","","320",",B","320",",B","13.9",",B","21.0",",B"
"USW00054813","2005-09","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.1",",B","207.0","B","35.7",",B","11",",B","5",",B","3",",B","0",",B","0",",B","0",",B","19",",B","1",",B","6.1",",B,24,+","36.8",",,B,28,","32.8",",B,11,","147.6","B","75.2",",B","116.5",",,,B","17.02",",B","22.55",",,,B","11.48",",,,B","","","340",",B","330",",B","13.9",",B","19.7",",B"
"USW00054813","2005-10","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.3",",B","216.2","B","9.2",",B","16",",B","9",",B","1",",B","0",",B","5",",B","0",",B","5",",B","0",",B","-3.3",",B,21,","53.6",",,B,04,","25.6",",B,05,+","407.5","B","259.9",",B","97.3",",,,B","10.25",",B","14.35",",,,B","6.14",",,,B","","","10",",B","10",",B","16.1",",B","18.3",",B"
"USW00054813","2005-11","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","5.0",",B","216.2","B","0.0",",B","19",",B","11",",B","0",",B","1",",B","19",",B","7",",B","0",",B","0",",B","-18.3",",B,26,","20.1",",,B,06,","12.8",",B,12,","905.0","B","497.5",",B","99.2",",,,B","1.75",",B","5.48",",,,B","-1.98",",,,B","","","330",",B","300",",B","17.4",",B","24.1",",B"
"USW00054813","2005-12","46.412036","-86.650452","186.5","MUNSING LAKESHORE, MI US","4.0",",B","216.2","B","0.0",",B","19",",B","8",",B","0",",B","1",",B","31",",B","23",",B","0",",B","0",",B","-18.3",",B,06,","8.9",",,B,01,","2.2",",B,28,","1630.2","B","725.2",",B","45.8",",,,B","-5.06",",B","-2.00",",,,B","-8.12",",,,B","","","360",",B","360",",B","13.4",",B","15.6",",B"
