"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00145043","1893-03","37.833333","-94.816667",,"MARMATON, KS US","4",",6","4",",6","1",",6","","","1","","","","28.4",",,6,07,","52.7",",,,6","",""
"USC00145043","1893-04","37.833333","-94.816667",,"MARMATON, KS US","7",",6","6",",6","3",",6","","","","","","","64.8",",,6,19,","185.8",",,,6","",""
"USC00145043","1893-05","37.833333","-94.816667",,"MARMATON, KS US","9",",6","8",",6","0",",6","","","2","","","","19.1",",,6,30,","108.4",",,,6","",""
"USC00145043","1893-06","37.833333","-94.816667",,"MARMATON, KS US","9",",6","8",",6","3",",6","","","","","","","52.1",",,6,04,","179.7",",,,6","",""
"USC00145043","1893-07","37.833333","-94.816667",,"MARMATON, KS US","6",",6","6",",6","1",",6","","","","","","","35.6",",,6,15,","68.9",",,,6","",""
"USC00145043","1893-08","37.833333","-94.816667",,"MARMATON, KS US","6",",6","5",",6","0",",6","","","","","","","24.1",",,6,27,","58.7",",,,6","",""
"USC00145043","1893-09","37.833333","-94.816667",,"MARMATON, KS US","3",",6","3",",6","3",",6","","","","","","","74.9",",,6,23,","144.8",",,,6","",""
"USC00145043","1893-10","37.833333","-94.816667",,"MARMATON, KS US","1",",6","1",",6","0",",6","","","","","","","15.2",",,6,01,","15.2",",,,6","",""
"USC00145043","1893-11","37.833333","-94.816667",,"MARMATON, KS US","3",",6","3",",6","0",",6","","","","","","","13.5",",,6,26,","28.2",",,,6","",""
"USC00145043","1893-12","37.833333","-94.816667",,"MARMATON, KS US","3",",6","2",",6","0",",6","1",",6","","","64",",,6,02,","4.6",",,6,15,","9.7",",,,6","64",",,,6"
"USC00145043","1894-01","37.833333","-94.816667",,"MARMATON, KS US","4",",6","3",",6","1",",6","1",",6","","","30",",,6,23,","73.2",",,6,19,","80.0",",,,6","30",",,,6"
"USC00145043","1894-02","37.833333","-94.816667",,"MARMATON, KS US","3",",6","3",",6","0",",6","3",",6","","","178",",,6,11,","15.2",",,6,11,","24.1",",,,6","293",",,,6"
"USC00145043","1894-03","37.833333","-94.816667",,"MARMATON, KS US","4",",6","4",",6","2",",6","","","","","","","33.0",",,6,15,+","88.4",",,,6","",""
"USC00145043","1894-04","37.833333","-94.816667",,"MARMATON, KS US","7",",6","6",",6","1",",6","","","","","","","37.1",",,6,08,","95.3",",,,6","",""
"USC00145043","1894-05","37.833333","-94.816667",,"MARMATON, KS US","7",",6","6",",6","2",",6","","","","","","","30.7",",,6,04,","96.7",",,,6","",""
"USC00145043","1894-06","37.833333","-94.816667",,"MARMATON, KS US","8",",6","8",",6","2",",6","","","","","","","62.7",",,6,25,","181.6",",,,6","",""
"USC00145043","1894-07","37.833333","-94.816667",,"MARMATON, KS US","2",",6","2",",6","0",",6","","","","","","","15.2",",,6,29,","19.0",",,,6","",""
"USC00145043","1894-08","37.833333","-94.816667",,"MARMATON, KS US","3",",6","2",",6","1",",6","","","","","","","58.4",",,6,21,","63.7",",,,6","",""
"USC00145043","1894-09","37.833333","-94.816667",,"MARMATON, KS US","6",",6","6",",6","2",",6","","","","","","","53.8",",,6,03,","152.0",",,,6","",""
