"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00105043","1978-05","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","1.7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","13",",0","0",",0","-2.2",",0,25,","0",",,0,31,+","0",",,0,31,+","4.1",",,0,11,","28.3",",0,14,","136.4","1,,,0","","","","","","","200.4",",0","","","","","","","","","","","","","","","","","9.72","1,,,0","","","","","25.37","1,,,0","8.7",",,,0","0",",,,0","11.92",",0","20.32",",,,0","3.53",",,,0","",""
"USC00105043","1978-06","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","8.9",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","3.3",",0,11,+","0",",,0,30,+","0",",,0,30,+","4.3",",,0,30,+","31.7",",0,22,","145.0",",,,0","","","","","","","66.8",",0","","","","","","","","","","","","","","","","","14.81",",,,0","","","","","31.92",",,,0","17.3",",,,0","0",",,,0","16.40",",0","26.18",",,,0","6.62",",,,0","",""
"USC00105043","1978-07","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","77.9",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","6.1",",0,11,","0",",,0,31,+","0",",,0,31,+","17.3",",,0,04,","38.3",",0,23,","207.3",",,,0","10.6","0","","","","","10.6",",0","","","","","","","","","","","","","","","","","16.91",",,,0","","","","","33.20",",,,0","18.1",",,,0","0",",,,0","20.50",",0","30.41",",,,0","10.60",",,,0","1639",",,,0"
"USC00105043","1978-08","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","52.9",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","1.1",",0,18,","0",",,0,31,+","0",",,0,31,+","3.8",",,0,13,","36.7",",0,04,","188.2",",,,0","49.7","0","","","","","39.1",",0","","","","","","","","","","","","","","","","","15.37",",,,0","","","","","30.98",",,,0","5.6",",,,0","0",",,,0","18.78",",0","29.22",",,,0","8.33",",,,0","1653",",,,0"
"USC00105043","1978-09","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","19.8",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","19",",0","3",",0","-3.9",",0,19,","0",",,0,30,+","0",",,0,30,+","5.8",",,0,06,","33.3",",0,03,","115.7",",,,0","181.6","0","","","","","131.9",",0","","","","","","","","","","","","","","","","","10.54",",,,0","","","","","24.04",",,,0","18.6",",,,0","0",",,,0","14.60",",0","23.63",",,,0","5.56",",,,0","2400","2,,,0"
"USC00105043","1978-10","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","0.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","16",",0","0",",0","-10.6",",0,31,","0",",,0,31,+","0",",,0,31,+","0.3",",,0,29,","26.7",",0,09,+","","","450.6","0","","","","","269.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","0.3",",,,0","0",",,,0","9.65",",0","20.68",",,,0","-1.37",",,,0","",""
"USC00105043","1978-11","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","0.0",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","28",",0","1",",0","0",",0","0",",0","-15.6",",0,13,","0",",,0,30,+","0",",T,0,11,","9.7",",,0,29,","19.4",",0,03,","","","969.8","0","","","","","519.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","24.6",",,,0","0",",T,,0","1.03",",0","8.14",",,,0","-6.09",",,,0","",""
"USC00105043","1978-12","43.48333","-116.35","846.1","KUNA 3 E, ID US","","","0.0",",0","7",",0","4",",0","0",",0","1",",0","1",",0","4",",0","31",",0","11",",0","0",",0","0",",0","-24.4",",0,30,","25",",,0,12,","30",",,0,12,","5.1",",,0,04,","15.0",",0,04,","","","1665.3","0","","","","","695.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","16.9",",,,0","40",",,,0","-4.10",",0","1.56",",,,0","-9.77",",,,0","",""
"USC00105043","1979-01","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","12",",0","2",",0","0",",0","23",",0","3",",0","9",",0","31",",0","23",",0","0",",0","0",",0","-28.9",",0,30,","152",",,0,10,","140",",,0,10,","16.0",",,0,11,","5.0",",0,11,","","","2527.4","0","","","","","862.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","37.2",",,,0","346",",,,0","-9.48",",0","-3.73",",,,0","-15.22",",,,0","",""
"USC00105043","1979-02","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","15",",0","3",",0","0",",0","6",",0","1",",0","3",",0","26",",0","5",",0","0",",0","0",",0","-28.3",",0,02,","76",",,0,04,+","30",",,0,14,","4.8",",,0,14,","11.1",",0,26,+","","","3029.7","0","","","","","502.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","22.3",",,,0","46",",,,0","0.39",",0","5.75",",,,0","-4.96",",,,0","",""
"USC00105043","1979-03","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","0",",0","0",",0","-7.2",",0,23,+","0",",,0,31,+","0",",,0,31,+","5.3",",,0,16,","20.0",",0,15,","","","3422.8","0","","","","","393.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","12.6",",,,0","0",",,,0","5.65",",0","13.67",",,,0","-2.37",",,,0","",""
"USC00105043","1979-04","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","5",",0","0",",0","-7.8",",0,03,","0",",,0,30,+","0",",,0,30,+","8.1",",,0,09,","23.3",",0,30,+","","","3724.1","0","","","","","301.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","27.1",",,,0","0",",,,0","8.29",",0","16.71",",,,0","-0.13",",,,0","",""
"USC00105043","1979-05","43.48333","-116.35","846.1","KUNA 3 E, ID US","4.8","0","4.8",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","22",",0","0",",0","-1.1",",0,03,","0",",,0,31,+","0",",,0,31,+","13.0",",,0,08,","31.7",",0,22,","184.9","1,,,0","3871.6","0","","","","","147.5",",0","","","","","","","","","","","","","","","","","10.13","2,,,0","","","","","26.48","2,,,0","27.0",",,,0","0",",,,0","13.73",",0","22.47",",,,0","4.98",",,,0","3418",",,,0"
"USC00105043","1979-06","43.48333","-116.35","846.1","KUNA 3 E, ID US","39.8","0","35.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","28",",0","8",",0","-1.1",",0,08,","0",",,0,30,+","0",",,0,30,+","2.8",",,0,18,","36.7",",0,28,","208.5",",,,0","3933.0","0","","","","","61.4",",0","","","","","","","","","","","","","","","","","13.84",",,,0","","","","","32.20",",,,0","5.1",",,,0","0",",,,0","17.46",",0","28.08",",,,0","6.83",",,,0","1778",",,,0"
"USC00105043","1979-07","43.48333","-116.35","846.1","KUNA 3 E, ID US","116.3","0","76.5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","3.9",",0,02,+","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,22,+","35.6",",0,18,","210.1",",,,0","14.2","0","","","","","14.2",",0","","","","","","","","","","","","","","","","","16.71",",,,0","","","","","33.48",",,,0","0.0",",T,,0","0",",,,0","20.34",",0","31.01",",,,0","9.68",",,,0","1201",",,,0"
"USC00105043","1979-08","43.48333","-116.35","846.1","KUNA 3 E, ID US","182.3","0","66.0",",0","9",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","7.2",",0,25,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,13,","35.6",",0,10,","162.4",",,,0","20.0","0","","","","","5.8",",0","","","","","","","","","","","","","","","","","16.32",",,,0","","","","","30.72",",,,0","35.2",",,,0","0",",,,0","20.27",",0","29.00",",,,0","11.55",",,,0","1206",",,,0"
"USC00105043","1979-09","43.48333","-116.35","846.1","KUNA 3 E, ID US","201.4","0","19.1",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","0.6",",0,13,","0",",,0,30,+","0",",,0,30,+","5.3",",,0,26,","34.4",",0,07,","136.4",",,,0","65.8","0","","","","","45.8",",0","","","","","","","","","","","","","","","","","12.15",",,,0","","","","","27.27",",,,0","6.1",",,,0","0",",,,0","17.44",",0","28.13",",,,0","6.76",",,,0","1257",",,,0"
"USC00105043","1979-10","43.48333","-116.35","846.1","KUNA 3 E, ID US","201.4","0","0.0",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","13",",0","0",",0","-5.6",",0,30,","0",",,0,31,+","0",",,0,31,+","16.5",",,0,18,","27.8",",0,08,","","","293.4","0","","","","","227.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","32.4",",,,0","0",",,,0","10.99",",0","19.14",",,,0","2.84",",,,0","",""
"USC00105043","1979-11","43.48333","-116.35","846.1","KUNA 3 E, ID US","201.4","0","0.0",",0","7","2,0","2","2,0","0","2,0","9",",0","2",",0","2",",0","27",",0","4",",0","0",",0","0",",0","-20.0",",0,29,","76",",,0,28,+","79",",,0,26,","8.4","2,,0,26,","15.6",",0,06,","","","826.8","0","","","","","533.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","26.7",",a,,0","140",",,,0","0.55",",0","7.35",",,,0","-6.25",",,,0","",""
"USC00105043","1979-12","43.48333","-116.35","846.1","KUNA 3 E, ID US","201.4","0","0.0","1,0","9",",0","0",",0","0",",0","3",",0","0",",0","0","1,0","24","1,0","1",",0","0",",0","0",",0","-11.1","1,0,12,","25",",,0,24,+","20",",,0,22,","2.0",",,0,22,+","13.3",",0,18,","","","1331.7","0","","","","","504.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","11.6",",,,0","41",",,,0","1.48","1,0","7.07",",,,0","-4.12","1,,,0","",""
"USC00105043","1980-01","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","12",",0","6",",0","0",",0","2",",0","1",",0","3",",0","27",",0","6",",0","0",",0","0",",0","-21.7",",0,27,","51",",,0,07,","38",",,0,07,","7.9",",,0,17,","12.8",",0,12,","","","1932.9","0","","","","","601.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","34.6",",,,0","46",",,,0","-1.06",",0","3.60",",,,0","-5.72",",,,0","",""
"USC00105043","1980-02","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","13",",0","5",",0","0",",0","2",",0","1",",0","0",",0","22",",0","0",",0","0",",0","0",",0","-7.2",",0,11,","25",",,0,04,+","33",",,0,03,","5.3",",,0,21,","17.8",",0,27,+","","","2364.1","0","","","","","431.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","26.1",",,,0","33",",,,0","3.47",",0","8.45",",,,0","-1.52",",,,0","",""
"USC00105043","1980-03","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","6","4,0","3","4,0","0","4,0","0",",0","0",",0","0",",0","25",",0","0",",0","0",",0","0",",0","-6.7",",0,24,+","0",",,0,31,+","0",",,0,31,+","8.1","4,,0,17,","16.1",",0,10,","","","2794.6","0","","","","","430.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","15.7","4,,,0","0",",,,0","4.45",",0","11.05",",,,0","-2.16",",,,0","",""
"USC00105043","1980-04","43.48333","-116.35","846.1","KUNA 3 E, ID US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","15",",0","0",",0","-3.9",",0,10,+","0",",,0,30,+","0",",,0,30,+","16.5",",,0,23,","28.3",",0,19,+","","","3012.8","0","","","","","218.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","21.1",",,,0","0",",,,0","11.06",",0","19.59",",,,0","2.53",",,,0","",""
"USC00105043","1980-05","43.48333","-116.35","846.1","KUNA 3 E, ID US","7.5","0","7.5",",0","14",",0","10",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","16",",0","1",",0","0.0",",0,12,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,06,","32.2",",0,21,","","","3181.7","0","","","","","168.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","87.4",",,,0","0",",,,0","13.12",",0","20.93",",,,0","5.32",",,,0","",""
