"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017615","1960-05","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017615","1960-06","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","4",",X","2",",X","0",",X","2",",X","4",",X","30",",X","28",",X","0",",X","0",",X","17","","","","-19.4",",X,18,","117",",,X,14,","11.7",",,X,14,","0.6",",X,30,+","","","819.2",",X","16.8",",,,X","168",",,,X","-8.97",",X","-5.03",",,,X","-12.92",",,,X","113",",X","11.8",",X"
"GLW00017615","1960-07","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","7",",X","0",",X","0",",X","0",",X","0",",X","31",",X","29",",X","0",",X","0",",X","18","","","","-13.9",",X,29,+","20",",,X,08,","2.0",",,X,08,","0.6",",X,22,+","741.2","X","741.2",",X","7.9",",,,X","79",",,,X","-5.58",",X","-2.29",",,,X","-8.87",",,,X","113","1,X","15.4","1,X"
"GLW00017615","1960-08","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","6",",X","1",",X","0",",X","1",",X","7",",X","31",",X","27",",X","0",",X","0",",X","22","","","","-21.1",",X,25,","38",",,X,05,","3.8",",,X,05,","1.1",",X,07,","1568.9","X","827.7",",X","6.5",",,,X","65",",,,X","-8.37",",X","-3.87",",,,X","-12.87",",,,X","","","",""
"GLW00017615","1960-09","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","16",",X","10",",X","0",",X","10",",X","25",",X","30",",X","30",",X","0",",X","0",",X","26","","","","-32.8",",X,20,","41",",,X,12,","4.1",",,X,12,","-3.9",",X,01,","2692.0","X","1123.1",",X","39.4",",,,X","394",",,,X","-19.10",",X","-13.91",",,,X","-24.30",",,,X","","","",""
"GLW00017615","1960-10","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0","1,X","9","1,X","2","1,X","0","1,X","2","1,X","21","1,X","30","1,X","30","1,X","0","1,X","0","1,X","23","","","","-35.6","1,X,14,","33","1,,X,19,","3.3","1,,X,19,","-6.7","1,X,11,","3805.8","X","1113.8","1,X","14.0","1,,,X","140","1,,,X","-18.79","1,X","-14.83","1,,,X","-22.75","1,,,X","","","74.5","1,X"
"GLW00017615","1960-11","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","2",",X","0",",X","0",",X","0",",X","30",",X","30",",X","30",",X","0",",X","0",",X","20","","","","-41.1",",X,30,","18",",,X,05,","1.8",",,X,05,","-11.7",",X,06,","5099.0","X","1293.2",",X","2.1",",,,X","21",",,,X","-24.77",",X","-20.11",",,,X","-29.44",",,,X","","","",""
"GLW00017615","1960-12","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0","1,X","0","1,X","0","1,X","0","1,X","0","1,X","30","1,X","30","1,X","30","1,X","0","1,X","0","1,X","7","","","","-46.7","1,X,08,","0","1,T,X,20,+","0.0","1,T,X,20,+","-17.8","1,X,19,","6778.4","X","1679.4","1,X","0.0","1,T,,X","0","1,T,,X","-37.65","1,X","-34.40","1,,,X","-40.89","1,,,X","","","",""
"GLW00017615","1961-01","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","2","","","","-52.8",",X,19,","0",",T,X,30,","0.0",",T,X,30,","-18.3",",X,11,","8503.1","X","1724.7",",X","0.0",",T,,X","0",",T,,X","-37.30",",X","-32.87",",,,X","-41.74",",,,X","180",",X","17.5",",X"
"GLW00017615","1961-02","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0","1,X","0","1,X","0","1,X","0","1,X","0","1,X","27","1,X","27","1,X","27","1,X","0","1,X","0","1,X","12","","","","-51.7","1,X,15,","0","1,T,X,11,+","0.0","1,T,X,11,+","-26.1","1,X,21,","10144.7","X","1641.6","1,X","0.0","1,T,,X","0","1,T,,X","-42.47","1,X","-39.00","1,,,X","-45.93","1,,,X","","","",""
