"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA006166415","2010-10","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","","","0.0","3,C","9","3,C","6","3,C","0","3,C","0","3,C","11","3,C","0","3,C","1","3,C","0","3,C","-3.8","3,C,13,","6.5","3,,C,05,","23.3","3,C,08,","","","278.4","3,C","34.2","3,,,C","8.39","3,C","14.25","3,,,C","2.54","3,,,C","","","",""
"CA006166415","2010-11","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","","","","","8","5,C","7","5,C","0","5,C","","","","","","","","","","","","","21.3","5,,C,16,","","","","","","","62.8","5,,,C","","","","","","","","","",""
"CA006166415","2010-12","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","","","0.0","3,C","7","3,C","2","3,C","0","3,C","0","3,C","27","3,C","23","3,C","0","3,C","0","3,C","-17.0","3,C,15,","15.6","3,,C,12,","6.4","3,C,31,","","","682.4","3,C","21.6","3,,,C","-6.04","3,C","-2.89","3,,,C","-9.19","3,,,C","","","",""
"CA006166415","2011-01","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","0.0","C","0.0","4,C","5","4,C","1","4,C","0","4,C","8","4,C","27","4,C","24","4,C","0","4,C","0","4,C","-29.9","4,C,23,","10.1","4,,C,18,","2.0","4,C,18,","","","757.6","4,C","12.7","4,,,C","-9.73","4,C","-4.73","4,,,C","-14.73","4,,,C","","","",""
"CA006166415","2011-02","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","0.0","C","0.0","4,C","6","4,C","3","4,C","0","4,C","5","4,C","24","4,C","16","3,C","0","3,C","0","3,C","-24.2","4,C,03,","16.6","4,,C,28,","9.3","3,C,18,","","","610.9","3,C","25.7","4,,,C","-7.08","4,C","-1.66","3,,,C","-12.50","4,,,C","","","",""
"CA006166415","2011-03","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","0.0","C","0.0","1,C","12","1,C","6","1,C","1","1,C","1","1,C","27","1,C","8","1,C","0","1,C","0","1,C","-18.5","1,C,03,","31.9","1,,C,10,","12.5","1,C,17,","","","597.0","1,C","88.0","1,,,C","-1.57","1,C","3.02","1,,,C","-6.15","1,,,C","","","",""
"CA006166415","2011-04","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","0.0","C","0.0","2,C","14","2,C","6","2,C","0","2,C","0","2,C","16","2,C","0","2,C","3","2,C","0","2,C","-4.5","2,C,08,","23.9","2,,C,16,","22.4","2,C,27,","","","348.5","2,C","79.0","2,,,C","5.89","2,C","11.43","2,,,C","0.35","2,,,C","","","",""
"CA006166415","2011-05","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","7.0","C","7.0","1,C","17",",C","9",",C","1",",C","0","1,C","1","1,C","0","1,C","13","1,C","0","1,C","-0.2","1,C,09,","31.1",",,C,14,","30.3","1,C,31,","","","149.1","1,C","84.6",",,,C","13.60","1,C","19.17","1,,,C","8.02","1,,,C","","","",""
"CA006166415","2011-06","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","22.9","C","15.9","2,C","9","2,C","4","2,C","1","2,C","0","2,C","0","2,C","0","2,C","21","2,C","0","2,C","5.8","2,C,03,","25.6","2,,C,08,","30.6","2,C,08,","","","37.2","2,C","63.6","2,,,C","17.57","2,C","23.80","2,,,C","11.35","2,,,C","","","",""
"CA006166415","2011-07","44.2333","-78.3667","191.0","PETERBOROUGH, ON CA","","","","","7","4,C","4","4,C","2","4,C","","","","","","","","","","","","","27.9","4,,C,18,","","","","","","","79.2","4,,,C","","","","","","","","","",""
